case_id,suite,category,formal_chinese_name,primary_metric,evidence_scope
Scene04,finals_core,main_single,定点悬停,position_rmse,direct_final_regression
Scene01,finals_core,main_single,分段爬升,position_rmse,direct_final_regression
Scene02,finals_core,main_single,螺旋爬升,position_rmse,direct_final_regression
Scene03,finals_core,main_single,八字轨迹跟踪,position_rmse,direct_final_regression
Scene06b,finals_core,main_single,三事件外力扰动恢复,position_rmse,direct_final_regression
Scene01S_X,finals_core,standard_step,X轴独立标准阶跃,overshoot_settling_time_steady_error,direct_final_regression
Scene01S_Y,finals_core,standard_step,Y轴独立标准阶跃,overshoot_settling_time_steady_error,direct_final_regression
Scene01S_Z,finals_core,standard_step,Z轴独立标准阶跃,overshoot_settling_time_steady_error,direct_final_regression
Scene08_P0,finals_core,wind,风扰名义相位,position_rmse,direct_final_regression
Scene08_P1,finals_core,wind,风扰相位1,position_rmse,direct_final_regression
Scene08_P2,finals_core,wind,风扰相位2,position_rmse,direct_final_regression
Scene08_P3,finals_core,wind,风扰相位3,position_rmse,direct_final_regression
Scene08_P4,finals_core,wind,风扰相位4,position_rmse,direct_final_regression
Scene10_P0,finals_core,sensor,传感器名义相位,position_rmse,direct_final_regression
Scene10_P1,finals_core,sensor,传感器退化相位1,position_rmse,direct_final_regression
Scene10_P2,finals_core,sensor,传感器退化相位2,position_rmse,direct_final_regression
Scene10_P3,finals_core,sensor,传感器退化相位3,position_rmse,direct_final_regression
Scene10_P4,finals_core,sensor,传感器退化相位4,position_rmse,direct_final_regression
BODY_ROLL_POS,finals_core,angular_disturbance,正滚转机体系力矩脉冲扰动,attitude_event_iae,direct_new_final_scene
BODY_PITCH_NEG,finals_core,angular_disturbance,负俯仰机体系力矩脉冲扰动,attitude_event_iae,direct_new_final_scene
Scene05B_Nominal,supplementary,parameter,参数名义工况,position_rmse,direct_final_evidence
Scene05B_LiftMinus10,supplementary,parameter,升力降低10%,position_rmse_and_scale_estimate,direct_final_evidence
Scene05B_PayloadPlus10,supplementary,parameter,载荷增加10%,position_rmse_and_scale_estimate,direct_final_evidence
Scene05B_C000,supplementary,parameter,参数角点000,position_rmse,direct_final_evidence
Scene05B_C001,supplementary,parameter,参数角点001,position_rmse,direct_final_evidence
Scene05B_C010,supplementary,parameter,参数角点010,position_rmse,direct_final_evidence
Scene05B_C011,supplementary,parameter,参数角点011,position_rmse,direct_final_evidence
Scene05B_C100,supplementary,parameter,参数角点100,position_rmse,direct_final_evidence
Scene05B_C101,supplementary,parameter,参数角点101,position_rmse,direct_final_evidence
Scene05B_C110,supplementary,parameter,参数角点110,position_rmse,direct_final_evidence
Scene05B_C111,supplementary,parameter,参数角点111,position_rmse,direct_final_evidence
Scene07B,supplementary,formation,三机队形变换,formation_rmse,direct_final_evidence
Scene07COff,supplementary,formation_safety,近距离交汇PP-CBF关闭,minimum_distance_and_violation_time,direct_final_evidence
Scene07COnPredictiveV5C,supplementary,formation_safety,近距离交汇PP-CBF开启,minimum_distance_and_tracking_cost,direct_final_evidence
