case_id,scene_zh,controller,tracking_rmse_m,peak_m,evidence_basis,source_reference,source_sha256
Scene01,分段爬升,PID,0.2752535377114931,1.369402136655734,official_reference_metric,config/finals_report_evidence_contract.json,1861FD60CF74C64EA980F43648855CD83F56E080EA398B63C91D8015C0A207A3
Scene01,分段爬升,RA-GCA/Base,0.1626863068406143,,registered_reference_metric,config/finals_report_evidence_contract.json,1861FD60CF74C64EA980F43648855CD83F56E080EA398B63C91D8015C0A207A3
Scene01,分段爬升,ARDG-RGPC,0.1550402231442399,0.5230968102352325,final_algorithm_direct,06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene01.csv,061C136D4A2ACBDE47459E4983377728B09FA7369FB736C656221265A29D0D08
Scene01,分段爬升,CAP-ADRC,0.1804928967889867,0.618837157883229,registered_reference_metric,config/finals_report_evidence_contract.json,1861FD60CF74C64EA980F43648855CD83F56E080EA398B63C91D8015C0A207A3
Scene01,分段爬升,CP-INDI,0.1550587591412568,0.5230968102390164,registered_reference_metric,config/finals_report_evidence_contract.json,1861FD60CF74C64EA980F43648855CD83F56E080EA398B63C91D8015C0A207A3
Scene03,八字轨迹跟踪,PID,0.1723109552420972,1.2170335882688277,official_reference_metric,config/finals_report_evidence_contract.json,1861FD60CF74C64EA980F43648855CD83F56E080EA398B63C91D8015C0A207A3
Scene03,八字轨迹跟踪,RA-GCA/Base,0.0551150668557355,,registered_reference_metric,config/finals_report_evidence_contract.json,1861FD60CF74C64EA980F43648855CD83F56E080EA398B63C91D8015C0A207A3
Scene03,八字轨迹跟踪,ARDG-RGPC,0.05173739958363874,0.5990567413362556,final_algorithm_direct,06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene03.csv,FDAD5B4909F97C712689321B8689E9BBECB6D42211F5845580F6BE1C9F856307
Scene03,八字轨迹跟踪,CAP-ADRC,0.0692782558128156,0.727735266004797,registered_reference_metric,config/finals_report_evidence_contract.json,1861FD60CF74C64EA980F43648855CD83F56E080EA398B63C91D8015C0A207A3
Scene03,八字轨迹跟踪,CP-INDI,0.0517753357784147,0.5995196042363135,registered_reference_metric,config/finals_report_evidence_contract.json,1861FD60CF74C64EA980F43648855CD83F56E080EA398B63C91D8015C0A207A3
Scene04,定点悬停,PID,0.2160128767803467,0.8640112726378584,official_reference_metric,config/finals_report_evidence_contract.json,1861FD60CF74C64EA980F43648855CD83F56E080EA398B63C91D8015C0A207A3
Scene04,定点悬停,RA-GCA/Base,0.0194180128399794,,registered_reference_metric,config/finals_report_evidence_contract.json,1861FD60CF74C64EA980F43648855CD83F56E080EA398B63C91D8015C0A207A3
Scene04,定点悬停,ARDG-RGPC,0.018967257630034335,0.07407654761824435,final_algorithm_direct,06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene04.csv,53EFD487DEA4799434F634EF58B3EFDFEA7576B65E3893722FF97EDDC904C8EC
Scene04,定点悬停,CAP-ADRC,0.0194180128442361,0.0780974677426755,registered_reference_metric,config/finals_report_evidence_contract.json,1861FD60CF74C64EA980F43648855CD83F56E080EA398B63C91D8015C0A207A3
Scene04,定点悬停,CP-INDI,0.0189672576269608,0.0740765475884195,registered_reference_metric,config/finals_report_evidence_contract.json,1861FD60CF74C64EA980F43648855CD83F56E080EA398B63C91D8015C0A207A3
Scene06b,三事件外力扰动,PID,0.30676913700860065,,official_pid_direct,04_results/report_evidence/official_pid_scene06b/raw.csv,4FC6715CAE0C79EFEB8E8A2A1200D736F73E0AD95A77E39BA96DB3787CAC94E2
Scene06b,三事件外力扰动,RA-GCA/Base,0.3480683179044796,,registered_reference_metric,config/finals_report_evidence_contract.json,1861FD60CF74C64EA980F43648855CD83F56E080EA398B63C91D8015C0A207A3
Scene06b,三事件外力扰动,ARDG-RGPC,0.26947620491298047,1.1060945600341177,final_algorithm_direct,06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene06b.csv,82C57F8C2B4938D6907BC6F82B765851270C5C524C8B93FC84A3EC1D024DF511
Scene06b,三事件外力扰动,CAP-ADRC,0.2388388719807406,,registered_reference_metric,config/finals_report_evidence_contract.json,1861FD60CF74C64EA980F43648855CD83F56E080EA398B63C91D8015C0A207A3
Scene06b,三事件外力扰动,CP-INDI,0.0621232821298252,,registered_reference_metric,config/finals_report_evidence_contract.json,1861FD60CF74C64EA980F43648855CD83F56E080EA398B63C91D8015C0A207A3
