case_id,scene_zh,stage,controller,tracking_rmse_m,change_vs_previous_percent,evidence_basis,raw_path,raw_sha256
Scene01,分段爬升,1,RA-GCA/Base,0.1626863068406143,,normalized_historical_snapshot,,
Scene01,分段爬升,2,RA-GCA/V8,0.15504022312630669,-4.6998938403577935,direct_package,06_supplementary_evidence/ra_gca_v8_32_raw/Scene01.csv,CFEC3D972581E33BFF004F89D7E7214DA1E86A2E1BD6B1BBBD9B667CD28BBE8A
Scene01,分段爬升,3,RA-GCA-CGHTE,0.15504022314423993,1.1566836377596701e-08,direct_package,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene01.csv,D1CB6F64BC2920225629A0C1C5AED867A4C8CBF31F34683D7E1A2835AE327BC1
Scene04,定点悬停,1,RA-GCA/Base,0.0194180128399794,,normalized_historical_snapshot,,
Scene04,定点悬停,2,RA-GCA/V8,0.01896725763681294,-2.3213250855329992,direct_package,06_supplementary_evidence/ra_gca_v8_32_raw/Scene04.csv,B820D564293B1DE1AB3E93E4B8DECD713BC743974319EE1236B0C36A4C162C2A
Scene04,定点悬停,3,RA-GCA-CGHTE,0.018967257630034328,-3.57384899452029e-08,direct_package,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene04.csv,A95BE2B543A3808DA8CF26797CDB44B0B1FEA13DF4786E6F8C273A39FEC4534C
Scene03,八字轨迹跟踪,1,RA-GCA/Base,0.055115066855735501,,normalized_historical_snapshot,,
Scene03,八字轨迹跟踪,2,RA-GCA/V8,0.051737399848867507,-6.1283913810883828,direct_package,06_supplementary_evidence/ra_gca_v8_32_raw/Scene03.csv,C585AAF9DEBB466E17D2824F86773CE18841D7A1FE0C74BE9A19E358A345E796
Scene03,八字轨迹跟踪,3,RA-GCA-CGHTE,0.051737399583638738,-5.1264418265972722e-07,direct_package,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene03.csv,F5EA7FC2F015DE43F2B38D51A7FD30B52D9741970DCF0C1D0E39B00E2635A295
Scene06b,三事件外力扰动,1,RA-GCA/Base,0.34806831790447962,,normalized_historical_snapshot,,
Scene06b,三事件外力扰动,2,RA-GCA/V8,0.2949037614733056,-15.274172826543776,direct_package,06_supplementary_evidence/ra_gca_v8_32_raw/Scene06b.csv,7E19BBF6BA877B07D47178BF1DD57B258C31295EF0F5F4241D055DA65B24FF36
Scene06b,三事件外力扰动,3,RA-GCA-CGHTE,0.29490376147342406,4.0167869030938164e-11,direct_package,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene06b.csv,BF89CBD3AE9BDDE4BB6A991C87A98853B1D310A79787B6E2F19668BC3FA02A1F
