case_id,baseline,formal_algorithm,v8_tracking_rmse_m,formal_tracking_rmse_m,formal_v8_rmse_ratio,rmse_reduction_percent,classification,pair_gate_pass,v8_raw_path,v8_raw_sha256,formal_raw_path,formal_raw_sha256
Scene05B_C000,RA-GCA/V8,RA-GCA-CGHTE,0.014692923901779389,0.014692923890282454,0.9999999992175189,7.8248107993061922e-08,equivalent,true,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_C000.csv,95555C089CE30BFCCFD931A3C0E9A5DD594ACF7494F667C636E444C454E5ABE9,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene05B_C000.csv,08014396136938BADD6D63CC58B6E61E39995A731EAA75EE9F97580CBB52DEF7
Scene05B_C001,RA-GCA/V8,RA-GCA-CGHTE,0.014692924132316945,0.01469292411087978,0.9999999985409872,1.4590127994651425e-07,equivalent,true,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_C001.csv,DE05ADA746E62FDDF282C99308751404EF558639547DD730E9332AA40C7706C0,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene05B_C001.csv,DA6EA604C7A88100A1D001FB63DE221DE8BECD1E9540EC15AF30C477B1F36189
Scene05B_C010,RA-GCA/V8,RA-GCA-CGHTE,0.7124974142651385,0.03367800223022429,0.047267543089906355,95.273245691009365,improved,true,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_C010.csv,185D59852E144965D6FB1FC7B5242208CD470C9E764C66A3A4D94A3B643752B5,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene05B_C010.csv,0943328A25A413591FF278070ADA915D6E78CF4B08AE830E08340A8AD8DF963D
Scene05B_C011,RA-GCA/V8,RA-GCA-CGHTE,0.7124974143937187,0.033678001273587777,0.04726754173872365,95.273245826127635,improved,true,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_C011.csv,9D3885F572C1E8A4C2D60004E603BA10296AF5C819EE42A874630212A05BDB0E,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene05B_C011.csv,8425E8E52EAA8C7B6F67CAD60C482CFA833B39D873B967D0903499F297BD4C36
Scene05B_C100,RA-GCA/V8,RA-GCA-CGHTE,0.5882090175622896,0.01614272383913691,0.02744385644755513,97.255614355244489,improved,true,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_C100.csv,2F3A1178E42345A1549DA43F817F77F289835A1A623F2AE763720CF6C7FDFE0A,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene05B_C100.csv,C37C51168BB7E41EF51470247928FE835F59D7F472F140BE06298391E91030CE
Scene05B_C101,RA-GCA/V8,RA-GCA-CGHTE,0.5882090174850356,0.016142723151490936,0.027443855282109162,97.255614471789087,improved,true,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_C101.csv,433C02DD309DF0D6CD36505F9DBAC7C263F327CE142338DD7DBE0B9016CF3377,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene05B_C101.csv,20E5280094D1638A930891D534040499EFE294700D12AA0E167E21CCE5375633
Scene05B_C110,RA-GCA/V8,RA-GCA-CGHTE,0.014692981984193994,0.014692981982671903,0.9999999998964069,1.0359313407093396e-08,equivalent,true,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_C110.csv,36DD9FEC9994F42C1A948D6D338340A8AE04FFF6F2CBFFD7E0661DC2FA6F224C,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene05B_C110.csv,C924927B6E6361828A3EC27CD9830965470838587A41ABC3FA8C3E15CAD43665
Scene05B_C111,RA-GCA/V8,RA-GCA-CGHTE,0.014692982212776306,0.014692982206008572,0.99999999953939,4.6060999459029972e-08,equivalent,true,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_C111.csv,F4B798E021D83A28C22E11DDF016C1E13AB2C33524D1E720A7B331AF3336F71B,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene05B_C111.csv,315A406A7E8AE25BEA9033B841935C4ED7467D4DD21483C15A073EAF06A75580
Scene05B_LiftMinus10,RA-GCA/V8,RA-GCA-CGHTE,0.3581966971979845,0.02251091884107289,0.06284513234534524,93.715486765465471,improved,true,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_LiftMinus10.csv,F4014CCEE071B61F5B9337C8DE0FF092EF8BE8312AE0142BD5CD21259A312A85,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene05B_LiftMinus10.csv,1C3C4FA55464E5A1E7C61262893D17D528BF7CB33CEF6449D390FF2647EE4375
Scene05B_Nominal,RA-GCA/V8,RA-GCA-CGHTE,0.014692953826605643,0.014692953821354602,0.999999999642615,3.5738501047433147e-08,equivalent,true,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_Nominal.csv,1FFAAC107D5E83CCCD449198283A689B8E33C6949CDEC7F1FF1BADB2C8BF50DD,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene05B_Nominal.csv,04B0413E716C03B271CBD6A9D04568147871C1C20B4299C8530E8191E29B446C
Scene05B_PayloadPlus10,RA-GCA/V8,RA-GCA-CGHTE,0.3224214672830466,0.021520068222390897,0.06674514697713632,93.325485302286367,improved,true,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_PayloadPlus10.csv,7D74CB6840588C68598BE0F09B6A1A6080DA4BFB10B42A8386D298746DDD790D,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene05B_PayloadPlus10.csv,C3BE2459C2E4BFB6C695333BFAA583BCDACAE8ADD1B8CEBABE8B4B42F6479CF5
