case_id,reference_controller,formal_algorithm,reference_position_rmse_m,ardg_rgpc_position_rmse_m,reduction_percent,classification,raw_rows,raw_sha256,diagnostic_sha256
Scene05B_C000,RA-GCA/Base,ARDG-RGPC,0.0146929239017793,0.0146929238902824,7.824810799306192e-08,equivalent,5001,08DE108DA6D78776C4903ABD6DFA66C5417C5E1A87AD4AA60A52C957CF80074F,7ED8EE3122D4796406A42A26C1095BC6E716F9F4C746A768B6CE8559DFE8CAD2
Scene05B_C001,RA-GCA/Base,ARDG-RGPC,0.0146929241323169,0.0146929241108797,1.4590127994651425e-07,equivalent,5001,9AAA2A6046225E176683E1AAEB579BF18C1955DE3ADF09D33F929E52A067BE29,352A88726E64B077C7A9271DD1A3B9B2622EA60D29ECF480AFB9BD9ABBE3BD6F
Scene05B_C010,RA-GCA/Base,ARDG-RGPC,0.7124974142651385,0.0336780022302242,95.27324569100936,improved,5001,7FBDBEA9372C0B3EF00DE6CCA39D833761A2DB820A630695DFA805C1EB28F9FA,16552346535CEC46118FED98832767840DB25271376DBD5923789A3E5FC3DB51
Scene05B_C011,RA-GCA/Base,ARDG-RGPC,0.7124974143937187,0.0336780012735877,95.27324582612763,improved,5001,16855CBFAEBA5B28D104D943FDD089E44709A2EC9DAB5F562D147E3B168378F2,1E58C9D80C3C2AF503A7EF9A3AD52731A26F5F923E1A689F1A12EE70D83CD81B
Scene05B_C100,RA-GCA/Base,ARDG-RGPC,0.5882090175622896,0.0161427238391369,97.25561435524448,improved,5001,18DDF0644A8877850E9CEB5B2CB7354899ED971EEC3854A949979467822705C6,DCF7229840D97697906EC038292B6F7C4A9B9453BC34D9698296E8996F577010
Scene05B_C101,RA-GCA/Base,ARDG-RGPC,0.5882090174850356,0.0161427231514909,97.25561447178907,improved,5001,0C07C21A158C29DDE3606E91E68B3828D7ABBC27F848010CA705138837C32B74,62D34FB857211779E0B833287E4D3554CAA204D810AC9388B8437D2FA26C5957
Scene05B_C110,RA-GCA/Base,ARDG-RGPC,0.0146929819841939,0.0146929819826719,1.0359313407093396e-08,equivalent,5001,0F0D46210023ACB5EAD665AC234ACE95197FF34FEE6368ED17021390FACB257F,E2277677F49159CBF63250CB1623329399614CEFAE5A6A866ED5DD32F6EC2728
Scene05B_C111,RA-GCA/Base,ARDG-RGPC,0.0146929822127763,0.0146929822060085,4.606099945902997e-08,equivalent,5001,1AB84A11095B22F5A4102C12BFA8D977D0427DAD697113DFA5FEE18E5C7C965F,B3B74311611EB8A8252E16F1252A8C406FDB8505E330F95413B6679A0F59BB36
Scene05B_LiftMinus10,RA-GCA/Base,ARDG-RGPC,0.3581966971979845,0.0225109188410728,93.71548676546549,improved,5001,6816C72A2362762B547844D79A2E7D4358B16BEA42B20571C9EAF02240B3461A,A4BEC2B7717205AAFBC51E0153E8E1A6F9A1BB0471EB6516692A7F5BB3A02A18
Scene05B_Nominal,RA-GCA/Base,ARDG-RGPC,0.0146929538266056,0.0146929538213546,3.57384899452029e-08,equivalent,5001,BE2EDA23475D764B0AC3A4606162A2B7706F9F34F463171707E74780F98DCF8A,A6C0111C1B0CB5F4EE3D3D9049C2779E6FD912A45CACC17A535877A76C77F02C
Scene05B_PayloadPlus10,RA-GCA/Base,ARDG-RGPC,0.3224214672830466,0.0215200682223908,93.32548530228637,improved,5001,BB76A0D19555A1BE31CA94530393CF4BAAB467E333C9C15655A50960384D379E,C8B2491E9A91E6C9CEEF13682132E8ABEE932A33085CD6208F338FF6FFF73C55
