case_id,category,scene_zh,position_rmse_m,position_peak_m,raw_rows,finite_values,source_reference,source_sha256
Scene04,main_single,定点悬停,0.018967257630034335,0.07407654761824435,3001,True,06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene04.csv,53EFD487DEA4799434F634EF58B3EFDFEA7576B65E3893722FF97EDDC904C8EC
Scene01,main_single,分段爬升,0.1550402231442399,0.5230968102352325,5001,True,06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene01.csv,061C136D4A2ACBDE47459E4983377728B09FA7369FB736C656221265A29D0D08
Scene02,main_single,螺旋爬升,0.3654696786017275,3.002323792097006,5001,True,06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene02.csv,4AB9B32E00C1896D5DD321DC9B8EAD8E18ED5F5E21AC001285FC6B73832C4BF9
Scene03,main_single,八字轨迹跟踪,0.05173739958363874,0.5990567413362556,12001,True,06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene03.csv,FDAD5B4909F97C712689321B8689E9BBECB6D42211F5845580F6BE1C9F856307
Scene06b,main_single,三事件外力扰动,0.26947620491298047,1.1060945600341177,3001,True,06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene06b.csv,82C57F8C2B4938D6907BC6F82B765851270C5C524C8B93FC84A3EC1D024DF511
Scene01S_X,standard_step,X轴独立标准阶跃,0.1865622289309737,1.001100354122215,3001,True,06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene01S_X.csv,B6B14F50DC98F14E735F7F60A07A1B3CDC45241AE7C80FE4B2405413E7FA1A54
Scene01S_Y,standard_step,Y轴独立标准阶跃,0.18656222874117714,1.0011003551392648,3001,True,06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene01S_Y.csv,5880D36FBAE0BFD61FC6D1FCAA2480137C1F2667B98892BD96F9BB9D1FC08791
Scene01S_Z,standard_step,Z轴独立标准阶跃,0.16170511679655325,1.0001008482129117,3001,True,06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene01S_Z.csv,5B6CD19D522D13ED2AC6BC09A34604F7C69449F7000E470DB10F8C177DA6CBE5
Scene08_P0,wind,风扰名义相位,0.03226619107471295,0.073717888001013,4001,True,06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene08_P0.csv,89603FD2320ACD28DAD1E79A9F3B98F2A10B778F0688415BE78282B20B04C5EA
Scene08_P1,wind,风扰相位1,0.031961639627603004,0.073717888001013,4001,True,06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene08_P1.csv,C77B4ADC4C1FFDF0941F8AF72E8B7F1E8103E04C0130CD162DD07F7344B21819
Scene08_P2,wind,风扰相位2,0.032313711715627885,0.073717888001013,4001,True,06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene08_P2.csv,B62C17EF2B6F7DAB41FD83FFEDF1AAD71951239DD0DBE5DD283A40B54C9FE25A
Scene08_P3,wind,风扰相位3,0.03231226237707859,0.073717888001013,4001,True,06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene08_P3.csv,E7E7010665399562FC3B802295A6C297C4E45A6354C0ADD06A1493EA8B3C86E3
Scene08_P4,wind,风扰相位4,0.03196673404747659,0.073717888001013,4001,True,06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene08_P4.csv,F023D7E8030DC359BB496F5E7A9F827D7653AB42CF58E414FAB6475E7BD5981D
Scene10_P0,sensor,传感器名义相位,0.01866807706963696,0.073717888001013,4001,True,06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene10_P0.csv,BF83A94EDFAA9717101D7406D3C96886A00CA9DE832C907D485F6B3AB4DDB6F6
Scene10_P1,sensor,传感器退化相位1,0.018656996314243484,0.073717888001013,4001,True,06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene10_P1.csv,B08A75A9183004D75F6A72FAD332ED38891EAEB6A68CAF117434506FD2B64BC5
Scene10_P2,sensor,传感器退化相位2,0.01866572593784322,0.073717888001013,4001,True,06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene10_P2.csv,847310E171284A0A3B540789A942648DC8A7D4E6F23FF99240B88BE2BE8203BA
Scene10_P3,sensor,传感器退化相位3,0.018660398087373558,0.073717888001013,4001,True,06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene10_P3.csv,1199F5AEBB099DA07F63F0B18DB5C26A0E71DF5B9B684D3FD60707DD35133980
Scene10_P4,sensor,传感器退化相位4,0.018659323615068488,0.073717888001013,4001,True,06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene10_P4.csv,096E98FE402F84732F3791A28C060381F5936C832C48A2E36813EAA2614F02A1
