time_s,reference_1,reference_2,reference_3,position_x_m,position_y_m,position_z_m,angle_roll_rad,angle_pitch_rad,angle_yaw_rad,motor_command_1,motor_command_2,motor_command_3,motor_command_4,rotor_speed_1_radps,rotor_speed_2_radps,rotor_speed_3_radps,rotor_speed_4_radps,event_code,external_torque_body_x_nm,external_torque_body_y_nm,external_torque_body_z_nm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.003,-1.0568506327302317e-15,1.0285540539054848e-16,1.556886251059904e-06,5.946247515010465e-15,4.338426939000548e-14,-3.587456026380278e-14,0.7822282710098187,-0.782228271009297,0.7822282710034912,-0.7822282710045202,0.8247605754450408,-0.824760575444545,0.824760575439042,-0.8247605754398402,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.006,-2.1485000825516456e-15,2.2605738510437635e-16,3.1156492769763184e-06,1.4653889254358193e-14,8.894610838826895e-14,-1.4074059739087934e-13,1.0853935681902327,-1.0853935681897495,1.0853935681796096,-1.0853935681820832,1.134392285548326,-1.1343922855451036,1.1343922855383988,-1.1343922855389612,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.009,-3.281777963772189e-15,3.386974113005911e-16,4.670506181500932e-06,2.0180699349911008e-14,1.475348919153231e-13,-9.699851381962074e-13,1.2124364180183282,-1.2124364180235911,1.2124364180043274,-1.2124364180127798,1.2430241695835225,-1.243024169590874,1.2430241695683546,-1.2430241695784707,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.012,-4.484175696196288e-15,5.533894938932189e-16,6.2193380400596665e-06,3.1905382454492073e-14,2.122114059158735e-13,-2.044770359737906e-12,1.2748017007467671,-1.2748017007585155,1.2748017007284396,-1.2748017007456038,1.2900598045348517,-1.2900598045477425,1.2900598045172194,-1.2900598045334726,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.015,-5.64652237922585e-15,6.536925868451145e-16,7.761592067459817e-06,3.489811398080907e-14,2.7819480098712893e-13,-3.243932146657193e-12,1.3134873260177695,-1.3134873260392648,1.3134873259983697,-1.313487326022743,1.3200098463955123,-1.3200098464148682,1.3200098463746477,-1.3200098463996317,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.018,-7.012586586986325e-15,1.0660972288604457e-15,9.29715747719518e-06,6.048680167134016e-14,3.471790597903408e-13,-4.239935230383454e-12,1.3435754739510677,-1.3435754739767958,1.343575473926938,-1.3435754739611625,1.346123019334494,-1.346123019358719,1.3461230193092033,-1.3461230193442817,0.0,0.0,0.0,0.0
0.07,0.0,0.0,0.021,-8.358882781602933e-15,1.118628423495696e-15,1.0826042771379904e-05,6.36153521550271e-14,4.200836321598211e-13,-5.400032563982619e-12,1.3706145310744435,-1.3706145311096931,1.3706145310493691,-1.370614531090476,1.3715605345711912,-1.3715605346062596,1.3715605345460244,-1.3715605345872133,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.024,-9.280718083973048e-15,6.047861979082852e-15,1.2348288615468224e-05,2.852879396644459e-13,4.596884330669557e-13,-6.019789053974507e-12,1.3966470161809892,-1.3966470161916194,1.396647016130028,-1.3966470162045177,1.3969743391675646,-1.3969743391860614,1.396974339122223,-1.396974339190962,0.0,0.0,0.0,0.0
0.09,0.0,0.0,0.027,-9.938504233585566e-15,1.2404356263497706e-14,1.3863100044119694e-05,5.717283771424764e-13,4.811767341426298e-13,-6.609157866192632e-12,1.422428258318717,-1.422428258312153,1.4224282582490764,-1.422428258349094,1.4225356458109304,-1.422535645802588,1.422535645739765,-1.4225356458415557,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.03,-9.365779915300669e-15,1.5974474602280136e-14,1.5371056485496872e-05,7.235978457546034e-13,4.697093893866667e-13,-8.273848241375609e-12,1.4482546477068492,-1.4482546477162428,1.4482546476460638,-1.4482546477536624,1.4482731099615398,-1.4482731099642026,1.4482731098949748,-1.4482731100062416,0.0,0.0,0.0,0.0
0.11,0.0,0.0,0.033,-4.8337881379894416e-15,9.392089532716361e-15,1.6872069166287474e-05,3.990393090040581e-13,3.457806034059869e-13,-1.266822608672885e-11,1.474217156009338,-1.4742171561059765,1.4742171560192168,-1.474217156101707,1.4742001334889774,-1.47420013357473,1.4742001334897898,-1.4742001335770325,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.036,4.572970181797415e-16,-5.334013277998572e-16,1.8366425012111127e-05,-7.675557494310504e-14,1.9513703065527806e-13,-1.740006923206382e-11,1.500345886670862,-1.500345886847104,1.50034588673848,-1.500345886808275,1.5003128406326331,-1.5003128408079425,1.500312840701081,-1.500312840769418,0.0,0.0,0.0,0.0
0.13,0.0,0.0,0.039,6.906633568567686e-15,-1.495277910618801e-14,1.985593724923898e-05,-7.56038975051486e-13,4.427553942081679e-16,-2.2608769987720595e-11,1.5266034402371995,-1.5266034405026505,1.5266034403699569,-1.526603440424194,1.5265619803122443,-1.5265619805799155,1.5265619804485475,-1.5265619804995365,0.0,0.0,0.0,0.0
0.14,0.0,0.0,0.042,2.3051667967734908e-15,8.991818163100394e-15,2.1339400941882237e-05,2.828588261108716e-13,2.569672007981016e-13,-2.497029521991972e-11,1.5530272198894486,-1.5530272200357949,1.5530272198508508,-1.5530272200575843,1.552982757944848,-1.552982758103982,1.5529827579207771,-1.5529827581173794,0.0,0.0,0.0,0.0
