time_s,reference_x_m,reference_y_m,reference_z_m,reference_vx_mps,reference_vy_mps,reference_vz_mps,position_x_m,position_y_m,position_z_m,velocity_x_mps,velocity_y_mps,velocity_z_mps,angle_roll_rad,angle_pitch_rad,angle_yaw_rad,body_rate_x_radps,body_rate_y_radps,body_rate_z_radps,rotation_11,rotation_12,rotation_13,rotation_21,rotation_22,rotation_23,rotation_31,rotation_32,rotation_33,motor_command_1,motor_command_2,motor_command_3,motor_command_4,motor_speed_1,motor_speed_2,motor_speed_3,motor_speed_4,per_rotor_disturbance_n
0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.003,0.0,0.0,0.3,2.41343140778885e-16,1.307599309076035e-16,1.556886251060998e-06,2.3589995617846894e-14,1.2422133812072549e-14,0.0001559766494031969,7.423125479118756e-15,-1.2302402809859614e-14,-2.1115742778061701e-13,7.772145205671656e-13,-1.186179805050016e-12,-3.992699930156913e-11,1.0,-2.1115742778061712e-13,1.2302402809858046e-14,2.1115742778061701e-13,1.0,7.423125479121353e-15,-1.2302402809859614e-14,-7.423125479118756e-15,1.0,0.7822282710057354,-0.7822282710062101,0.7822282710063349,-0.7822282710088461,0.8247605754414717,-0.8247605754412703,0.8247605754422043,-0.8247605754437609,0.0
0.02,0.0,0.0,0.006,0.0,0.0,0.3,4.754398209258591e-16,2.548019163597055e-16,3.1156492769773522e-06,1.9547908961137206e-14,1.581047920081788e-14,0.00015572430327329142,1.5531801159409722e-14,-2.3826137041282416e-14,-6.107432727925616e-13,7.484452909140309e-13,6.728999915699936e-13,2.9828426020658617e-10,1.0,-6.10743272792562e-13,2.382613704127293e-14,6.107432727925616e-13,1.0,1.5531801159424275e-14,-2.3826137041282416e-14,-1.5531801159409722e-14,1.0,1.085393568182993,-1.0853935681857132,1.0853935681835272,-1.0853935681894429,1.1343922855378277,-1.1343922855448831,1.1343922855392132,-1.1343922855495603,0.0
0.03,0.0,0.0,0.009,0.0,0.0,0.3,6.925069041795136e-16,3.9313298240410813e-16,4.670506181502001e-06,2.2724227919669315e-14,1.3148069284058091e-14,0.00015519530563269622,2.320306332310197e-14,-2.7504963254211104e-14,4.68001849497184e-13,8.068181526142603e-13,-7.142114058489397e-13,4.0671692918094464e-11,1.0,4.680018494971834e-13,2.7504963254221965e-14,-4.68001849497184e-13,1.0,2.3203063323089096e-14,-2.7504963254211104e-14,-2.320306332310197e-14,1.0,1.212436418016456,-1.2124364180112635,1.2124364180163678,-1.2124364180149427,1.2430241695842073,-1.243024169575158,1.2430241695835287,-1.2430241695782058,0.0
0.04,0.0,0.0,0.012,0.0,0.0,0.3,9.075736815779833e-16,5.48921971238833e-16,6.219338040059982e-06,2.138946839906908e-14,1.8733462747575827e-14,0.00015455804890155583,3.5639273974594966e-14,-3.425461480382108e-14,2.4268612497765764e-12,2.563739926786118e-12,-2.4397826343664547e-12,2.8501157457860537e-10,1.0,2.426861249776575e-12,3.4254614803907577e-14,-2.4268612497765768e-12,1.0,3.563927397451184e-14,-3.425461480382108e-14,-3.5639273974594966e-14,1.0,1.274801700753778,-1.2748017007336585,1.2748017007530457,-1.2748017007388495,1.2900598045414355,-1.2900598045240204,1.2900598045403109,-1.2900598045275258,0.0
0.05,0.0,0.0,0.015000000000000003,0.0,0.0,0.3,1.1324471027386417e-15,6.973811361740025e-16,7.76159206746092e-06,2.2681691229941275e-14,1.4573987152127928e-14,0.00015389160091053037,4.293304862033518e-14,-3.3765150270115516e-14,4.156077566724005e-12,6.252730910616466e-13,1.8931967200185192e-13,1.6638784689245805e-10,1.0,4.156077566724003e-12,3.376515027029395e-14,-4.156077566724005e-12,1.0,4.293304862019485e-14,-3.3765150270115516e-14,-4.293304862033518e-14,1.0,1.3134873260350208,-1.313487326003386,1.313487326033436,-1.313487326006304,1.320009846412379,-1.3200098463781071,1.3200098464110719,-1.3200098463830665,0.0
0.06,0.0,0.0,0.018,0.0,0.0,0.3,1.3652414132949472e-15,8.816149367699942e-16,9.297157477196145e-06,2.4504130511846846e-14,1.6619626041986166e-14,0.00015322202400927672,6.382248368148625e-14,-5.196173716973465e-14,6.6899116946151074e-12,1.0108378838060234e-12,-3.4969953718615604e-13,1.8636754763315088e-10,1.0,6.689911694615104e-12,5.196173717016162e-14,-6.6899116946151074e-12,1.0,6.382248368113862e-14,-5.196173716973465e-14,-6.382248368148625e-14,1.0,1.3435754739782084,-1.343575473926674,1.3435754739770724,-1.3435754739340113,1.346123019361212,-1.3461230193078275,1.3461230193603937,-1.3461230193171554,0.0
0.07,0.0,0.0,0.021,0.0,0.0,0.3,1.612791982326359e-15,1.0537175554155159e-15,1.0826042771381024e-05,2.5828488516470466e-14,1.8263899193693377e-14,0.00015255576576923239,7.585804295859587e-14,-5.640752555299181e-14,8.56978744879334e-12,1.0864571439788192e-12,-8.440265022450768e-13,2.1099190026939623e-10,1.0,8.569787448793335e-12,5.6407525553641895e-14,-8.569787448793338e-12,1.0,7.585804295811248e-14,-5.640752555299181e-14,-7.585804295859587e-14,1.0,1.3706145311121416,-1.3706145310474254,1.370614531110435,-1.3706145310539743,1.3715605346088766,-1.371560534544024,1.3715605346071789,-1.371560534550572,0.0
0.08,0.0,0.0,0.024,0.0,0.0,0.3,1.903954537799868e-15,1.2629112742000718e-15,1.234828861547341e-05,3.1141591897506677e-14,2.3109247074880364e-14,0.0001518941759981335,6.992219040914259e-14,-9.16604823793141e-14,1.2457113724102307e-11,-1.4434163427542553e-12,-4.881439965262693e-12,4.793919111824258e-10,1.0,1.24571137241023e-11,9.166048238018513e-14,-1.2457113724102307e-11,1.0,6.992219040800077e-14,-9.16604823793141e-14,-6.992219040914259e-14,1.0,1.3966470162179643,-1.3966470161286066,1.3966470162237619,-1.396647016136976,1.3969743392066927,-1.3969743391207428,1.3969743392108012,-1.3969743391285516,0.0
0.09,0.0,0.0,0.027000000000000003,0.0,0.0,0.3,2.2073044766137923e-15,1.5309930393518728e-15,1.3863100044123277e-05,3.0413054463816297e-14,2.852296936453119e-14,0.0001512380342038442,5.60252468146311e-14,-1.3726686972356375e-13,1.7331521664836603e-11,-1.2961974081762334e-12,-4.528681790461106e-12,4.896502642777368e-10,1.0,1.7331521664836597e-11,1.3726686972453477e-13,-1.7331521664836603e-11,1.0,5.602524681225206e-14,-1.3726686972356375e-13,-5.60252468146311e-14,1.0,1.4224282583629477,-1.4224282582410612,1.422428258373821,-1.42242825825064,1.4225356458537648,-1.4225356457331264,1.4225356458652125,-1.4225356457428189,0.0
