case_id,lift_scale,mass_scale,inertia_scale,seed,draw_index,distribution,formal_statistics_eligible
MC20_01,0.995809775148182,1.005286049584065,0.970253522760161,20260719,1,U(0.90;0.10),true
MC20_02,0.978634707145616,1.090587613427398,1.036902824588061,20260719,2,U(0.90;0.10),true
MC20_03,1.017170109704515,0.940402746378527,1.059340442488578,20260719,3,U(0.90;0.10),true
MC20_04,0.982014097764776,1.037731212220688,1.036757822216443,20260719,4,U(0.90;0.10),true
MC20_05,1.045897498811791,1.057036134696979,1.023508536407381,20260719,5,U(0.90;0.10),true
MC20_06,0.903697957699189,0.905487555770600,0.949836124435577,20260719,6,U(0.90;0.10),true
MC20_07,1.099876083771944,1.063412689564851,0.947035090217913,20260719,7,U(0.90;0.10),true
MC20_08,0.919301670838682,1.082267861351919,0.925177640790480,20260719,8,U(0.90;0.10),true
MC20_09,0.929783487318464,1.065802758461065,1.052281888404361,20260719,9,U(0.90;0.10),true
MC20_10,1.051353085466218,0.921158660145964,1.001071893636748,20260719,10,U(0.90;0.10),true
MC20_11,0.966421248875033,1.011565718626388,0.968889413092035,20260719,11,U(0.90;0.10),true
MC20_12,0.973043711936830,1.070406853408159,0.974394420130363,20260719,12,U(0.90;0.10),true
MC20_13,0.998899220081323,0.945224406851253,0.905786810445201,20260719,13,U(0.90;0.10),true
MC20_14,1.069579363822805,1.096462761935660,1.025262950811366,20260719,14,U(0.90;0.10),true
MC20_15,0.915660261306453,1.097872695883576,1.061026730702904,20260719,15,U(0.90;0.10),true
MC20_16,0.901581550438133,1.073990357092080,0.974568142917412,20260719,16,U(0.90;0.10),true
MC20_17,0.951738497192313,1.047252029028881,1.022082544371698,20260719,17,U(0.90;0.10),true
MC20_18,0.945057984774874,0.999450174645721,0.991104114654558,20260719,18,U(0.90;0.10),true
MC20_19,1.089855341380157,1.009733080400409,0.988599694539760,20260719,19,U(0.90;0.10),true
MC20_20,1.059459967827924,0.939137534670619,0.995541328406426,20260719,20,U(0.90;0.10),true
