axis,time_s,reference_m,response_m,raw_sha256
X,8.0,0.0,2.31630791460685e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.01,0.0,2.32587043032934e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.02,0.0,2.33507813331365e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.03,0.0,2.34387363216689e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.04,0.0,2.35220987409227e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.05,0.0,2.36016525704171e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.06,0.0,2.36773898290098e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.07,0.0,2.37493013742231e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.08,0.0,2.3817376858458e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.09,0.0,2.38816046852077e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.1,0.0,2.39419719652709e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.11,0.0,2.39984644729652e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.12,0.0,2.40510666023411e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.13,0.0,2.4099761323395e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.14,0.0,2.41445301382831e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.15,0.0,2.41853530375346e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.16,0.0,2.42222084562656e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.17,0.0,2.42550732303922e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.18,0.0,2.42839225528442e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.19,0.0,2.43087299297786e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.2,0.0,2.43294671367932e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.21,0.0,2.434610417514e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.22,0.0,2.43586092279389e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.23,0.0,2.43669486163908e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.24,0.0,2.43710867559915e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.25,0.0,2.43709861127453e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.26,0.0,2.4366607159378e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.27,0.0,2.43579083315509e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.28,0.0,2.43448459840741e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.29,0.0,2.43273743471201e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.3,0.0,2.43083549632747e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.31,0.0,2.428886193073e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.32,0.0,2.42658559043182e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.33,0.0,2.42393606085969e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.34,0.0,2.42094004290275e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.35,0.0,2.41760004119753e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.36,0.0,2.41391862647094e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.37,0.0,2.4098984355403e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.38,0.0,2.40554217131328e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.39,0.0,2.40085260278797e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.4,0.0,2.39583256505282e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.41,0.0,2.3904849592867e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.42,0.0,2.38481275275883e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.43,0.0,2.37881897882883e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.44,0.0,2.37250673694673e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
