case_id,scene_zh,controller,tracking_rmse_m,peak_m,evidence_basis,source_reference
Scene01,分段爬升,PID,0.2752535377114931,1.369402136655734,normalized_historical_snapshot,source_snapshots/chapter6_metrics_normalized.json
Scene01,分段爬升,RA-GCA/Base,0.1626863068406143,,normalized_historical_snapshot,source_snapshots/chapter6_metrics_normalized.json
Scene01,分段爬升,RA-GCA-CGHTE,0.1550402231442399,0.5230968102352325,direct_package,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene01.csv
Scene01,分段爬升,CAP-ADRC,0.1804928967889867,0.618837157883229,normalized_historical_snapshot,source_snapshots/chapter6_metrics_normalized.json
Scene01,分段爬升,CP-INDI,0.1550587591412568,0.5230968102390164,normalized_historical_snapshot,source_snapshots/chapter6_metrics_normalized.json
Scene04,定点悬停,PID,0.2160128767803467,0.8640112726378584,normalized_historical_snapshot,source_snapshots/chapter6_metrics_normalized.json
Scene04,定点悬停,RA-GCA/Base,0.0194180128399794,,normalized_historical_snapshot,source_snapshots/chapter6_metrics_normalized.json
Scene04,定点悬停,RA-GCA-CGHTE,0.0189672576300343,0.0740765476182443,direct_package,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene04.csv
Scene04,定点悬停,CAP-ADRC,0.0194180128442361,0.0780974677426755,normalized_historical_snapshot,source_snapshots/chapter6_metrics_normalized.json
Scene04,定点悬停,CP-INDI,0.0189672576269608,0.0740765475884195,normalized_historical_snapshot,source_snapshots/chapter6_metrics_normalized.json
Scene03,八字轨迹跟踪,PID,0.1723109552420972,1.2170335882688277,normalized_historical_snapshot,source_snapshots/chapter6_metrics_normalized.json
Scene03,八字轨迹跟踪,RA-GCA/Base,0.0551150668557355,,normalized_historical_snapshot,source_snapshots/chapter6_metrics_normalized.json
Scene03,八字轨迹跟踪,RA-GCA-CGHTE,0.0517373995836387,0.5990567413362556,direct_package,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene03.csv
Scene03,八字轨迹跟踪,CAP-ADRC,0.0692782558128156,0.727735266004797,normalized_historical_snapshot,source_snapshots/chapter6_metrics_normalized.json
Scene03,八字轨迹跟踪,CP-INDI,0.0517753357784147,0.5995196042363135,normalized_historical_snapshot,source_snapshots/chapter6_metrics_normalized.json
Scene06b,三事件外力扰动,PID,0.3068112031847071,,normalized_historical_snapshot,source_snapshots/chapter6_metrics_normalized.json
Scene06b,三事件外力扰动,RA-GCA/Base,0.3480683179044796,,normalized_historical_snapshot,source_snapshots/chapter6_metrics_normalized.json
Scene06b,三事件外力扰动,RA-GCA-CGHTE,0.294903761473424,1.210919415089419,direct_package,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene06b.csv
Scene06b,三事件外力扰动,CAP-ADRC,0.2388388719807406,,normalized_historical_snapshot,source_snapshots/chapter6_metrics_normalized.json
Scene06b,三事件外力扰动,CP-INDI,0.0621232821298252,,normalized_historical_snapshot,source_snapshots/chapter6_metrics_normalized.json
