case_id,scene_zh,tracking_rmse_m
Scene05B_Nominal,标准参数,0.0146929538213546
Scene05B_C000,升力、质量、惯量均-10%,0.0146929238902824
Scene05B_C001,升力-10%，质量-10%，惯量+10%,0.0146929241108797
Scene05B_C110,升力、质量+10%，惯量-10%,0.0146929819826719
Scene05B_C111,升力、质量、惯量均+10%,0.0146929822060085
Scene05B_C010,升力-10%，质量+10%，惯量-10%,0.0336780022302242
Scene05B_C011,升力-10%，质量、惯量+10%,0.0336780012735877
Scene05B_C100,升力+10%，质量、惯量-10%,0.0161427238391369
Scene05B_C101,升力+10%，质量-10%，惯量+10%,0.0161427231514909
Scene05B_LiftMinus10,升力效能-10%,0.0225109188410728
Scene05B_PayloadPlus10,载荷与惯量+10%,0.0215200682223908
