time,referenceVector[3],quadChassisTest17_1.body.r_0[3],controllerDiagnostics[11],controllerDiagnostics[12],controllerDiagnostics[13],controllerDiagnostics[14],controllerDiagnostics[15],max_motor_q,q_domain_usage_percent
0.0,0.0,0.0,1.0,1.0,0.0,0.0,3600.0,216.59049801000003,6.016402722500001
0.05,0.015,0.0002743822758501,1.0,1.0,0.0,-0.2034920774844673,3600.0,216.77693694355324,6.021581581765368
0.1,0.03,0.00066471958717,1.0,1.0,0.0,-0.3026897676300386,3600.0,218.235659228992,6.062101645249778
0.15,0.045,0.0006971063616712,1.0921108089773872,1.0,1.0,0.0185180036031818,3600.0,219.2513192591202,6.09031442386445
0.2,0.06,0.0007553335221015,1.0942559570555102,1.0,1.0,-0.0451771571908863,3600.0,220.2132885143762,6.117035792066005
0.25,0.075,0.0008205881454985,1.0968285124812125,1.03472,1.0,-0.0944495657597389,3600.0,228.53104853907317,6.3480846816409215
0.3,0.09,0.0015274808374029,1.10116642615098,1.0781200000000002,1.0,-0.0737261442357559,3600.0,237.7459174332442,6.604053262034561
0.35,0.105,0.003827649981394,1.1037566380099644,1.1037566380099644,1.0,-0.0436780511959579,3600.0,241.80632867598152,6.71684246322171
0.4,0.12,0.0082495858484101,1.1050142099813007,1.1050142099813007,1.0,-0.0360965294041809,3600.0,240.25895964746715,6.673859990207421
0.45,0.135,0.0146700092708555,1.105883849775029,1.105883849775029,1.0,-0.0304879131612941,3600.0,238.69956967846232,6.630543602179509
0.5,0.15,0.0229169432006661,1.106516105955775,1.106516105955775,1.0,-0.0264390202239404,3600.0,237.17127768246448,6.588091046735124
0.55,0.165,0.0328214983436117,1.10699773404666,1.10699773404666,1.0,-0.0233915179999827,3600.0,235.69948008080516,6.547207780022365
0.6,0.18,0.0442207107602556,1.1073778195088968,1.1073778195088968,1.0,-0.0210195993895664,3600.0,234.29792788981837,6.508275774717177
0.65,0.195,0.0569591988199685,1.1076861933334097,1.1076861933334097,1.0,-0.0191245984790104,3600.0,232.97402245657065,6.471500623793629
0.7000000000000001,0.21,0.0708900555717243,1.1079420278291612,1.1079420278291612,1.0,-0.0175783100508129,3600.0,231.7313984747647,6.436983290965686
0.75,0.225,0.0858752946837932,1.108158204222064,1.108158204222064,1.0,-0.0162943433311246,3600.0,230.57130752565075,6.404758542379187
0.8,0.24,0.1017860171404595,1.1083436948353096,1.1083436948353096,1.0,-0.0152122084108387,3600.0,229.49341974487385,6.374817215135385
0.85,0.255,0.1185023936304742,1.1085049401849123,1.1085049401849123,1.0,-0.0142884848468239,3600.0,228.4963218038327,6.347120050106463
0.9,0.27,0.1359135212271001,1.1086466820880214,1.1086466820880214,1.0,-0.0134908842539367,3600.0,227.577842205297,6.321606727924917
0.95,0.285,0.1539171927945599,1.108772487403959,1.108772487403959,1.0,-0.0127952898819997,3600.0,226.7352752366325,6.298202089906459
1.0,0.3,0.1724196051287416,1.108885091193903,1.108885091193903,1.0,-0.0121831368061023,3600.0,225.96554172388778,6.276820603441328
1.05,0.315,0.1913350234932876,1.1089866245062123,1.1089866245062123,1.0,-0.0116399914997335,3600.0,225.26530667992282,6.257369629997856
1.1,0.33,0.2105854168326987,1.1090787733876728,1.1090787733876728,1.0,-0.0111542703777911,3600.0,224.63107003240145,6.2397519453444845
1.15,0.345,0.2301000737037172,1.1091628881949198,1.1091628881949198,1.0,-0.0107168028863661,3600.0,224.05923555648528,6.223867654346813
1.2,0.36,0.2498152066948953,1.1092400637158877,1.1092400637158877,1.0,-0.0103202842635076,3600.0,223.5461661872013,6.209615727422259
1.25,0.375,0.26967355175287,1.1093111971256044,1.1093111971256044,1.0,-0.0099584659641826,3600.0,223.08822706862713,6.196895196350754
1.3,0.39,0.289623967301977,1.1093770302945936,1.1093770302945936,1.0,-0.0096265406432682,3600.0,222.6818205816331,6.185606127267587
1.35,0.4050000000000001,0.30962103693535,1.1094381826226214,1.1094381826226214,1.0,-0.0093205189296705,3600.0,222.32341413949428,6.17565039276373
1.4,0.42,0.3296246790758178,1.1094951752886035,1.1094951752886035,1.0,-0.0090367834355264,3600.0,222.0095617216059,6.166932270044608
1.45,0.4349999999999999,0.3495997659318171,1.1095484504902755,1.1095484504902755,1.0,-0.0087725760370693,3600.0,221.7369224111578,6.159358955865494
1.5,0.45,0.3695157537701435,1.1095983854993596,1.1095983854993596,1.0,-0.008525455707314,3600.0,221.50227285145058,6.152840912540294
1.55,0.465,0.3893463259456618,1.1096453048947388,1.1096453048947388,1.0,-0.0082934048418439,3600.0,221.30251851067965,6.1472921808522125
1.6,0.4800000000000001,0.4090690503212513,1.1096894894154754,1.1096894894154754,1.0,-0.0080747280969228,3600.0,221.1347009129091,6.142630580914142
1.65,0.495,0.4286650510450822,1.1097311832421075,1.1097311832421075,1.0,-0.007867917875568,3600.0,220.99600281729474,6.138777856035964
1.7,0.51,0.4481186965955176,1.1097706002508472,1.1097706002508472,1.0,-0.0076717356691216,3600.0,220.88375200456343,6.135659777904539
1.75,0.525,0.4674173030111886,1.1098079284455498,1.1098079284455498,1.0,-0.0074851794867245,3600.0,220.79542252723135,6.133206181311982
1.8,0.54,0.4865508538746123,1.109843334065416,1.109843334065416,1.0,-0.0073072539444801,3600.0,220.72863484614817,6.13135096794856
1.85,0.555,0.5055117360917287,1.109876964634306,1.109876964634306,1.0,-0.0071371987100077,3600.0,220.68115491864137,6.130032081073371
1.9,0.5700000000000001,0.5242944916112946,1.1099089519996423,1.1099089519996423,1.0,-0.006974324305937,3600.0,220.65089241342793,6.129191455928554
1.95,0.585,0.5428955858987782,1.109939414147339,1.109939414147339,1.0,-0.0068180670652429,3600.0,220.63589737266275,6.12877492701841
2.0,0.6,0.561313190494419,1.1099684571907489,1.1099684571907489,1.0,-0.006667855961322,3600.0,220.63435665030497,6.128732129175138
2.05,0.615,0.5795469815958298,1.1099961771688829,1.1099961771688829,1.0,-0.0065233175779683,3600.0,220.64459030946557,6.129016397485155
2.1,0.6300000000000001,0.5975979499436712,1.110022660799966,1.110022660799966,1.0,-0.006384023437597,3600.0,220.66504615467036,6.12958461540751
2.15,0.6449999999999999,0.6154682405244913,1.1100479871211926,1.1100479871211926,1.0,-0.0062496227286504,3600.0,220.69429475781027,6.130397076605841
2.2,0.66,0.633160976403996,1.1100722282382895,1.1100722282382895,1.0,-0.0061198373450781,3600.0,220.73102505976607,6.13141736277128
2.25,0.675,0.6506801236016734,1.110095450102346,1.110095450102346,1.0,-0.005994405633398,3600.0,220.77403804189194,6.132612167830332
2.3000000000000003,0.6900000000000001,0.6680303545181251,1.1101177132783102,1.1101177132783102,1.0,-0.0058730715065942,3600.0,220.8222414288968,6.133951150802689
2.35,0.7050000000000001,0.6852169268467722,1.1101390734555998,1.1101390734555998,1.0,-0.0057555600508881,3600.0,220.87464382852158,6.135406773014489
2.4,0.72,0.7022455726084172,1.110159581949991,1.110159581949991,1.0,-0.0056418760819476,3600.0,220.93034940418931,6.13695415011637
2.45,0.7350000000000001,0.7191223983337646,1.1101792863219082,1.1101792863219082,1.0,-0.0055317621970414,3600.0,220.98855182161878,6.1385708839338555
