time_s,uav1_actual_x_m,uav1_actual_y_m,uav1_actual_z_m,uav2_actual_x_m,uav2_actual_y_m,uav2_actual_z_m,uav3_actual_x_m,uav3_actual_y_m,uav3_actual_z_m,uav1_commanded_x_m,uav1_commanded_y_m,uav1_commanded_z_m,uav2_commanded_x_m,uav2_commanded_y_m,uav2_commanded_z_m,uav3_commanded_x_m,uav3_commanded_y_m,uav3_commanded_z_m,formation_error_follower2_m,formation_error_follower3_m,formation_error_max_m,centroid_commanded_error_m,member1_commanded_error_m,member2_commanded_error_m,member3_commanded_error_m,minimum_pairwise_distance_m
0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.01,6.725162137165649e-17,3.4381485754328876e-16,1.6197004831007028e-6,-1.0,3.4381485754328876e-16,1.6197004831007028e-6,1.0,3.4381485754328876e-16,1.6197004831007028e-6,0.0,0.0,0.003,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0009983802995168992,0.0029983802995168993,1.6197004831007028e-6,1.6197004831007028e-6,0.9999999999999999
0.02,1.4581994005330006e-16,6.988360831867889e-16,3.784663933320569e-6,-1.0,6.988360831867889e-16,3.784663933320569e-6,1.0,6.988360831867889e-16,3.784663933320569e-6,0.0,0.0,0.006,-1.0,0.0,0.0,1.0,0.0,0.0,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0019962153360666797,0.00599621533606668,3.784663933320569e-6,3.784663933320569e-6,0.9999999999999999
0.03,1.187106221814516e-15,2.154856995987804e-15,4.2327602739554234e-5,-0.9999999999999999,1.3160848970555814e-15,3.483300240775569e-5,1.0000000000000002,1.3188748253017669e-15,3.483300240775715e-5,0.0,0.0,0.009,-1.0,0.0,0.0,1.0,0.0,0.0,7.494600331798541e-6,7.494600331797084e-6,7.494600331798541e-6,0.002962668797481644,0.008957672397260445,3.483300240775569e-5,3.483300240775715e-5,1.0000000000280835
0.04,2.328470548973187e-15,3.678341466519642e-15,0.0003364876932852515,-0.9999999999999999,1.6024684436338346e-15,0.00019219332648463095,1.0000000000000002,1.6363474395085672e-15,0.00019219332648463705,0.0,0.0,0.012,-1.0,0.0,0.0,1.0,0.0,0.0,0.00014429436680062053,0.00014429436680061443,0.00014429436680062053,0.0037597085512484935,0.011663512306714748,0.00019219332648463095,0.00019219332648463705,1.00000001041043
0.05,2.612276702093613e-15,4.2974732816411835e-15,0.0008062642735884632,-0.9999999999999999,1.5300864112987408e-15,0.00038339613597985345,1.0000000000000002,1.5878530963707444e-15,0.0003833961359798693,0.0,0.0,0.015,-1.0,0.0,0.0,1.0,0.0,0.0,0.00042286813760860975,0.0004228681376085939,0.00042286813760860975,0.004475647818150605,0.014193735726411536,0.00038339613597985345,0.0003833961359798693,1.0000000894087244
0.06,2.2409563366116565e-15,4.220966503458575e-15,0.0014065236201652794,-0.9999999999999999,1.210529517904421e-15,0.0005765211830023572,1.0000000000000002,1.227001824144219e-15,0.0005765211830025091,0.0,0.0,0.018,-0.9999999999999999,3.4381485754328876e-16,1.6197004831007028e-6,1.0,3.4381485754328876e-16,1.6197004831007028e-6,0.0008300024371629222,0.0008300024371627703,0.0008300024371629222,0.0051478911382653505,0.01659347637983472,0.0005749014825192565,0.0005749014825194084,1.0000003444519614
0.07,1.2575221137686634e-15,3.909910054215487e-15,0.002121468116386759,-1.0000000000000013,-8.803736353791722e-16,0.0007634090733840264,1.0000000000000002,7.215276168300692e-16,0.0007634090733850318,0.0,0.0,0.021,-0.9999999999999999,6.988360831867889e-16,3.784663933320569e-6,1.0000000000000002,6.988360831867889e-16,3.784663933320569e-6,0.0013580590430027325,0.001358059043001727,0.0013580590430027325,0.005786427688236942,0.018878531883613242,0.0007596244094507058,0.0007596244094517112,1.000000922161756
0.08,1.9900915838015e-16,3.089301120709212e-15,0.0029446176803475613,-1.0000000000000049,-5.4185215871932684e-15,0.0009423461645381612,1.0000000000000002,1.289364406126719e-15,0.0009423461645399216,0.0,0.0,0.024,-0.9999999999999988,2.154856995987804e-15,4.2327602739554234e-5,1.000000000000001,2.154856995987804e-15,4.2327602739554234e-5,0.0020022715158094003,0.0020022715158076396,0.0020022715158094003,0.0064184483986844875,0.02105538231965244,0.000900018561798607,0.0009000185618003673,1.0000020045436024
0.09,-1.7583847147092457e-15,1.008479945165004e-15,0.0038718454179341518,-1.0000000000000082,-9.250312479012809e-15,0.0011132507834205538,1.0000000000000002,1.7484658244883602e-15,0.0011132507834223512,0.0,0.0,0.027,-0.9999999999999977,3.678341466519642e-15,0.0003364876932852515,1.0000000000000022,3.678341466519642e-15,0.0003364876932852515,0.002758594634513598,0.0027585946345118004,0.002758594634513598,0.007191542800597816,0.02312815458206585,0.0007767630901353023,0.0007767630901370997,1.000003804914942
