time_s,pp_cbf_off_minimum_distance_m,pp_cbf_on_minimum_distance_m,project_evaluation_distance_m,pp_cbf_off_cumulative_exposure_s,pp_cbf_on_cumulative_exposure_s
0.0,1.2806248474865698,1.2806248474865698,0.6,0.0,0.0
0.01,1.28062484748657,1.28062484748657,0.6,0.0,0.0
0.02,1.2806248474865702,1.2806248474865702,0.6,0.0,0.0
0.03,1.2806248475085016,1.2806248475085016,0.6,0.0,0.0
0.04,1.280624855615754,1.280624855615754,0.6,0.0,0.0
0.05,1.2806249173030602,1.2806249173030602,0.6,0.0,0.0
0.06,1.2806251164583855,1.2806251164583855,0.6,0.0,0.0
0.07,1.2806255675740554,1.2806255675740554,0.6,0.0,0.0
0.08,1.2806264127727596,1.2806264127727596,0.6,0.0,0.0
0.09,1.2806278186281748,1.2806278186281748,0.6,0.0,0.0
0.1,1.2806299670181636,1.2806299670181636,0.6,0.0,0.0
0.11,1.2806330285681629,1.2806330285681629,0.6,0.0,0.0
0.12,1.2806371574141637,1.2806371574141637,0.6,0.0,0.0
0.13,1.2806425050264456,1.2806425050264456,0.6,0.0,0.0
0.14,1.280649214030782,1.280649214030782,0.6,0.0,0.0
0.15,1.2806574139636013,1.2806574139636013,0.6,0.0,0.0
0.16,1.2806672190772925,1.2806672190772925,0.6,0.0,0.0
0.17,1.2806787271149327,1.2806787271149327,0.6,0.0,0.0
0.18,1.2806920186113546,1.2806920186113546,0.6,0.0,0.0
0.19,1.2807071565735157,1.2807071565735157,0.6,0.0,0.0
0.2,1.2807241864754146,1.2807241864754146,0.6,0.0,0.0
0.21,1.280743136519482,1.280743136519482,0.6,0.0,0.0
0.22,1.2807640181205526,1.2807640181205526,0.6,0.0,0.0
0.23,1.2807868265719142,1.2807868265719142,0.6,0.0,0.0
0.24,1.2808115418563037,1.2808115418563037,0.6,0.0,0.0
0.25,1.2808381295705857,1.2808381295705857,0.6,0.0,0.0
0.26,1.2808665419341985,1.2808665419341985,0.6,0.0,0.0
0.27,1.2808967188572762,1.2808967188572762,0.6,0.0,0.0
0.28,1.2809285890481763,1.2809285890481763,0.6,0.0,0.0
0.29,1.2809620711393308,1.2809620711393308,0.6,0.0,0.0
0.3,1.2809970748189925,1.2809970748189925,0.6,0.0,0.0
