category,phase,case_public_id,reference_rmse_m,ardg_rgpc_rmse_m,relative_difference_percent,classification
五相位风扰,P0,五相位风扰-P0,0.032266191074712985,0.032266191074712985,0.0,equivalent
五相位风扰,P1,五相位风扰-P1,0.03196163962760304,0.03196163962760304,0.0,equivalent
五相位风扰,P2,五相位风扰-P2,0.03231371171562792,0.03231371171562792,0.0,equivalent
五相位风扰,P3,五相位风扰-P3,0.03231226237707863,0.03231226237707863,0.0,equivalent
五相位风扰,P4,五相位风扰-P4,0.03196673404747663,0.03196673404747663,0.0,equivalent
五相位传感器退化,P0,五相位传感器退化-P0,0.018668077069636985,0.018668077069636985,0.0,equivalent
五相位传感器退化,P1,五相位传感器退化-P1,0.01865699631424351,0.01865699631424351,0.0,equivalent
五相位传感器退化,P2,五相位传感器退化-P2,0.018665725937843245,0.018665725937843245,0.0,equivalent
五相位传感器退化,P3,五相位传感器退化-P3,0.018660398087373582,0.018660398087373582,0.0,equivalent
五相位传感器退化,P4,五相位传感器退化-P4,0.018659323615068512,0.018659323615068512,0.0,equivalent
