time_s,ardg_active,ardg_blend,ardg_correction_x_nm,ardg_correction_y_nm,ardg_residual_tau_x_nm,ardg_residual_tau_y_nm,ardg_translation_residual_n,ardg_torque_mode,ardg_translation_score,ardg_safety_valid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.01,0.0,0.0,0.0,0.0,2.3070164901529093e-15,-6.829606773695403e-15,8.753251823109681e-14,0.0,1.750650364621936e-11,1.0
0.02,0.0,0.0,0.0,0.0,1.807439418582966e-15,-3.618475624610415e-15,9.469841793217097e-14,0.0,1.8939683586434196e-11,1.0
0.03,0.0,0.0,0.0,0.0,-1.2462448650813409e-15,-4.840005627937227e-15,1.363319593094209e-13,0.0,2.726639186188418e-11,1.0
0.04,0.0,0.0,0.0,0.0,1.3139148652079272e-15,-9.373886451778498e-15,2.012468832472472e-13,0.0,4.024937664944944e-11,1.0
0.05,0.0,0.0,0.0,0.0,-4.946510050575635e-15,-1.1486416170055353e-14,1.4075261672055352e-13,0.0,2.8150523344110704e-11,1.0
0.06,0.0,0.0,0.0,0.0,-4.744998252401415e-15,2.1031385864801168e-15,1.6514920523823178e-14,0.0,3.3029841047646355e-12,1.0
0.07,0.0,0.0,0.0,0.0,-4.530957605163418e-15,-2.8474831172040155e-15,2.1170533352287924e-13,0.0,4.2341066704575845e-11,1.0
0.08,0.0,0.0,0.0,0.0,-1.9688303630869214e-14,1.4650074652199117e-14,4.2015214985070694e-13,0.0,8.403042997014139e-11,1.0
0.09,0.0,0.0,0.0,0.0,-2.4670712856521052e-14,-3.516686136775918e-14,9.869340480701574e-13,0.0,1.9738680961403146e-10,1.0
0.1,0.0,0.0,0.0,0.0,-5.5618068275564666e-14,-1.679875131409532e-14,1.034680515092881e-12,0.0,2.0693610301857617e-10,1.0
0.11,0.0,0.0,0.0,0.0,-3.1167977602102825e-14,-6.091338004772868e-14,5.28792658291124e-13,0.0,1.057585316582248e-10,1.0
0.12,0.0,0.0,0.0,0.0,-1.7539471499332508e-14,-7.781828192174451e-15,7.299152854007047e-14,0.0,1.4598305708014095e-11,1.0
0.13,0.0,0.0,0.0,0.0,3.3927581061797186e-14,6.909532280187223e-15,1.6037630625386972e-13,0.0,3.207526125077394e-11,1.0
0.14,0.0,0.0,0.0,0.0,5.454307171537943e-14,3.3992663848914055e-14,3.5323582676025986e-13,0.0,7.064716535205197e-11,1.0
0.15,0.0,0.0,0.0,0.0,5.1828210182963443e-14,3.4855044701452976e-14,7.095114756136402e-13,0.0,1.4190229512272805e-10,1.0
0.16,0.0,0.0,0.0,0.0,4.2789191047889966e-14,3.462685761140469e-14,6.655821536107769e-13,0.0,1.3311643072215537e-10,1.0
0.17,0.0,0.0,0.0,0.0,4.93954132171502e-14,5.736806636418032e-14,1.0119952822134108e-12,0.0,2.0239905644268216e-10,1.0
0.18,0.0,0.0,0.0,0.0,4.454118963273704e-14,2.6561460199040693e-14,1.139631187418543e-12,0.0,2.279262374837086e-10,1.0
0.19,0.0,0.0,0.0,0.0,3.043063650697747e-14,5.224334200474321e-14,1.132552015273389e-12,0.0,2.2651040305467778e-10,1.0
0.2,0.0,0.0,0.0,0.0,3.756389762063181e-14,1.7208157396812163e-14,7.986280409840856e-13,0.0,1.5972560819681713e-10,1.0
0.21,0.0,0.0,0.0,0.0,-7.945402771588784e-16,3.1333899195337506e-14,6.068267741922387e-13,0.0,1.2136535483844773e-10,1.0
0.22,0.0,0.0,0.0,0.0,-1.8496847207182297e-14,1.1529190669373311e-15,3.929354909435058e-13,0.0,7.858709818870116e-11,1.0
0.23,0.0,0.0,0.0,0.0,-2.028448162315545e-14,3.2320815926526757e-15,4.581272229308021e-13,0.0,9.162544458616043e-11,1.0
0.24,0.0,0.0,0.0,0.0,-2.0365039283452276e-14,-3.745595757180399e-15,4.0292578748778326e-13,0.0,8.058515749755665e-11,1.0
0.25,0.0,0.0,0.0,0.0,4.6149325528854565e-15,1.2707969268513507e-14,6.95724920690965e-13,0.0,1.3914498413819299e-10,1.0
0.26,0.0,0.0,0.0,0.0,2.262033367743653e-14,-7.729770006248218e-15,7.593481299475702e-13,0.0,1.5186962598951403e-10,1.0
0.27,0.0,0.0,0.0,0.0,2.307160455883242e-14,-9.346875632383618e-15,8.073073622774924e-13,0.0,1.6146147245549848e-10,1.0
0.28,0.0,0.0,0.0,0.0,6.689104195924442e-14,-5.548245461623478e-14,8.351781223847287e-13,0.0,1.6703562447694573e-10,1.0
0.29,0.0,0.0,0.0,0.0,5.413842631125478e-14,-7.100525162266929e-14,1.3029966650502357e-12,0.0,2.6059933301004715e-10,1.0
0.3,0.0,0.0,0.0,0.0,3.0631232776027284e-14,-1.823543307130381e-14,4.859159624310871e-13,0.0,9.718319248621742e-11,1.0
0.31,0.0,0.0,0.0,0.0,-9.485739903797771e-15,-7.260882443664773e-15,1.156646855647672e-12,0.0,2.313293711295344e-10,1.0
0.32,0.0,0.0,0.0,0.0,-7.619662384335678e-14,1.746238930508189e-14,1.2007185449699251e-12,0.0,2.40143708993985e-10,1.0
0.33,0.0,0.0,0.0,0.0,-1.721732457197251e-13,9.784288359704522e-15,1.1801184566647212e-12,0.0,2.3602369133294425e-10,1.0
0.34,0.0,0.0,0.0,0.0,-1.2443792949366131e-13,-1.5271455934953926e-14,1.4932489741063611e-12,0.0,2.9864979482127224e-10,1.0
0.35000000000000003,0.0,0.0,0.0,0.0,-8.438249741570834e-14,-1.3738370613839432e-15,1.5078303592477739e-12,0.0,3.0156607184955475e-10,1.0
0.36,0.0,0.0,0.0,0.0,-9.325756446584464e-14,-3.5231968490627134e-14,1.9136111205529815e-12,0.0,3.827222241105963e-10,1.0
0.37,0.0,0.0,0.0,0.0,-5.988019905609874e-14,-2.295434401147188e-14,1.7059708169210036e-12,0.0,3.4119416338420073e-10,1.0
0.38,0.0,0.0,0.0,0.0,-5.882254223261762e-14,-6.971959268910036e-14,1.732662279903826e-12,0.0,3.465324559807652e-10,1.0
0.39,0.0,0.0,0.0,0.0,-1.7964586990782735e-14,-7.531457085088335e-14,1.6964670129529808e-12,0.0,3.3929340259059616e-10,1.0
0.4,0.0,0.0,0.0,0.0,-1.4102612177182886e-14,-6.995380388812798e-14,1.6251463331242833e-12,0.0,3.2502926662485667e-10,1.0
0.41000000000000003,0.0,0.0,0.0,0.0,-3.218610265446439e-14,-1.9945968963406184e-14,1.264924031464735e-12,0.0,2.5298480629294703e-10,1.0
0.42,0.0,0.0,0.0,0.0,-2.3006008390143818e-14,-1.1859540223270406e-15,9.037223453612402e-13,0.0,1.8074446907224805e-10,1.0
0.43,0.0,0.0,0.0,0.0,7.605769028328333e-15,2.959601819655881e-14,3.3062819054779325e-13,0.0,6.612563810955865e-11,1.0
0.44,0.0,0.0,0.0,0.0,1.3613311393587736e-14,2.7133978935763956e-14,4.939969842599211e-13,0.0,9.879939685198422e-11,1.0
0.45,0.0,0.0,0.0,0.0,4.647566302393996e-14,2.196573524022741e-14,1.9873870444777908e-13,0.0,3.9747740889555814e-11,1.0
0.46,0.0,0.0,0.0,0.0,-2.5654519598145423e-14,3.502386734063341e-14,9.272928448411787e-13,0.0,1.8545856896823574e-10,1.0
0.47000000000000003,0.0,0.0,0.0,0.0,-3.507453684003499e-16,-2.9659580130600263e-15,6.401965096436675e-13,0.0,1.280393019287335e-10,1.0
0.48,0.0,0.0,0.0,0.0,-2.167813796359127e-14,9.701662578064982e-15,6.485204886182891e-13,0.0,1.2970409772365783e-10,1.0
