time_s,reference_1,reference_2,reference_3,reference_4,reference_5,reference_6,reference_7,reference_8,reference_9,reference_10,reference_11,position_x_m,position_y_m,position_z_m,velocity_x_mps,velocity_y_mps,velocity_z_mps,angle_roll_rad,angle_pitch_rad,angle_yaw_rad,body_rate_x_radps,body_rate_y_radps,body_rate_z_radps,rotation_11,rotation_12,rotation_13,rotation_21,rotation_22,rotation_23,rotation_31,rotation_32,rotation_33,motor_command_1,motor_command_2,motor_command_3,motor_command_4,rotor_speed_1_radps,rotor_speed_2_radps,rotor_speed_3_radps,rotor_speed_4_radps,controller_diagnostic_1,controller_diagnostic_2,controller_diagnostic_3,controller_diagnostic_4,controller_diagnostic_5,controller_diagnostic_6,controller_diagnostic_7,controller_diagnostic_8,controller_diagnostic_9,controller_diagnostic_10,controller_diagnostic_11,controller_diagnostic_12,controller_diagnostic_13,controller_diagnostic_14,controller_diagnostic_15,controller_diagnostic_16,event_code,external_force_world_x_n,external_force_world_y_n,external_force_world_z_n,external_torque_body_x_nm,external_torque_body_y_nm,external_torque_body_z_nm,position_error_x_m,position_error_y_m,position_error_z_m
0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.71701389582819,-14.71701389582819,14.71701389582819,-14.71701389582819,0.0,0.0,0.0,0.0,0.0,0.0,1.7327239840800002,-0.0,-0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3600.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,3.7368458129334697e-16,2.046824415315907e-16,1.6197004924572506e-06,3.908494873532704e-14,2.3159932876646472e-14,0.00017873482998028144,1.1544140167345253e-14,-2.802270193281372e-14,5.1662155510259935e-14,1.2393082782975173e-12,-3.668827696266536e-12,4.382716335632409e-11,1.0,5.1662155510259613e-14,2.802270193281432e-14,-5.166215551025994e-14,1.0,1.1544140167343804e-14,-2.802270193281372e-14,-1.1544140167345253e-14,1.0,14.722910992009478,-14.722910992008721,14.722910992010968,-14.722910992011725,5.410714257040179,-5.410714257040156,5.410714257040148,-5.410714257040155,-1.931991621504969e-14,-1.1439619005591945e-14,1.7341128646292434,-3.782240082678828e-15,1.1225943978500255e-14,0.0,3.730643675137974e-18,0.0,0.0029983802995075426,1.7591608611115787e-14,1.0,1.0,0.0,-0.22595851818093848,3600.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7368458129334697e-16,2.046824415315907e-16,-0.0029983802995075426
0.02,0.0,0.0,0.006,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,7.726588456640351e-16,4.474610079917768e-16,3.784663999229862e-06,3.979548711970862e-14,2.4930075843007854e-14,0.0002649720059135369,2.22661796775888e-14,-5.91945385707288e-14,1.1001256930338906e-12,7.078546796760893e-13,-1.2256076273378924e-12,1.2399922635786704e-10,1.0,1.1001256930338892e-12,5.919453857075329e-14,-1.1001256930338904e-12,1.0,2.2266179677523677e-14,-5.91945385707288e-14,-2.22661796775888e-14,1.0,14.728977500309156,-14.728977500308694,14.728977500309552,-14.728977500310016,11.767950351375937,-11.767950351375886,11.767950351375893,-11.767950351375845,-1.9869498960726727e-14,-1.2428844907519028e-14,1.7355422256369537,-2.3199266780498167e-15,4.297520306221625e-15,0.0,6.317625461173933e-18,0.0,0.005996215336000771,5.007825700822252e-14,1.0,1.0,0.0,-0.22951450899189474,3600.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.726588456640351e-16,4.474610079917768e-16,-0.005996215336000771
0.03,0.0,0.0,0.009,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.1290306351861779e-15,6.478735299069215e-16,4.0683584929183895e-05,2.9646712220781074e-14,1.8641860527234062e-14,0.014675264031538938,1.8371249682682866e-14,-7.954965712408738e-14,1.5138209847255973e-12,-6.675078810893e-13,-2.8858574586405996e-12,2.6142376068294204e-11,1.0,1.513820984725596e-12,7.95496571241152e-14,-1.5138209847255975e-12,1.0,1.8371249682562442e-14,-7.954965712408738e-14,-1.8371249682682866e-14,1.0,14.708180160745297,-14.708180160745664,14.708180160747583,-14.708180160747215,16.26435563520188,-16.26435563520123,16.264355635202413,-16.264355635202985,-1.5082225345506057e-14,-9.452317621694067e-15,1.7306445091278013,1.834699921890554e-15,9.578425483921164e-15,0.0,2.258237251643778e-18,0.0,0.008959316415070815,7.200161273543219e-14,1.0,1.0,0.0,0.09287836290654504,3600.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1290306351861779e-15,6.478735299069215e-16,-0.008959316415070815
0.04,0.0,0.0,0.012,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.2790184311552713e-15,8.209916408753319e-16,0.00028804303010967,-2.2429971914090883e-15,1.924546346999589e-14,0.03159507402720835,1.125046647528549e-14,-1.0467548707244657e-13,1.6314968875473386e-12,-6.219278286849094e-13,-2.0033884932740235e-12,-7.0000334476531044e-12,1.0,1.6314968875473374e-12,1.0467548707246493e-13,-1.6314968875473386e-12,1.0,1.1250466475114711e-14,-1.0467548707244657e-13,-1.125046647528549e-14,1.0,14.682209804694425,-14.682209804694784,14.682209804696264,-14.682209804695903,15.025693331070382,-15.025693331070958,15.025693331073153,-15.025693331072565,4.5097069330811225e-16,-9.835323853945496e-15,1.7245382779927367,1.7936685480927876e-15,7.374346341075217e-15,0.0,3.760629694864205e-18,0.0,0.01171195696989033,1.0508351106970809e-13,1.0,1.0,0.0,0.22378833833638825,3600.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2790184311552713e-15,8.209916408753319e-16,-0.01171195696989033
0.05,0.0,0.0,0.015000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0984918875047656e-15,1.0386410672268516e-15,0.0006593814024024467,-3.343955112253135e-14,2.3416438597349144e-14,0.04173148245588637,5.95532948677845e-15,-1.2071815987309603e-13,1.6126783340432294e-12,-5.961290054888286e-13,-1.174443664432969e-12,2.3718676734471555e-11,1.0,1.6126783340432286e-12,1.2071815987310562e-13,-1.6126783340432294e-12,1.0,5.95532948658377e-15,-1.2071815987309603e-13,-5.95532948677845e-15,1.0,14.668672433163325,-14.668672433163687,14.668672433164733,-14.668672433164371,14.72587066662092,-14.725870666621367,14.725870666622834,-14.725870666622402,1.581205731612693e-14,-1.1986975238323651e-14,1.7213596076117303,1.801495405221431e-15,5.2120824125653974e-15,0.0,3.5592257482000155e-18,0.0,0.014340618597597556,1.2990786871709264e-13,1.0,1.0,0.0,0.10490551197571019,3600.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0984918875047656e-15,1.0386410672268516e-15,-0.014340618597597556
0.06,0.0,0.0,0.018,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,8.122730519966921e-16,1.0940412806869325e-15,0.0011173825901456434,-1.1594431938077513e-13,8.397409204936815e-15,0.049703905589217716,-7.182873193519898e-15,-1.3650642384091975e-13,1.910756832811089e-12,-1.094366024485201e-12,3.530008518028461e-12,1.7173673673714846e-10,1.0,1.91075683281109e-12,1.3650642384090602e-13,-1.910756832811089e-12,1.0,-7.18287319378073e-15,-1.3650642384091975e-13,7.182873193519898e-15,1.0,14.659006633182862,-14.659006633183548,14.659006633181862,-14.659006633181175,14.675729095867784,-14.675729095868125,14.675729095869068,-14.67572909586865,5.6340435925646957e-14,-4.66363077750528e-15,1.719091803773476,3.4117424188124106e-15,-8.389388203119995e-15,0.0,5.2185172818299174e-18,0.0,0.016882617409854354,1.6956879035675984e-13,1.0,1.0,0.0,0.03512039796163756,3600.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.122730519966921e-16,1.0940412806869325e-15,-0.016882617409854354
0.07,0.0,0.0,0.021,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-3.545555067741788e-16,1.0997088183628108e-15,0.0016515554368119753,2.9977332120629483e-15,-3.156599270492066e-15,0.05708333463081018,-2.1765416525905984e-14,-1.0317818735123805e-13,3.590438399259434e-12,-1.2474969795268313e-12,-1.7482990085510068e-12,1.5372558245738858e-10,1.0,3.5904383992594363e-12,1.0317818735115989e-13,-3.590438399259434e-12,1.0,-2.176541652627644e-14,-1.0317818735123805e-13,2.1765416525905984e-14,1.0,14.650289859560564,-14.65028985956137,14.650289859562694,-14.650289859561887,14.659480685695716,-14.65948068569649,14.659480685694092,-14.659480685693332,-1.2879715187750077e-15,9.888437921450463e-16,1.7170479437533943,4.017954684533719e-15,6.5764620559786175e-15,0.0,5.5598108200593294e-18,0.0,0.019348444563188027,1.0459687916986099e-13,1.0,1.0,0.0,0.010454653725870885,3600.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.545555067741788e-16,1.0997088183628108e-15,-0.019348444563188027
0.08,0.0,0.0,0.024,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-4.489538176915366e-16,3.6834643017896095e-16,0.002258392714569177,-6.085874287261232e-14,-1.4308073047603759e-13,0.06424718334829273,-6.751912377814831e-14,-1.1754044149663894e-13,5.312142914467126e-12,-8.563849451384257e-12,4.923586373970358e-13,2.344409663666141e-10,1.0,5.312142914467134e-12,1.1754044149628028e-13,-5.312142914467126e-12,1.0,-6.751912377877271e-14,-1.1754044149663894e-13,6.751912377814831e-14,1.0,14.641821457604904,-14.641821457610142,14.641821457610199,-14.64182145760496,14.648273149601687,-14.64827314960255,14.648273149604423,-14.648273149603542,3.001560646861962e-14,6.984742822175927e-14,1.7150634847716553,2.6039860837383738e-14,2.7846495239142285e-16,0.0,1.884101268951974e-18,0.0,0.021741607285430824,1.3767394190351587e-13,1.0,1.0,0.0,0.0033737984486082273,3600.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.489538176915366e-16,3.6834643017896095e-16,-0.021741607285430824
0.09,0.0,0.0,0.027000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-6.672646730864477e-16,-9.890566132875912e-16,0.002936150426702657,2.9631884660747945e-13,-1.5529855472875066e-13,0.07127043161411098,-1.5275658037565719e-13,-1.312921344696821e-13,7.650200161395907e-12,-9.768826645914382e-12,-1.4873310567838818e-11,2.2536263816134527e-10,1.0,7.650200161395927e-12,1.3129213446851347e-13,-7.650200161395907e-12,1.0,-1.5275658037666158e-13,-1.312921344696821e-13,1.5275658037565719e-13,1.0,14.633464431307669,-14.63346443131385,14.633464431322956,-14.633464431316773,14.63902383489037,-14.639023834896806,14.639023834896719,-14.63902383489031,-1.447017083141685e-13,7.651424237027448e-14,1.713106250100563,3.07116829904195e-14,4.522865266377344e-14,0.0,4.0298251366146635e-18,0.0,0.024063849573297345,1.1779876599717158e-13,1.0,1.0,0.0,0.0015019771224406748,3600.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.672646730864477e-16,-9.890566132875912e-16,-0.024063849573297345
