time_s,ardg_active,ardg_blend,ardg_correction_x_nm,ardg_correction_y_nm,ardg_residual_tau_x_nm,ardg_residual_tau_y_nm,ardg_translation_residual_n,ardg_torque_mode,ardg_translation_score,ardg_safety_valid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.01,0.0,0.0,0.0,0.0,2.3070164901530146e-15,-6.829605002191522e-15,8.753248154318543e-14,0.0,1.7506496308637087e-11,1.0
0.02,0.0,0.0,0.0,0.0,3.489778107093825e-16,-3.683232076806011e-15,9.545972302612533e-14,0.0,1.9091944605225064e-11,1.0
0.03,0.0,0.0,0.0,0.0,-2.089076730255315e-15,-5.206731912906005e-15,1.5948507419788072e-13,0.0,3.189701483957614e-11,1.0
0.04,0.0,0.0,0.0,0.0,-1.982646108842385e-15,-9.566386421443187e-15,2.1879235808676742e-13,0.0,4.375847161735348e-11,1.0
0.05,0.0,0.0,0.0,0.0,-2.727669259682181e-15,-1.2904971973078556e-14,1.849004493252327e-13,0.0,3.698008986504654e-11,1.0
0.06,0.0,0.0,0.0,0.0,-7.467762942438632e-15,-1.0679940020009665e-14,2.4106283646602626e-13,0.0,4.8212567293205254e-11,1.0
0.07,0.0,0.0,0.0,0.0,1.146753895038117e-14,-7.844388816705262e-15,3.635016314655482e-13,0.0,7.270032629310964e-11,1.0
0.08,0.0,0.0,0.0,0.0,8.583765426260793e-15,-2.3327058305260594e-14,7.744528733137627e-13,0.0,1.5489057466275254e-10,1.0
0.09,0.0,0.0,0.0,0.0,3.705592594640982e-14,1.0744920760199871e-14,6.202271775619471e-13,0.0,1.2404543551238941e-10,1.0
0.1,0.0,0.0,0.0,0.0,5.3563707643780823e-14,3.757434731695515e-15,8.697108691290138e-13,0.0,1.7394217382580277e-10,1.0
0.11,0.0,0.0,0.0,0.0,2.544866379777806e-14,7.145162097971233e-14,7.928995608940492e-13,0.0,1.5857991217880983e-10,1.0
0.12,0.0,0.0,0.0,0.0,3.312603306937287e-14,5.315977948293191e-14,5.368802929344102e-13,0.0,1.0737605858688204e-10,1.0
0.13,0.0,0.0,0.0,0.0,4.1564856416930815e-15,6.053320430930115e-14,9.445142489991256e-13,0.0,1.8890284979982513e-10,1.0
0.14,0.0,0.0,0.0,0.0,-2.475558845700704e-15,2.4904847902058168e-14,8.530915278412925e-13,0.0,1.706183055682585e-10,1.0
0.15,0.0,0.0,0.0,0.0,1.5210932271039021e-15,3.933871291090153e-14,4.718187846288959e-13,0.0,9.436375692577918e-11,1.0
0.16,0.0,0.0,0.0,0.0,-4.240665394700589e-14,1.4351284251688605e-14,6.741609568985374e-13,0.0,1.3483219137970748e-10,1.0
0.17,0.0,0.0,0.0,0.0,-3.109828762265164e-14,-2.566401989461304e-14,3.8107600888442595e-13,0.0,7.621520177688519e-11,1.0
0.18,0.0,0.0,0.0,0.0,-6.636780933569816e-14,-2.6090056733488756e-14,5.139709399284074e-13,0.0,1.0279418798568148e-10,1.0
0.19,0.0,0.0,0.0,0.0,-2.7236158192899428e-14,-2.32708203065109e-14,5.667776540200576e-13,0.0,1.1335553080401152e-10,1.0
0.2,0.0,0.0,0.0,0.0,-2.441360787406127e-14,-8.804540971268771e-15,5.029187963289906e-13,0.0,1.0058375926579811e-10,1.0
0.21,0.0,0.0,0.0,0.0,-2.2310033655263066e-14,1.7165569315603054e-14,7.166503297873949e-13,0.0,1.4333006595747897e-10,1.0
0.22,0.0,0.0,0.0,0.0,-2.701758689978308e-14,3.035653042305912e-15,9.10471303367226e-13,0.0,1.820942606734452e-10,1.0
0.23,0.0,0.0,0.0,0.0,-3.015995879001318e-14,-3.849219108126173e-14,8.483098173084179e-13,0.0,1.6966196346168358e-10,1.0
0.24,0.0,0.0,0.0,0.0,-3.544793427245231e-14,-5.3406245796555086e-14,1.1738950777784099e-12,0.0,2.34779015555682e-10,1.0
0.25,0.0,0.0,0.0,0.0,1.3566481036017508e-14,-8.574973131300216e-14,7.677235286665161e-13,0.0,1.5354470573330323e-10,1.0
0.26,0.0,0.0,0.0,0.0,9.951692743260115e-16,-3.536649173291452e-14,5.43263978863321e-13,0.0,1.086527957726642e-10,1.0
0.27,0.0,0.0,0.0,0.0,-6.456777536032471e-16,1.6140092266866012e-14,8.169966036760055e-13,0.0,1.633993207352011e-10,1.0
0.28,0.0,0.0,0.0,0.0,-3.010824496956015e-14,1.1378170550026783e-13,1.3935121927242898e-12,0.0,2.78702438544858e-10,1.0
0.29,0.0,0.0,0.0,0.0,-4.373045411737772e-14,6.58350716891263e-14,8.631762792321219e-13,0.0,1.7263525584642437e-10,1.0
0.3,0.0,0.0,0.0,0.0,-4.4193441754453416e-14,7.035992858167336e-14,6.254308046675703e-13,0.0,1.2508616093351407e-10,1.0
0.31,0.0,0.0,0.0,0.0,-2.905005424016347e-14,2.440550137951768e-14,1.135260974032244e-12,0.0,2.270521948064488e-10,1.0
0.32,0.0,0.0,0.0,0.0,-2.7030660779563637e-14,3.116993371226299e-16,9.899384190887327e-13,0.0,1.9798768381774653e-10,1.0
0.33,0.0,0.0,0.0,0.0,-6.980913022733994e-14,4.02804962662392e-14,1.5164673695217767e-12,0.0,3.0329347390435535e-10,1.0
0.34,0.0,0.0,0.0,0.0,-7.402446674136725e-14,3.5720116192611437e-14,2.0703929113445306e-12,0.0,4.140785822689061e-10,1.0
0.35000000000000003,0.0,0.0,0.0,0.0,-9.511948602997252e-14,4.882249217311103e-14,1.943857352967031e-12,0.0,3.8877147059340616e-10,1.0
0.36,0.0,0.0,0.0,0.0,-1.403300967312468e-13,4.1229136756533375e-14,2.3950080459354275e-12,0.0,4.790016091870855e-10,1.0
