case_id,suite,role,controller_id,expected_hte_version,raw_path,raw_sha256,tracking_rmse_m,tracking_commanded_rmse_m,tracking_peak_m,steady_abs_error_m,disturbance_recovery_time_max_s,minimum_pairwise_distance_m,formation_rmse_m,all_physical_pass,all_performance_pass,all_pass
Scene01S_X,standard_steps,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene01S_X.csv,ed49b6bcf1a059ba3a0c839435601f5285145a342e97dc75193be7160db54d20,0.1865622289242487,,1.0011003540541188,2.488823036550514e-12,,,,true,true,true
Scene01S_X,standard_steps,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene01S_X.csv,e27c24a970455cf8e5e48b5db46dbb3baef65d44894a2b2a45466b3c8e19b43e,0.1865622289309737,,1.0011003541222152,8.531881925848142e-11,,,,true,true,true
Scene01S_Y,standard_steps,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene01S_Y.csv,d332e41da7eec702b85d5b165e161480ce435519617aff19c652b1a88f8d3ae1,0.18656222871789196,,1.0011003549486974,2.493380224510844e-12,,,,true,true,true
Scene01S_Y,standard_steps,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene01S_Y.csv,ed6858bcefc4f864dd098e0584917b1613fb55bde9255802f8e827b1bbbf8b2b,0.18656222874117714,,1.0011003551392648,8.529599394510504e-11,,,,true,true,true
Scene01S_Z,standard_steps,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene01S_Z.csv,e83f3ca21ef11e155dd833a60d95054c1a4844c1436b30731b334d0ad14ec5cb,0.16170511679669286,,1.000100848219492,4.444167533979027e-11,,,,true,true,true
Scene01S_Z,standard_steps,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene01S_Z.csv,bdec6d2bf7265d1076698ba5e38369e4b7ba67ff1a7d7831ed911e2be32a179f,0.16170511679655325,,1.0001008482129115,6.251187000569435e-10,,,,true,true,true
Scene04,main_single,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene04.csv,b820d564293b1de1ab3e93e4b8decd713bc743974319ee1236b0c36a4c162c2a,0.01896725763681294,,0.07407654766840444,8.714844997264978e-14,,,,true,true,true
Scene04,main_single,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene04.csv,a95be2b543a3808da8cf26797cdb44b0b1fea13df4786e6f8c273a39fec4534c,0.018967257630034328,,0.07407654761824435,8.704296746814481e-14,,,,true,true,true
Scene01,main_single,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene01.csv,cfec3d972581e33bff004f89d7e7214da1e86a2e1bd6b1bbbd9b667cd28bbe8a,0.1550402231263067,,0.5230968102428699,0.03249315321418366,,,,true,true,true
Scene01,main_single,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene01.csv,d1cb6f64bc2920225629a0c1c5aed867a4c8cbf31f34683d7e1a2835ae327bc1,0.15504022314423993,,0.5230968102352325,0.032493153199207835,,,,true,true,true
Scene02,main_single,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene02.csv,a4dc81b75b986010661d361fa12bdab301aa4ac96d13b1164695740321f0b05a,0.36546962953510215,,3.0023237920992925,0.00430177338517018,,,,true,true,true
Scene02,main_single,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene02.csv,d0b4937c57656b372c16f2cbf9d864eadccd06e69da8ead0e02732486b0c4b2b,0.3654696786017276,,3.002323792097006,0.0043017729488633695,,,,true,true,true
Scene03,main_single,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene03.csv,c585aaf9debb466e17d2824f86773ce18841d7a1fe0c74be9a19e358a345e796,0.05173739984886751,,0.5990567413777271,0.0009505609663868657,,,,true,true,true
Scene03,main_single,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene03.csv,f5ea7fc2f015de43f2b38d51a7fd30b52d9741970dcf0c1d0e39b00e2635a295,0.05173739958363874,,0.5990567413362556,0.0009504948098314503,,,,true,true,true
Scene06b,main_single,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene06b.csv,7e19bbf6ba877b07d47178bf1dd57b258c31295ef0f5f4241d055da65b24ff36,0.2949037614733056,,1.2109194150881375,0.006654975057778931,1.6700000000000017,,,true,true,true
Scene06b,main_single,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene06b.csv,bf89cbd3ae9bdde4bb6a991c87a98853b1d310a79787b6e2f19668bc3fa02a1f,0.29490376147342406,,1.210919415089419,0.006654975048555317,1.6700000000000017,,,true,true,true
Scene05B_Nominal,parameter,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_Nominal.csv,1ffaac107d5e83cccd449198283a689b8e33c6949cdec7f1ff1badb2c8bf50dd,0.014692953826605643,,0.07407654766840444,6.477657755731451e-15,,,,true,true,true
Scene05B_Nominal,parameter,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene05B_Nominal.csv,04b0413e716c03b271cbd6a9d04568147871c1c20b4299c8530e8191e29b446c,0.014692953821354602,,0.07407654761824435,6.9238452360205485e-15,,,,true,true,true
Scene05B_LiftMinus10,parameter,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_LiftMinus10.csv,f4014ccee071b61f5b9337c8de0ff092ef8be8312ae0142bd5cd21259a312a85,0.3581966971979845,,0.3762398176947789,0.36333333333332807,,,,true,true,true
Scene05B_LiftMinus10,parameter,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene05B_LiftMinus10.csv,1c3c4fa55464e5a1e7c61262893d17d528bf7cb33cef6449d390ff2647ee4375,0.02251091884107289,,0.13923687324282127,5.267439849570738e-5,,,,true,true,true
Scene05B_PayloadPlus10,parameter,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_PayloadPlus10.csv,7d74cb6840588c68598be0f09b6a1a6080da4bfb10b42a8386d298746ddd790d,0.3224214672830466,,0.3392217353555926,0.3269999999999948,,,,true,true,true
Scene05B_PayloadPlus10,parameter,hte,RA-GCA-CGHTE,914,06_supplementary_evidence/ra_gca_cg_hte_32_raw/Scene05B_PayloadPlus10.csv,c3be2459c2e4bfb6c695333bfaa583bcdacae8add1b8cebabe8b4b42f6479cf5,0.021520068222390897,,0.13300033503463443,9.712186430175708e-6,,,,true,true,true
Scene05B_C000,parameter,v8,RA-GCA/V8,,06_supplementary_evidence/ra_gca_v8_32_raw/Scene05B_C000.csv,95555c089ce30bfccfd931a3c0e9a5dd594acf7494f667c636e444c454e5abe9,0.014692923901779389,,0.07407654775577122,6.780112618649427e-15,,,,true,true,true
