time,referenceVector[1],referenceVector[2],referenceVector[3],referenceVector[4],referenceVector[5],referenceVector[6],referenceVector[7],referenceVector[8],referenceVector[9],referenceVector[10],referenceVector[11],quadChassisTest17_1.body.r_0[1],quadChassisTest17_1.body.r_0[2],quadChassisTest17_1.body.r_0[3],quadChassisTest17_1.body.v_0[1],quadChassisTest17_1.body.v_0[2],quadChassisTest17_1.body.v_0[3],sensors1_1.AngleMea[1],sensors1_1.AngleMea[2],sensors1_1.AngleMea[3],quadChassisTest17_1.body.frame_b.R.w[1],quadChassisTest17_1.body.frame_b.R.w[2],quadChassisTest17_1.body.frame_b.R.w[3],"quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]",motorCommand[1],motorCommand[2],motorCommand[3],motorCommand[4],speedSensor[1].w,speedSensor[2].w,speedSensor[3].w,speedSensor[4].w,controllerDiagnostics[1],controllerDiagnostics[2],controllerDiagnostics[3],controllerDiagnostics[4],controllerDiagnostics[5],controllerDiagnostics[6],controllerDiagnostics[7],controllerDiagnostics[8],controllerDiagnostics[9],controllerDiagnostics[10],controllerDiagnostics[11],controllerDiagnostics[12],controllerDiagnostics[13],controllerDiagnostics[14],controllerDiagnostics[15],controllerDiagnostics[16]
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.612542276883257,-17.612542276883257,17.612542276883257,-17.612542276883257,0.0,0.0,0.0,0.0,0.0,0.0,2.48161316364,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3600.0,914.0
0.01,0.0,0.0,0.02,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.369359208228672e-16,2.483968308432168e-16,1.6197004924572314e-06,4.348086807949514e-14,2.4994897628430466e-14,0.0001787348299802814,8.917731966276464e-16,-2.076865196766665e-14,1.202170481224842e-13,-9.267991253657243e-14,-2.0752661731335022e-12,7.66612977532888e-11,1.0,1.2021704812248417e-13,2.076865196766676e-14,-1.2021704812248417e-13,1.0,8.917731966251496e-16,-2.076865196766665e-14,-8.917731966276464e-16,1.0,17.646965160733323,-17.646965160733377,17.646965160734446,-17.64696516073439,5.410714257040229,-5.410714257040177,5.410714257040187,-5.410714257040172,-2.1503578709357654e-14,-1.2359889411955649e-14,2.491323035073244,3.3094196027550104e-16,6.383582935493522e-15,0.0,4.220086666012518e-18,0.0,0.019998380299507543,1.2801295959910433e-14,1.0,1.0,0.0,-1.1212677028713265,3600.0,914.0
0.02,0.0,0.0,0.04,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.801517794284307e-16,4.871809467505758e-16,3.7846639992298258e-06,4.3332846407231723e-14,2.460807945103e-14,0.0002649720059135361,2.8296486970314363e-15,-4.6004551901422105e-14,9.642223091594406e-13,4.5069547130315874e-13,-2.356917468932187e-12,2.7748518545438985e-11,1.0,9.642223091594404e-13,4.600455190142483e-14,-9.642223091594404e-13,1.0,2.829648696987078e-15,-4.6004551901422105e-14,-2.8296486970314363e-15,1.0,17.68146411840945,-17.681464118409227,17.68146411841049,-17.68146411841071,11.767950351375871,-11.76795035137583,11.76795035137586,-11.76795035137585,-2.1655298786075277e-14,-1.2291327094633177e-14,2.5010733869649537,-1.3249843764765588e-15,7.556252355548353e-15,0.0,9.731217246266293e-18,0.0,0.03999621533600077,3.7404293702761105e-14,1.0,1.0,0.0,-1.130609873763925,3600.0,914.0
0.03,0.0,0.0,0.06,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.288236228871625e-15,6.939717016123467e-16,4.5558406955813984e-05,3.845586818884493e-14,2.381696464699207e-14,0.019315584304318456,1.3045818295708365e-14,-6.320014275635482e-14,3.4019549611267105e-13,3.109559364400451e-12,-2.1292913277920727e-12,-8.782868469918142e-11,1.0,3.4019549611267025e-13,6.320014275635927e-14,-3.4019549611267105e-13,1.0,1.3045818295686864e-14,-6.320014275635482e-14,-1.3045818295708365e-14,1.0,17.686329845518305,-17.686329845516735,17.686329845517918,-17.686329845519488,18.125942713445273,-18.125942713445276,18.12594271344531,-18.125942713445333,-1.9474567291164287e-14,-1.2008691901282583e-14,2.5024501072357177,-9.43588967218554e-15,7.108307238682523e-15,0.0,7.801686559744922e-18,0.0,0.05995444159304418,5.6028226087024295e-14,1.0,1.0,0.0,-0.8255285900424484,3600.0,914.0
0.04,0.0,0.0,0.08,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.5359139440789481e-15,8.380586954713612e-16,0.0006272140805707618,8.340998898526106e-15,-1.0519575611870817e-15,0.09463531756291033,4.495564411684146e-14,-8.162562991168573e-14,-1.7012966809234617e-12,2.7713954589793475e-12,-1.4375628988404804e-12,-2.3644635076435234e-10,1.0,-1.7012966809234653e-12,8.162562991160924e-14,1.7012966809234617e-12,1.0,4.495564411698032e-14,-8.162562991168573e-14,-4.495564411684146e-14,1.0,17.602466896942857,-17.60246689694137,17.602466896942264,-17.602466896943753,18.03903281570669,-18.039032815704704,18.039032815706076,-18.039032815707973,-4.859512505271891e-15,9.102360114956719e-17,2.478774726863669,-8.899087126009421e-15,5.348336042498197e-15,0.0,5.5011653541091145e-18,0.0,0.07937278591942924,9.149237079756714e-14,1.0,1.0,0.0,0.16593546117967997,3600.0,914.0
0.05,0.0,0.0,0.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.768594829706504e-17,6.794102947364697e-16,0.0018716782501215206,-5.57086097554185e-13,-3.139575554499476e-14,0.15351305767733064,6.626825247792965e-14,-3.2152848416268494e-14,-3.773286202555139e-12,9.874658916324276e-13,2.293696650669722e-11,-1.2039781411186554e-10,1.0,-3.773286202555141e-12,3.2152848416018444e-14,3.77328620255514e-12,1.0,6.626825247805097e-14,-3.2152848416268494e-14,-6.626825247792965e-14,1.0,17.5428689162422,-17.54286891624154,17.542868916230297,-17.542868916230955,17.729279032311315,-17.72927903230935,17.729279032310213,-17.729279032312206,2.726275529805916e-13,1.5023646073817412e-14,2.4620179984979838,-3.90321313363395e-15,-6.695337866527279e-14,0.0,5.637327255690459e-18,0.0,0.09812832174987848,1.6016850323613842e-13,1.0,1.0,0.0,0.12374713406783247,3600.0,914.0
0.06,0.0,0.0,0.12,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-5.027612757713717e-15,1.5276857645669354e-16,0.003679027293656821,-4.1994676991935166e-13,-7.854831710100137e-14,0.20748447177366,7.166354007819923e-14,1.8403376926079956e-13,-4.889800844549799e-12,1.491090011353305e-13,1.8720652573408098e-11,-5.4910614312466274e-11,1.0,-4.889800844549786e-12,-1.8403376926115e-13,4.889800844549799e-12,1.0,7.166354007729935e-14,1.8403376926079956e-13,-7.166354007819923e-14,1.0,17.489808119770906,-17.48980811977064,17.489808119760962,-17.48980811976123,17.565282950456567,-17.565282950456208,17.565282950441876,-17.56528295044215,2.0809426205020955e-13,3.8369780691442005e-14,2.447147104529843,-1.582785130536245e-15,-5.744893583417023e-14,0.0,7.951666479543614e-18,0.0,0.11632097270634317,1.3202065967610334e-13,1.0,1.0,0.0,0.04887562188802456,3600.0,914.0
0.07,0.0,0.0,0.14,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-8.657626634402174e-15,-9.01143143220894e-16,0.006016484422445579,-2.4430514349782323e-13,-4.6192175871845024e-14,0.2596759229992891,5.873643368138241e-14,3.540359050227652e-13,-5.486338878995747e-12,-8.800054354774553e-14,1.2949709284068034e-11,-9.825491332856403e-11,1.0,-5.486338878995726e-12,-3.540359050230874e-13,5.486338878995747e-12,1.0,5.873643367944004e-14,3.540359050227652e-13,-5.873643368138241e-14,1.0,17.43846629293149,-17.438466292931388,17.438466292924158,-17.43846629292426,17.47978477384231,-17.47978477384229,17.47978477383201,-17.4797847738321,1.2395895521598234e-13,2.306547205986263e-14,2.4328008531966394,-6.228254727906216e-16,-4.2789203194017283e-14,0.0,8.795136860053554e-18,0.0,0.13398351557755445,3.106650245181626e-13,1.0,1.0,0.0,0.018797738578342896,3600.0,914.0
0.08,0.0,0.0,0.16,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0354142714679985e-14,-1.4849892458562383e-15,0.0088699355446841,-1.4374386997535836e-13,-1.2202160747089865e-13,0.3107595778776033,5.693124057695938e-14,4.644660324464221e-13,-5.918530608151808e-12,-1.5612073130807172e-12,1.135585818758022e-11,1.1831278806481145e-10,1.0,-5.9185306081517815e-12,-4.64466032446759e-13,5.918530608151807e-12,1.0,5.693124057421043e-14,4.644660324464221e-13,-5.693124057695938e-14,1.0,17.38781918499138,-17.387819184991994,17.387819184985265,-17.38781918498465,17.42185728857021,-17.421857288570163,17.421857288563608,-17.421857288563558,7.559529704358871e-14,6.0477008909406e-14,2.4186900480787834,3.618463366198984e-15,-3.9699322607674575e-14,0.0,1.3179563179440105e-17,0.0,0.1511300644553159,4.408917055465994e-13,1.0,1.0,0.0,0.008785326223666526,3600.0,914.0
0.09,0.0,0.0,0.18,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.10971909706362e-14,-3.1064813818811403e-15,0.012229487591075614,-6.147078390938702e-14,-2.843829580453911e-13,0.3609188670756838,2.424359665972791e-14,5.654734343572894e-13,-4.723844217944763e-12,-8.870257488570357e-12,1.161128723421712e-11,9.89478573384071e-11,1.0,-4.723844217944749e-12,-5.654734343574039e-13,4.723844217944762e-12,1.0,2.4243596657056702e-14,5.654734343572894e-13,-2.424359665972791e-14,1.0,17.337599048388544,-17.33759904839288,17.337599048385748,-17.33759904838141,17.370258969688457,-17.370258969689306,17.370258969682904,-17.37025896968211,3.570090852610803e-14,1.4076815518603534e-13,2.4047387261010784,2.5534614090016898e-14,-4.199201749661384e-14,0.0,9.702434931736706e-18,0.0,0.16777051240892438,5.568152850435046e-13,1.0,1.0,0.0,0.005722614111261109,3600.0,914.0
