time,referenceVector[1],referenceVector[2],referenceVector[3],referenceVector[4],referenceVector[5],referenceVector[6],referenceVector[7],referenceVector[8],referenceVector[9],referenceVector[10],referenceVector[11],quadChassisTest17_1.body.r_0[1],quadChassisTest17_1.body.r_0[2],quadChassisTest17_1.body.r_0[3],quadChassisTest17_1.body.v_0[1],quadChassisTest17_1.body.v_0[2],quadChassisTest17_1.body.v_0[3],sensors1_1.AngleMea[1],sensors1_1.AngleMea[2],sensors1_1.AngleMea[3],quadChassisTest17_1.body.frame_b.R.w[1],quadChassisTest17_1.body.frame_b.R.w[2],quadChassisTest17_1.body.frame_b.R.w[3],"quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]",motorCommand[1],motorCommand[2],motorCommand[3],motorCommand[4],speedSensor[1].w,speedSensor[2].w,speedSensor[3].w,speedSensor[4].w,controllerDiagnostics[1],controllerDiagnostics[2],controllerDiagnostics[3],controllerDiagnostics[4],controllerDiagnostics[5],controllerDiagnostics[6],controllerDiagnostics[7],controllerDiagnostics[8],controllerDiagnostics[9],controllerDiagnostics[10],controllerDiagnostics[11],controllerDiagnostics[12],controllerDiagnostics[13],controllerDiagnostics[14],controllerDiagnostics[15],controllerDiagnostics[16]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.144641520908191,-14.144641520908191,14.144641520908191,-14.144641520908191,0.0,0.0,0.0,0.0,0.0,0.0,1.60056707004,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3600.0,914.0
0.01,0.0,0.0,0.0030000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.369359208228672e-16,2.483968308432168e-16,1.6197004924572314e-06,4.348086807949514e-14,2.4994897628430466e-14,0.0001787348299802814,8.917731966276464e-16,-2.076865196766665e-14,1.202170481224842e-13,-9.267991253657243e-14,-2.0752661731335022e-12,7.66612977532888e-11,1.0,1.2021704812248417e-13,2.076865196766676e-14,-1.2021704812248417e-13,1.0,8.917731966251496e-16,-2.076865196766665e-14,-8.917731966276464e-16,1.0,14.15077714557175,-14.150777145571826,14.150777145573143,-14.150777145573066,5.410714257040229,-5.410714257040177,5.410714257040187,-5.410714257040172,-2.1503578709357654e-14,-1.2359889411955649e-14,1.6019559505892438,3.667481720343615e-16,6.3212877427795706e-15,0.0,2.202880074980965e-18,0.0,0.0029983802995075435,1.0025818185741249e-14,1.0,1.0,0.0,0.004328744201813202,3600.0,914.0
0.02,0.0,0.0,0.006000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.913007415414904e-16,5.179864678011465e-16,3.78466399922979e-06,4.7930115502776524e-14,2.946991417003279e-14,0.0002649720059135377,5.226486163254914e-15,-4.0124703012587086e-14,1.0599180929057068e-12,1.0951983251639335e-12,-1.018405787230647e-12,2.60920430692992e-10,1.0,1.0599180929057066e-12,4.012470301259263e-14,-1.059918092905707e-12,1.0,5.2264861632123845e-15,-4.0124703012587086e-14,-5.226486163254914e-15,1.0,14.157088823258078,-14.157088823257405,14.15708882325811,-14.157088823258782,11.76795035137593,-11.76795035137583,11.767950351375896,-11.767950351375793,-2.3911163315163646e-14,-1.4686630580015742e-14,1.6033853115969539,-3.234462367480216e-15,3.3829704886065065e-15,0.0,4.169422606987018e-18,0.0,0.0059962153360007715,2.5516748856683124e-14,1.0,1.0,0.0,0.00037700100899073656,3600.0,914.0
0.03,0.0,0.0,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2768884773298946e-15,8.193766436022719e-16,3.49795851213588e-05,2.7458993353064472e-14,2.5972926375090447e-14,0.011403404693428744,1.5227970402708435e-14,-8.838947081374857e-15,5.214789995371283e-12,4.858426224198562e-13,6.650700736637352e-12,5.170231194704938e-10,1.0,5.214789995371283e-12,8.838947081454267e-15,-5.214789995371283e-12,1.0,1.522797040266234e-14,-8.838947081374857e-15,-1.5227970402708435e-14,1.0,14.1418338470905,-14.141833847090176,14.14183384708602,-14.141833847086344,15.475338833530808,-15.475338833529857,15.475338833530854,-15.475338833531898,-1.4086186862768883e-14,-1.3127398629371003e-14,1.599931716469209,-1.5488268164583002e-15,-1.9951651050740274e-14,0.0,4.4691642253531875e-18,0.0,0.008965020414878642,7.023081838986763e-15,1.0,1.0,0.0,0.26475106029995554,3600.0,914.0
0.04,0.0,0.0,0.012000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6771081504578348e-15,1.0426670225208103e-15,0.00019467457225047591,6.801063906466068e-14,2.0395318602690726e-14,0.018398934651081073,1.932486276313687e-14,4.3887210056145345e-14,9.75469558772465e-12,3.973478738464002e-13,3.579929161399973e-12,4.1086809330150403e-10,1.0,9.754695587724651e-12,-4.388721005595684e-14,-9.754695587724651e-12,1.0,1.9324862763564975e-14,4.3887210056145345e-14,-1.932486276313687e-14,1.0,14.134356496410327,-14.134356496410042,14.134356496407628,-14.13435649640791,14.456939117644035,-14.456939117643772,14.456939117638392,-14.456939117638617,-3.413742839360072e-14,-1.0510263748138608e-14,1.5982402685406292,-1.357776919908223e-15,-1.1587993213009027e-14,0.0,2.8730099279417126e-18,0.0,0.011805325427749525,6.648043199099464e-14,1.0,1.0,0.0,0.22474313395988885,3600.0,914.0
0.05,0.0,0.0,0.015000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.542747986281123e-15,1.1831468999155283e-15,0.0003920477079161874,1.0056508341437819e-13,-3.2577132723220454e-17,0.020317957367052948,1.7538548631973416e-14,7.253081442453269e-14,1.3374978991631698e-11,-1.86002263717631e-12,2.2425339381070916e-12,2.2064515695733847e-10,1.0,1.33749789916317e-11,-7.25308144242981e-14,-1.33749789916317e-11,1.0,1.7538548632943513e-14,7.253081442453269e-14,-1.7538548631973416e-14,1.0,14.136684091062504,-14.136684091063621,14.136684091061936,-14.13668409106082,14.184049645423364,-14.184049645423165,14.184049645420744,-14.184049645421052,-5.050968223025688e-14,-5.82473276264757e-16,1.5987666967239333,5.356803025497136e-15,-8.081210149127536e-15,0.0,4.168720421311454e-18,0.0,0.014607952292083816,1.055305764432676e-13,1.0,1.0,0.0,0.09560276745432844,3600.0,914.0
0.06,0.0,0.0,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5374785836287964e-15,1.3230724485709928e-15,0.0005976839476207216,1.1527695386429595e-13,1.6282440182254947e-14,0.020696494634257014,4.889162967613952e-15,9.983690896481509e-14,1.550499482965584e-11,-1.1446416224687813e-12,2.1626821855804824e-12,2.1475516954102186e-10,1.0,1.550499482965584e-11,-9.983690896473928e-14,-1.550499482965584e-11,1.0,4.889162969161923e-15,9.983690896481509e-14,-4.889162967613952e-15,1.0,14.141992874542247,-14.141992874542964,14.141992874541243,-14.141992874540525,14.147147879361054,-14.14714787936255,14.147147879361144,-14.14714787935964,-5.821382275617881e-14,-8.638957994237089e-15,1.5999676997087158,3.440558699548123e-15,-8.258923231445177e-15,0.0,3.652693331411352e-18,0.0,0.01740231605237928,1.3622223846674687e-13,1.0,1.0,0.0,0.030770779720690797,3600.0,914.0
0.07,0.0,0.0,0.021000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.134429759016294e-15,1.728931415382894e-15,0.0008049275953104493,2.0205470563463533e-13,1.863746560231195e-14,0.020760249538270947,1.6939372599778148e-15,1.0522155785777237e-13,1.7259986110809682e-11,-1.6881149717810937e-12,-9.321116197972057e-13,8.450506073267523e-11,1.0,1.7259986110809682e-11,-1.0522155785774314e-13,-1.7259986110809682e-11,1.0,1.6939372617939375e-15,1.0522155785777237e-13,-1.6939372599778148e-15,1.0,14.147908788938583,-14.14790878893965,14.147908788939777,-14.14790878893871,14.14684834941663,-14.146848349417475,14.146848349415775,-14.146848349414988,-1.014966485283369e-13,-9.99695007896347e-15,1.6013065848011399,5.123482674669962e-15,6.044672193694976e-16,0.0,2.2207050706437334e-16,0.0,0.020195072404689554,1.6866655992697401e-13,1.0,1.0,0.0,0.008139157631006736,3600.0,914.0
0.08,0.0,0.0,0.024000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.147139017349584e-15,1.7481693477797556e-15,0.0010127645082804054,2.3579514883470633e-13,-1.1639482751959957e-13,0.020826399709833954,-2.2259087603317846e-14,9.849931574726057e-14,1.8132823688544147e-11,-7.530775244413736e-12,-1.7727878044674723e-12,9.836126976539835e-11,1.0,1.8132823688544144e-11,-9.849931574766419e-14,-1.8132823688544144e-11,1.0,-2.2259087601531777e-14,9.849931574726057e-14,2.2259087603317846e-14,1.0,14.153816288976696,-14.153816288981366,14.153816288982004,-14.153816288977335,14.150890073735757,-14.150890073736708,14.150890073737408,-14.15089007373642,-1.1902958461816054e-13,5.6087583185601456e-14,1.6026441243374174,2.2426734115076198e-14,3.0723525306943797e-15,0.0,5.744501562653465e-18,0.0,0.022987235491719597,1.7323899196992032e-13,1.0,1.0,0.0,0.0016342417189353186,3600.0,914.0
0.09,0.0,0.0,0.027000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.751743789467473e-15,5.029954969407831e-16,0.0012215874963784669,4.378301852019461e-13,-1.5769173508750745e-13,0.020958556736080682,-1.0084420528727138e-13,7.171722139658908e-14,1.8986879119309564e-11,-9.055758520614496e-12,-1.0195826551009759e-11,3.0253017539747424e-11,1.0,1.8986879119309557e-11,-7.17172213985038e-14,-1.8986879119309564e-11,1.0,-1.008442052859097e-13,7.171722139658908e-14,1.0084420528727138e-13,1.0,14.159590847184651,-14.159590847190445,14.159590847196247,-14.15959084719045,14.156087066701259,-14.15608706670712,14.156087066708036,-14.156087066702217,-2.1923705627567824e-13,7.693097383347435e-14,1.603952103678716,2.7854726212710885e-14,2.787824378107386e-14,0.0,2.2207794987451193e-16,0.0,0.025778412503621537,2.1500718864090704e-13,1.0,1.0,0.0,-5.180775927214227e-05,3600.0,914.0
