time,referenceVector[1],referenceVector[2],referenceVector[3],referenceVector[4],referenceVector[5],referenceVector[6],referenceVector[7],referenceVector[8],referenceVector[9],referenceVector[10],referenceVector[11],quadChassisTest17_1.body.r_0[1],quadChassisTest17_1.body.r_0[2],quadChassisTest17_1.body.r_0[3],quadChassisTest17_1.body.v_0[1],quadChassisTest17_1.body.v_0[2],quadChassisTest17_1.body.v_0[3],sensors1_1.AngleMea[1],sensors1_1.AngleMea[2],sensors1_1.AngleMea[3],quadChassisTest17_1.body.frame_b.R.w[1],quadChassisTest17_1.body.frame_b.R.w[2],quadChassisTest17_1.body.frame_b.R.w[3],"quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]",motorCommand[1],motorCommand[2],motorCommand[3],motorCommand[4],speedSensor[1].w,speedSensor[2].w,speedSensor[3].w,speedSensor[4].w,controllerDiagnostics[1],controllerDiagnostics[2],controllerDiagnostics[3],controllerDiagnostics[4],controllerDiagnostics[5],controllerDiagnostics[6],controllerDiagnostics[7],controllerDiagnostics[8],controllerDiagnostics[9],controllerDiagnostics[10],controllerDiagnostics[11],controllerDiagnostics[12],controllerDiagnostics[13],controllerDiagnostics[14],controllerDiagnostics[15],controllerDiagnostics[16]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.144641520908191,-14.144641520908191,14.144641520908191,-14.144641520908191,0.0,0.0,0.0,0.0,0.0,0.0,1.60056707004,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3600.0,914.0
0.01,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.369359208228672e-16,2.483968308432168e-16,1.6197004924572314e-06,4.348086807949514e-14,2.4994897628430466e-14,0.0001787348299802814,8.917731966276464e-16,-2.076865196766665e-14,1.202170481224842e-13,-9.267991253657243e-14,-2.0752661731335022e-12,7.66612977532888e-11,1.0,1.2021704812248417e-13,2.076865196766676e-14,-1.2021704812248417e-13,1.0,8.917731966251496e-16,-2.076865196766665e-14,-8.917731966276464e-16,1.0,14.148615128949396,-14.148615128949473,14.148615128950789,-14.148615128950713,5.410714257040229,-5.410714257040177,5.410714257040187,-5.410714257040172,-2.1503578709357654e-14,-1.2359889411955649e-14,1.6014664805372436,3.6677882804505795e-16,6.321234407841291e-15,0.0,2.151940931046378e-18,0.0,0.001998380299507543,1.0024418404169648e-14,1.0,1.0,0.0,0.004328744201813202,3600.0,914.0
0.02,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.595229186456693e-16,5.022550223819506e-16,3.784663999229849e-06,4.069775101100324e-14,2.7726022659747598e-14,0.0002649720059135366,1.1901270780107656e-15,-4.052066676460091e-14,1.3160288511794567e-12,-2.7885745739281826e-13,-9.041729041131886e-13,2.180395467394937e-10,1.0,1.3160288511794567e-12,4.0520666764602474e-14,-1.3160288511794567e-12,1.0,1.1901270779574393e-15,-4.052066676460091e-14,-1.1901270780107656e-15,1.0,14.152766388116756,-14.152766388116952,14.152766388117591,-14.152766388117398,11.767950351375916,-11.76795035137585,11.767950351375884,-11.767950351375825,-2.0355064722246322e-14,-1.3825091171339807e-14,1.602406371492954,9.33260898996854e-16,3.0741508417322012e-15,0.0,4.238333598558686e-18,0.0,0.003996215336000771,2.8794976985061155e-14,1.0,1.0,0.0,0.0012848927289376727,3600.0,914.0
0.03,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2315114127614623e-15,6.749417996548888e-16,3.493612514865865e-05,2.930611801700748e-14,1.0269644611577909e-14,0.011376537922722158,-1.3865003714936162e-14,-2.6024302413079794e-14,1.0218382379403925e-12,-2.576433829172783e-12,2.8601086818348343e-12,-2.0917425403848773e-10,1.0,1.021838237940393e-12,2.6024302413065626e-14,-1.0218382379403925e-12,1.0,-1.3865003714962756e-14,-2.6024302413079794e-14,1.3865003714936162e-14,1.0,14.135395126318823,-14.13539512632048,14.135395126318736,-14.13539512631708,15.469116739037318,-15.469116739037638,15.469116739038554,-15.469116739038283,-1.4967347996787168e-14,-5.36805940641708e-15,1.5984751630172536,7.953203624648585e-15,-8.363735824077784e-15,0.0,3.743516114673586e-18,0.0,0.005965063874851341,2.3962926374072963e-14,1.0,1.0,0.0,0.2660441846864563,3600.0,914.0
0.04,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5421404907143642e-15,8.323399653924842e-16,0.00019386630232020815,4.141044574489795e-14,2.6283763291961694e-14,0.01827163956989781,-3.507812100652622e-14,4.434490714168837e-15,-1.1519004900078586e-12,-1.5679581418051379e-12,2.7625595885247448e-12,-2.2227451511690988e-10,1.0,-1.1519004900078588e-12,-4.43449071412843e-15,1.1519004900078588e-12,1.0,-3.507812100653133e-14,4.434490714168837e-15,3.507812100652622e-14,1.0,14.125946253143699,-14.125946253144798,14.125946253143022,-14.125946253141922,14.44985462065153,-14.44985462065358,14.449854620651225,-14.44985462064918,-2.1049165671152355e-14,-1.3286100654285931e-14,1.5963388603735595,5.268087144211693e-15,-8.516743853694885e-15,0.0,2.0490185678303916e-18,0.0,0.007806133697679792,4.6841467913118274e-14,1.0,1.0,0.0,0.22504599258244223,3600.0,914.0
0.05,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0649992011464444e-15,1.1914115619227791e-15,0.00038940110689521804,6.709103251186123e-14,4.765851706770511e-14,0.020071043537965797,-4.54678747518752e-14,3.321304667971903e-14,-3.56209651144003e-12,-3.5141650169890626e-14,3.79618358553166e-12,-2.8955156973203e-10,1.0,-3.562096511440032e-12,-3.321304667955707e-14,3.56209651144003e-12,1.0,-4.54678747519935e-14,3.321304667971903e-14,4.54678747518752e-14,1.0,14.126346896528235,-14.12634689652842,14.126346896525897,-14.12634689652571,14.174964819987496,-14.174964819988565,14.174964819986586,-14.174964819985492,-3.388349828089169e-14,-2.3930015782512512e-14,1.596429413128159,8.913735671068012e-16,-1.2096239532637544e-14,0.0,4.161670702348429e-18,0.0,0.009610598893104784,8.135460518627805e-14,1.0,1.0,0.0,0.09581185668239968,3600.0,914.0
0.06,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.998491867495398e-15,1.6980381605220618e-15,0.0005918842866105127,1.0235620160083057e-13,5.746700074416305e-14,0.02030568292173145,-4.4752601693160065e-14,6.065461024861807e-14,-6.4624506048276326e-12,-1.2473943944521607e-12,2.0627610008413487e-12,-2.9558588578740117e-10,1.0,-6.462450604827635e-12,-6.065461024832886e-14,6.462450604827632e-12,1.0,-4.475260169355205e-14,6.065461024861807e-14,4.4752601693160065e-14,1.0,14.129781844226603,-14.129781844227555,14.129781844226011,-14.12978184422506,14.136116221994433,-14.136116221994312,14.136116221991614,-14.136116221991633,-5.161688968939573e-14,-2.898721929681587e-14,1.597205879723419,4.559900177992406e-15,-7.396913831874454e-15,0.0,4.298128586559802e-18,0.0,0.011408115713389488,1.1225102798576909e-13,1.0,1.0,0.0,0.030976720478150248,3600.0,914.0
0.07,0.0,0.0,0.014000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.619312122368702e-15,2.744800382186102e-15,0.0007944067067448849,4.1550214143255605e-13,3.5538053880030273e-13,0.020199951260672516,-4.1443296386174125e-14,5.4388217656046e-14,-9.056850970015249e-12,9.634438132484536e-12,-1.2437125722735944e-11,-1.479146394291739e-10,1.0,-9.05685097001525e-12,-5.4388217655670654e-14,9.056850970015248e-12,1.0,-4.1443296386666715e-14,5.4388217656046e-14,4.1443296386174125e-14,1.0,14.133878927957062,-14.133878927951447,14.133878927958728,-14.133878927964343,14.13396667235324,-14.133966672354276,14.133966672352956,-14.133966672351976,-2.0571223688266926e-13,-1.7533641164503034e-13,1.5981322684013777,-2.6938278265503e-14,3.493096504133513e-14,0.0,3.5793718809786305e-18,0.0,0.013205593293255116,2.374386111085805e-13,1.0,1.0,0.0,0.008337003994827832,3600.0,914.0
0.08,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.799051138144998e-15,6.872221176257834e-15,0.0009957004711691664,4.664345357214126e-13,3.1077722245196946e-13,0.020071417590463218,7.771716429770398e-14,-2.9960108119160045e-14,-1.0444236227759987e-11,6.7842000935624654e-12,-1.5638202415964802e-11,-1.0199310337589215e-10,1.0,-1.0444236227759988e-11,2.996010811834835e-14,1.0444236227759985e-11,1.0,7.77171642980169e-14,-2.9960108119160045e-14,-7.771716429770398e-14,1.0,14.138021888154377,-14.138021888150188,14.138021888159653,-14.138021888163841,14.13621321669588,-14.136213216688542,14.136213216697774,-14.136213216704878,-2.322503851524988e-13,-1.5559201457236274e-13,1.5990693032800547,-2.0098002512127453e-14,4.541595597514893e-14,0.0,2.220986721788638e-16,0.0,0.015004299528830834,1.1693258213027223e-13,1.0,1.0,0.0,0.0018243057575319896,3600.0,914.0
0.09,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.901081972812709e-15,8.185113528295841e-15,0.0011959099174578844,-1.8163794505431107e-13,-2.9261005135437616e-13,0.019984368372697348,7.272704381700103e-14,-7.932751706977261e-14,-1.149604091414848e-11,-1.775358084367457e-11,1.1683347849789588e-11,-1.2594959695074854e-10,1.0,-1.1496040914148486e-11,7.932751706893655e-14,1.149604091414848e-11,1.0,7.272704381791298e-14,-7.932751706977261e-14,-7.272704381700103e-14,1.0,14.14208521595286,-14.142085215963524,14.142085215956579,-14.142085215945915,14.139665834173483,-14.139665834169108,14.139665834180164,-14.13966583418459,8.389850853254826e-14,1.3908394350968427e-13,1.5999885940426004,5.118522586497428e-14,-3.3337105586565387e-14,0.0,6.19622908995228e-18,0.0,0.016804090082542113,2.0700635864032325e-13,1.0,1.0,0.0,0.00013182851539805026,3600.0,914.0
