time,referenceVector[1],referenceVector[2],referenceVector[3],referenceVector[4],referenceVector[5],referenceVector[6],referenceVector[7],referenceVector[8],referenceVector[9],referenceVector[10],referenceVector[11],quadChassisTest17_1.body.r_0[1],quadChassisTest17_1.body.r_0[2],quadChassisTest17_1.body.r_0[3],quadChassisTest17_1.body.v_0[1],quadChassisTest17_1.body.v_0[2],quadChassisTest17_1.body.v_0[3],sensors1_1.AngleMea[1],sensors1_1.AngleMea[2],sensors1_1.AngleMea[3],quadChassisTest17_1.body.frame_b.R.w[1],quadChassisTest17_1.body.frame_b.R.w[2],quadChassisTest17_1.body.frame_b.R.w[3],"quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]",motorCommand[1],motorCommand[2],motorCommand[3],motorCommand[4],speedSensor[1].w,speedSensor[2].w,speedSensor[3].w,speedSensor[4].w,controllerDiagnostics[1],controllerDiagnostics[2],controllerDiagnostics[3],controllerDiagnostics[4],controllerDiagnostics[5],controllerDiagnostics[6],controllerDiagnostics[7],controllerDiagnostics[8],controllerDiagnostics[9],controllerDiagnostics[10],controllerDiagnostics[11],controllerDiagnostics[12],controllerDiagnostics[13],controllerDiagnostics[14],controllerDiagnostics[15],controllerDiagnostics[16],scenarioDiagnostics[1],scenarioDiagnostics[2],scenarioDiagnostics[3],scenarioDiagnostics[4],scenarioDiagnostics[5],scenarioDiagnostics[6],scenarioDiagnostics[7],scenarioDiagnostics[8],scenarioDiagnostics[9],scenarioDiagnostics[10],scenarioDiagnostics[11],scenarioDiagnostics[12],scenarioDiagnostics[13],scenarioDiagnostics[14],scenarioDiagnostics[15],scenarioDiagnostics[16]
0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.71701389582819,-14.71701389582819,14.71701389582819,-14.71701389582819,0.0,0.0,0.0,0.0,0.0,0.0,1.7327239840800002,-0.0,-0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3600.0,914.0,0.9,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,8.236847459794445e-17,1.9517984604097471e-16,1.4535996430283976e-06,7.548210870563957e-15,1.8262638477516515e-14,0.00016046673183348466,2.0465840512091873e-14,-5.310567261786164e-15,1.1056057409611617e-12,2.7469350972103257e-12,-7.043030875133159e-13,1.796928215169658e-10,1.0,1.1056057409611615e-12,5.310567261808791e-15,-1.1056057409611615e-12,1.0,2.0465840512086003e-14,-5.310567261786164e-15,-2.0465840512091873e-14,1.0,14.722945499496008,-14.722945499494319,14.72294549949475,-14.72294549949644,5.41071539731283,-5.41071539731276,5.410715397312829,-5.410715397312803,-3.7362839655846754e-15,-9.037733784284604e-15,1.73412099344889,-8.439109002770575e-15,2.153937235203784e-15,0.0,3.51936407420887e-18,0.0,0.0029985464003569715,1.557719019574223e-14,1.0,1.0,0.0,-0.22637353148660386,3600.0,914.0,0.9,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.006,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.2623186466684618e-16,3.887692777523023e-16,3.3980830858305663e-06,-3.080075593537791e-15,2.536712554870196e-14,0.0002380725929593058,5.288625218178009e-14,-1.827708849554304e-15,3.3296744316580232e-12,3.6815796490912584e-12,1.9143138610553036e-12,2.152314118973007e-10,1.0,3.3296744316580232e-12,1.827708849730398e-15,-3.3296744316580232e-12,1.0,5.288625218177401e-14,-1.827708849554304e-15,-5.288625218178009e-14,1.0,14.72902858587632,-14.729028585873992,14.72902858587285,-14.729028585875177,11.767952831341116,-11.767952831341026,11.767952831341113,-11.76795283134106,1.443758486324917e-15,-1.2613082210631011e-14,1.7355542646680853,-1.1637783162986812e-14,-5.708367035956461e-15,0.0,2.2208343082532366e-16,0.0,0.005996601916914169,4.5696246988013344e-14,1.0,1.0,0.0,-0.22980667108806882,3600.0,914.0,0.9,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.009,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-8.289495905097639e-16,1.571399734165957e-15,1.0451505472719982e-05,-2.356058123407868e-13,2.5539733405510227e-13,0.0030016645823343225,1.5368951662733436e-13,7.283330374123975e-14,5.669851960163605e-12,1.7261968341797946e-11,1.4826490819236982e-11,2.828204355949512e-10,1.0,5.669851960163617e-12,-7.283330374036835e-14,-5.669851960163605e-12,1.0,1.536895166277473e-13,7.283330374123975e-14,-1.5368951662733436e-13,1.0,14.73007890518618,-14.730078905175612,14.7300789051667,-14.730078905177267,16.264421165403704,-16.26442116540072,16.264421165399156,-16.264421165402194,1.1574126008375844e-13,-1.2580413792719377e-13,1.7358017964217913,-5.284167949109284e-14,-4.4559480412715605e-14,0.0,3.314463855138238e-18,0.0,0.008989548494527278,8.144628299392682e-14,1.0,1.0,0.0,-0.17143432818935062,3600.0,914.0,0.9,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.012,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,7.12645296881398e-14,3.604310625639844e-15,3.633215436566767e-05,1.2372119953278645e-10,1.2702409646799042e-13,0.0021701716312884562,3.093552825585498e-13,-2.9761122123072015e-12,7.95474327597453e-12,1.2922215883652927e-11,-5.312872238131193e-09,1.8542782166896568e-10,1.0,7.954743275973609e-12,2.976112212309662e-12,-7.95474327597453e-12,1.0,3.093552825348756e-13,-2.9761122123072015e-12,-3.093552825585498e-13,1.0,14.737807800935592,-14.737807800927133,14.737807804030314,-14.737807804038772,15.053248459389568,-15.053248459376878,15.053248459365951,-15.05324845937865,-6.059386655030264e-11,-6.399749994977492e-14,1.7376238305834193,-4.230947023304201e-14,1.5523974300564566e-11,0.0,5.1940825689877975e-18,0.0,0.011963667845634332,3.189673453800821e-11,1.0,1.0,0.0,-0.24125854426775298,3600.0,914.0,0.9,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.015000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.1990479576958237e-12,1.7841282246379104e-14,4.1604195854776804e-05,9.222474385001272e-11,2.5133258119472953e-12,0.0002781380483275865,1.0058591026381276e-12,-5.188481591588554e-11,9.49161370298772e-12,1.1983035751743992e-10,-4.093814180446997e-09,-2.4989771153412822e-11,1.0,9.491613702935532e-12,5.1884815915895094e-11,-9.491613702987722e-12,1.0,1.005859102145657e-12,-5.188481591588554e-11,-1.0058591026381276e-12,1.0,14.74755549380507,-14.747555493732495,14.747555496252344,-14.74755549632492,14.79199836694923,-14.791998366940673,14.79199837084905,-14.791998370857687,-4.5747711503029734e-11,-1.239221581660629e-12,1.7399231446316112,-3.633082798711809e-13,1.2614136803712788e-11,0.0,4.1461606562999066e-18,0.0,0.014958395804145225,2.5593550787921195e-11,1.0,1.0,0.0,-0.28212368993184633,3600.0,914.0,0.9,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.018,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.9502572349866123e-12,4.0052915400180134e-14,4.43785390210639e-05,5.949839839929553e-11,1.7443029649104956e-12,0.0002762889137580892,2.1076041224188944e-12,-8.682256368948843e-11,9.647910212466755e-12,9.342317085020301e-11,-2.977148773994593e-09,7.230589698001203e-11,1.0,9.647910212283767e-12,8.682256368950877e-11,-9.647910212466755e-12,1.0,2.1076041215812383e-12,-8.682256368948843e-11,-2.1076041224188944e-12,1.0,14.753774988081046,-14.753774988020915,14.753774989984837,-14.75377499004497,14.763638860286465,-14.763638860197345,14.76363886282302,-14.763638862911877,-3.010909641898292e-11,-8.740422556082948e-13,1.741391011416112,-3.011433816525853e-13,9.835366321456087e-12,0.0,3.286015081140608e-18,0.0,0.017955621460978934,6.955084487498536e-11,1.0,1.0,0.0,-0.25058448553233653,3600.0,914.0,0.9,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.0,0.0,0.021,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.395030622702358e-12,5.2396686423950827e-14,4.7134783657482154e-05,3.097445506153697e-11,5.112960402126083e-13,0.0002749466299997502,2.871092523119693e-12,-1.1204335504015818e-10,1.0464803531505892e-11,5.0569574655095805e-11,-2.146064744048374e-09,1.261122300754932e-10,1.0,1.0464803531184204e-11,1.1204335504018822e-10,-1.046480353150589e-11,1.0,2.8710925219471816e-12,-1.1204335504015818e-10,-2.871092523119693e-12,1.0,14.759990953592487,-14.75999095355517,14.759990955106554,-14.759990955143872,14.760619124177328,-14.760619124115118,14.760619125917346,-14.760619125979506,-1.6372440418525735e-11,-2.7676559517977035e-13,1.7428586637798373,-1.8696852943997455e-13,7.77263565242231e-12,0.0,1.2607928312329004e-18,0.0,0.020952865216342518,1.0268516708200769e-10,1.0,1.0,0.0,-0.2459046789992141,3600.0,914.0,0.9,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.024,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.5747074285800253e-12,5.399642426152436e-14,4.9878196822483156e-05,5.938557057213028e-12,-6.626517867068489e-14,0.00027373584938853037,3.2818734082399152e-12,-1.3021744260481459e-10,1.1779069288588739e-11,3.592064187411579e-11,-1.5412559444406494e-09,1.4632432167801772e-10,1.0,1.1779069288161382e-11,1.3021744260485326e-10,-1.177906928858874e-11,1.0,3.281873406706075e-12,-1.3021744260481459e-10,-3.2818734082399152e-12,1.0,14.766204083774504,-14.766204083744485,14.766204084998462,-14.76620408502848,14.763393373547302,-14.763393373516287,14.763393374909995,-14.763393374940943,-4.208996083182608e-12,5.124200105590281e-15,1.7443262644940165,-1.504644692103549e-13,6.285226057730092e-12,0.0,2.7711668590554403e-18,0.0,0.02395012180317752,1.278466846856134e-10,1.0,1.0,0.0,-0.246864889654966,3600.0,914.0,0.9,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.0,0.0,0.027000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.5157649987870933e-12,4.96065214269791e-14,5.2609940519961036e-05,-1.7149693555952737e-11,-8.486308459697643e-13,0.0002725846296475629,3.5456996746418307e-12,-1.4313671490163564e-10,1.3061888336719594e-11,1.5263178998023165e-11,-1.074711731719116e-09,9.909494595646187e-11,1.0,1.3061888336212073e-11,1.4313671490168197e-10,-1.3061888336719594e-11,1.0,3.545699672772195e-12,-1.4313671490163564e-10,-3.5456996746418307e-12,1.0,14.772414513897418,-14.772414513878514,14.772414514903163,-14.772414514922065,14.7686135579898,-14.768613557963677,14.768613559101723,-14.768613559128038,7.121823384347615e-12,3.902891141291418e-13,1.7457938446821148,-9.478990858610912e-14,5.137944926496185e-12,0.0,5.44247318817486e-18,0.0,0.02694739005948004,1.472643785323427e-10,1.0,1.0,0.0,-0.2489512978354514,3600.0,914.0,0.9,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
