time,referenceVector[1],referenceVector[2],referenceVector[3],referenceVector[4],referenceVector[5],referenceVector[6],referenceVector[7],referenceVector[8],referenceVector[9],referenceVector[10],referenceVector[11],quadChassisTest17_1.body.r_0[1],quadChassisTest17_1.body.r_0[2],quadChassisTest17_1.body.r_0[3],quadChassisTest17_1.body.v_0[1],quadChassisTest17_1.body.v_0[2],quadChassisTest17_1.body.v_0[3],sensors1_1.AngleMea[1],sensors1_1.AngleMea[2],sensors1_1.AngleMea[3],quadChassisTest17_1.body.frame_b.R.w[1],quadChassisTest17_1.body.frame_b.R.w[2],quadChassisTest17_1.body.frame_b.R.w[3],"quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]",motorCommand[1],motorCommand[2],motorCommand[3],motorCommand[4],speedSensor[1].w,speedSensor[2].w,speedSensor[3].w,speedSensor[4].w,controllerDiagnostics[1],controllerDiagnostics[2],controllerDiagnostics[3],controllerDiagnostics[4],controllerDiagnostics[5],controllerDiagnostics[6],controllerDiagnostics[7],controllerDiagnostics[8],controllerDiagnostics[9],controllerDiagnostics[10],controllerDiagnostics[11],controllerDiagnostics[12],controllerDiagnostics[13],controllerDiagnostics[14],controllerDiagnostics[15],controllerDiagnostics[16],scenarioDiagnostics[1],scenarioDiagnostics[2],scenarioDiagnostics[3],scenarioDiagnostics[4],scenarioDiagnostics[5],scenarioDiagnostics[6],scenarioDiagnostics[7],scenarioDiagnostics[8],scenarioDiagnostics[9],scenarioDiagnostics[10],scenarioDiagnostics[11],scenarioDiagnostics[12],scenarioDiagnostics[13],scenarioDiagnostics[14],scenarioDiagnostics[15],scenarioDiagnostics[16]
0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.71701389582819,-14.71701389582819,14.71701389582819,-14.71701389582819,0.0,0.0,0.0,0.0,0.0,0.0,1.7327239840800002,-0.0,-0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3600.0,914.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,3.6451015655500903e-16,1.312736302548531e-16,1.6132793892841045e-06,3.6696540792663804e-14,1.3667521542589496e-14,0.000176404818373926,5.970217404355705e-15,-1.9626917326429662e-14,-1.188968366398159e-12,8.793599262267098e-13,-2.4645957742073915e-12,-1.925944775660935e-10,1.0,-1.1889683663981591e-12,1.9626917326422562e-14,1.1889683663981591e-12,1.0,5.970217404379041e-15,-1.9626917326429662e-14,-5.970217404355705e-15,1.0,14.722915362606852,-14.722915362606319,14.722915362607823,-14.722915362608356,5.410714257039972,-5.410714257040085,5.410714257039986,-5.410714257040065,-1.8146221762131567e-14,-6.7562388078103735e-15,1.7341138941959933,-2.6650436223024106e-15,7.512901844569033e-15,0.0,3.4071627142142487e-18,0.0,0.002998386720610716,9.394483525932902e-15,1.0,1.0,0.0,-0.2260114512126762,3600.0,914.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.006,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,7.212802221081405e-16,2.5839749505679185e-16,3.7168135603477606e-06,3.7112633763253576e-14,9.975993503854561e-15,0.0002539448022537985,2.023990748630389e-14,-4.3816379267484865e-14,-3.668006745958596e-12,1.6215427569864302e-12,-2.779744014978427e-12,-1.8340369739484822e-10,1.0,-3.668006745958597e-12,4.3816379267410624e-14,3.668006745958595e-12,1.0,2.023990748646461e-14,-4.3816379267484865e-14,-2.023990748630389e-14,1.0,14.728998254230406,-14.728998254229387,14.728998254231142,-14.72899825423216,11.767950351375857,-11.767950351375921,11.767950351375859,-11.767950351375914,-1.853033601470592e-14,-5.013643822270209e-15,1.7355471165850653,-5.0901927033416774e-15,8.770044728460524e-15,0.0,3.702621449885093e-18,0.0,0.005996283186439653,3.7406995631074834e-14,1.0,1.0,0.0,-0.2297242203591829,3600.0,914.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.009,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.3306500671583168e-15,9.875089335990907e-16,2.107079246556296e-05,8.896503469227085e-14,1.5001949479817076e-13,0.007642021859712833,6.690380783415003e-14,-1.0282326675220226e-13,-6.207307296854759e-12,7.290630395754619e-12,-7.710935546245699e-12,-3.2631234137821206e-10,1.0,-6.207307296854766e-12,1.0282326675178698e-13,6.20730729685476e-12,1.0,6.690380783478829e-14,-1.0282326675220226e-13,-6.690380783415003e-14,1.0,14.721380770297658,-14.721380770293218,14.72138077029805,-14.721380770302488,16.264382705202312,-16.26438270520091,16.264382705203268,-16.264382705204582,-4.42187439598256e-14,-7.392951783725622e-14,1.7337524142727634,-2.2187303331533706e-14,2.4137948690401464e-14,0.0,1.8663023378700086e-18,0.0,0.008978929207534436,8.103601963306289e-14,1.0,1.0,0.0,-0.06648956590999093,3600.0,914.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.012,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.9401608971634654e-15,2.2728263435022503e-15,0.0001395491683325414,2.614770044430155e-14,9.81537712760041e-14,0.013222228940427377,1.3312116240825975e-13,-1.717025885072259e-13,-9.312518972017567e-12,5.577329693666343e-12,-5.805802532192001e-12,-2.966853818654373e-10,1.0,-9.31251897201759e-12,1.717025885059862e-13,9.312518972017567e-12,1.0,1.3312116240985873e-13,-1.717025885072259e-13,-1.3312116240825975e-13,1.0,14.716931673190922,-14.716931673187302,14.716931673191214,-14.716931673194836,15.042305210558965,-15.04230521055364,15.04230521055926,-15.042305210564576,-1.3779821973216436e-14,-4.919289463995422e-14,1.7327046229869956,-1.809348361018748e-14,1.954615508185994e-14,0.0,2.2209027295337205e-16,0.0,0.011860450831667459,1.9437706918341962e-13,1.0,1.0,0.0,-0.07133270230022977,3600.0,914.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.015000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.952715100756031e-15,3.045195493527918e-15,0.00027438227585010555,-1.5688396748038207e-15,7.802628700611554e-14,0.012976023495544982,1.8281072001904742e-13,-2.208881689754308e-13,-1.1810191457617081e-11,5.6166444995726295e-12,-4.894881309003752e-12,4.1435544673620284e-11,1.0,-1.1810191457617122e-11,2.2088816897327178e-13,1.1810191457617083e-11,1.0,1.8281072002165614e-13,-2.208881689754308e-13,-1.8281072001904742e-13,1.0,14.723346662476224,-14.723346662472437,14.72334666247595,-14.723346662479738,14.767252266242515,-14.76725226623871,14.767252266242739,-14.767252266246317,-2.1975537676595826e-16,-3.973174715470316e-14,1.734215495547566,-1.892863633564451e-14,1.7554542796026023e-14,0.0,3.856067031993413e-18,0.0,0.014725617724149898,2.7258704708835556e-13,1.0,1.0,0.0,-0.20349207748446732,3600.0,914.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.018,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,6.12222627610415e-16,3.1125376493412e-15,0.0003948982550464436,-3.3587667677939836e-13,-1.084770263879844e-13,0.011048912154131769,2.0860429772546337e-13,-2.1652754983605758e-13,-1.128621679570675e-11,-2.659906052824713e-12,8.92100910583342e-12,6.686387926037719e-11,1.0,-1.1286216795706795e-11,2.165275498337032e-13,1.128621679570675e-11,1.0,2.0860429772790714e-13,-2.1652754983605758e-13,-2.0860429772546337e-13,1.0,14.732930180810198,-14.732930180811175,14.732930180806632,-14.732930180805656,14.737475488674917,-14.737475488671121,14.737475488674484,-14.737475488678538,1.6409192098604818e-13,5.1521978649687945e-14,1.736473853700604,4.882146304060389e-15,-2.2719705541177926e-14,0.0,5.342304177164007e-19,0.0,0.017605101744953555,3.91805125907269e-13,1.0,1.0,0.0,-0.2709049735040409,3600.0,914.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.0,0.0,0.021,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-2.6671032698522886e-15,2.380694978298024e-15,0.0004942259908446319,-2.3438798021516047e-13,2.7044554609579695e-13,0.008839896154208316,2.014430960858238e-13,-1.3476818118621458e-13,-1.0662987249792477e-11,1.4473938084843579e-11,3.960030355617698e-12,9.56019900178755e-11,1.0,-1.0662987249792505e-11,1.347681811840666e-13,1.0662987249792479e-11,1.0,2.014430960872608e-13,-1.3476818118621458e-13,-2.014430960858238e-13,1.0,14.743077902716726,-14.743077902707725,14.743077902705874,-14.743077902714875,14.7402498516957,-14.740249851698177,14.740249851691528,-14.74024985168914,1.16074879612813e-13,-1.3357911703532925e-13,1.7388667683633139,-4.5041919199091975e-14,-9.260313422722913e-15,0.0,2.4412244339882868e-18,0.0,0.02050577400915537,2.3694274314077917e-13,1.0,1.0,0.0,-0.2939052607025179,3600.0,914.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.024,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-4.9010011269809405e-15,4.57127875621353e-15,0.0005716778059957072,-1.97734228612595e-13,3.2782973825268945e-13,0.006681676716546199,3.2964946153109767e-13,-1.026953248808812e-13,-9.651299063553794e-12,1.7960116985094197e-11,1.8278091805418665e-12,1.001179595518361e-10,1.0,-9.651299063553828e-12,1.0269532487769966e-13,9.651299063553796e-12,1.0,3.2964946153208883e-13,-1.026953248808812e-13,-3.2964946153109767e-13,1.0,14.753169208593322,-14.75316920858195,14.75316920858127,-14.753169208592642,14.747738879169374,-14.747738879158026,14.7477388791562,-14.747738879167528,9.926383954687802e-14,-1.6277492654855096e-13,1.7412480135776665,-5.695053109202768e-14,-3.407293480955715e-15,0.0,2.3256162007835774e-18,0.0,0.023428322194004293,2.8509666906102285e-13,1.0,1.0,0.0,-0.30044461822881213,3600.0,914.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.0,0.0,0.027000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-7.280231015806588e-15,6.458665182232609e-15,0.0006281088677113163,-2.395414671141205e-13,-2.60220901343857e-13,0.004637547723029643,4.587782535778596e-13,-6.979752050233152e-14,-8.570702972012901e-12,-4.669064852095291e-12,3.1222789385754904e-12,1.1567866332096555e-10,1.0,-8.570702972012933e-12,6.979752049839946e-14,8.570702972012901e-12,1.0,4.587782535784577e-13,-6.979752050233152e-14,-4.587782535778596e-13,1.0,14.763084401435394,-14.763084401436815,14.763084401435309,-14.763084401433888,14.756935467626942,-14.75693546761395,14.75693546761392,-14.756935467626825,1.2093061125351298e-13,1.2410363749024665e-13,1.7435892883512303,7.117774899199857e-15,-7.557824403889965e-15,0.0,2.2208764198443755e-16,0.0,0.02637189113228869,5.479203777383689e-13,1.0,1.0,0.0,-0.30219714325097535,3600.0,914.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
