time,referenceVector[1],referenceVector[2],referenceVector[3],referenceVector[4],referenceVector[5],referenceVector[6],referenceVector[7],referenceVector[8],referenceVector[9],referenceVector[10],referenceVector[11],quadChassisTest17_1.body.r_0[1],quadChassisTest17_1.body.r_0[2],quadChassisTest17_1.body.r_0[3],quadChassisTest17_1.body.v_0[1],quadChassisTest17_1.body.v_0[2],quadChassisTest17_1.body.v_0[3],sensors1_1.AngleMea[1],sensors1_1.AngleMea[2],sensors1_1.AngleMea[3],quadChassisTest17_1.body.frame_b.R.w[1],quadChassisTest17_1.body.frame_b.R.w[2],quadChassisTest17_1.body.frame_b.R.w[3],"quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]",motorCommand[1],motorCommand[2],motorCommand[3],motorCommand[4],speedSensor[1].w,speedSensor[2].w,speedSensor[3].w,speedSensor[4].w,controllerDiagnostics[1],controllerDiagnostics[2],controllerDiagnostics[3],controllerDiagnostics[4],controllerDiagnostics[5],controllerDiagnostics[6],controllerDiagnostics[7],controllerDiagnostics[8],controllerDiagnostics[9],controllerDiagnostics[10],controllerDiagnostics[11],controllerDiagnostics[12],controllerDiagnostics[13],controllerDiagnostics[14],controllerDiagnostics[15],controllerDiagnostics[16],scenarioDiagnostics[1],scenarioDiagnostics[2],scenarioDiagnostics[3],scenarioDiagnostics[4],scenarioDiagnostics[5],scenarioDiagnostics[6],scenarioDiagnostics[7],scenarioDiagnostics[8],scenarioDiagnostics[9],scenarioDiagnostics[10],scenarioDiagnostics[11],scenarioDiagnostics[12],scenarioDiagnostics[13],scenarioDiagnostics[14],scenarioDiagnostics[15],scenarioDiagnostics[16]
0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.71701389582819,-14.71701389582819,14.71701389582819,-14.71701389582819,0.0,0.0,0.0,0.0,0.0,0.0,1.7327239840800002,-0.0,-0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3600.0,914.0,1.0,1.1,1.1,0.1754544,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.450506907153582e-16,2.2570177533159534e-16,1.4600169138631705e-06,2.5750575773855134e-14,2.1305634202308983e-14,0.0001627958269757516,4.759599075751405e-16,-2.1989257380330227e-15,2.2331466186963395e-13,-6.627858491957355e-13,5.356843403393403e-13,5.085336858248245e-11,1.0,2.2331466186963395e-13,2.198925738033129e-15,-2.2331466186963395e-13,1.0,4.759599075746495e-16,-2.1989257380330227e-15,-4.759599075751405e-16,1.0,14.722941130628971,-14.722941130629385,14.72294113062905,-14.722941130628636,5.410713116890184,-5.41071311689015,5.410713116890191,-5.410713116890151,-1.2728078803196796e-14,-1.0542626615928806e-14,1.7341199642877396,2.061203900817624e-15,-1.6738842746274917e-15,0.0,5.834722736527683e-18,0.0,0.002998539983086137,7.604501795781006e-15,1.0,1.0,0.0,-0.22632061927502967,3600.0,914.0,1.0,1.1,1.1,0.1754544,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.006,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,5.115960374282774e-16,4.360659407392398e-16,3.465915057607284e-06,2.8437120586376414e-14,2.2867694410462918e-14,0.00024909776906497283,-7.90579018744896e-15,8.616776172707865e-15,7.843145846335598e-13,-5.922014214969879e-13,3.209746020296575e-13,2.3049612092379042e-11,1.0,7.843145846335597e-13,-8.616776172714065e-15,-7.843145846335597e-13,1.0,-7.9057901874422e-15,8.616776172707865e-15,7.90579018744896e-15,1.0,14.729007835824255,-14.729007835824648,14.729007835824413,-14.729007835824019,11.767947871412494,-11.767947871412431,11.767947871412465,-11.767947871412437,-1.4177876862488381e-14,-1.1413607498188095e-14,1.735549374622197,1.964872291881477e-15,-1.1811401997721597e-15,0.0,5.246509470614979e-18,0.0,0.005996534084942393,2.216976519528939e-14,1.0,1.0,0.0,-0.22959699051172636,3600.0,914.0,1.0,1.1,1.1,0.1754544,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.009,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.5371435416732557e-15,6.755488457194077e-16,2.2264199956521778e-05,1.491063077173883e-13,2.762959666985384e-14,0.008225557828430347,-1.0840742718719585e-14,-2.5568564265948707e-14,1.1654835531202824e-12,2.655839936721851e-13,-6.0570906636368054e-12,3.558099070254304e-11,1.0,1.1654835531202826e-12,2.5568564265936073e-14,-1.1654835531202822e-12,1.0,-1.0840742718749385e-14,-2.5568564265948707e-14,1.0840742718719585e-14,1.0,14.720286890428927,-14.720286890428817,14.72028689043241,-14.72028689043252,16.264396111686846,-16.264396111687418,16.2643961116871,-16.264396111686526,-7.376053744554147e-14,-1.3865543078329964e-14,1.7334947690926799,-5.518404371058427e-16,1.795051081400197e-14,0.0,3.9308507230381565e-18,0.0,0.008977735800043478,2.53632965922806e-14,1.0,1.0,0.0,-0.053116992499216635,3600.0,914.0,1.0,1.1,1.1,0.1754544,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.012,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.9155528793078693e-15,9.78317714118248e-16,0.0001519108713956222,1.1505793094092362e-13,3.106575659071158e-14,0.014839498162843983,-9.858853425628608e-15,-8.81156749685636e-14,1.4770201670848428e-12,-1.9585295149805618e-13,-6.189438436211862e-12,5.474491993403931e-12,1.0,1.4770201670848436e-12,8.811567496854903e-14,-1.4770201670848428e-12,1.0,-9.858853425758757e-15,-8.81156749685636e-14,9.858853425628608e-15,1.0,14.713880045461012,-14.713880045461178,14.713880045465038,-14.71388004546487,15.040925180417618,-15.040925180417371,15.04092518042196,-15.040925180422214,-5.779205645409132e-14,-1.570057662369032e-14,1.7319861279381998,8.335698674847256e-16,1.9280041513018398e-14,0.0,5.8763453629249524e-18,0.0,0.011848089128604378,5.792647903574109e-14,1.0,1.0,0.0,-0.04473950912783672,3600.0,914.0,1.0,1.1,1.1,0.1754544,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.015000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,3.8139634521892684e-15,1.3156558197081334e-15,0.00030773843793376087,5.668627324303353e-14,3.990724148373802e-14,0.015542630214423736,-1.0500447472658173e-14,-1.448779112105347e-13,1.8209403176635864e-12,1.0049753108237685e-12,-6.2952320910217865e-12,1.620757352938243e-10,1.0,1.820940317663588e-12,1.4487791121051556e-13,-1.8209403176635864e-12,1.0,-1.0500447472921987e-14,-1.448779112105347e-13,1.0500447472658173e-14,1.0,14.71847699021972,-14.718476990219173,14.718476990223285,-14.718476990223833,14.763602573244615,-14.763602573244738,14.763602573249022,-14.763602573248807,-2.967528136419865e-14,-2.0198839490791336e-14,1.7330685192934385,-2.72690567124399e-15,2.0546510500132363e-14,0.0,2.22084631327659e-16,0.0,0.014692261562066242,1.2966181701317276e-13,1.0,1.0,0.0,-0.17550124868855385,3600.0,914.0,1.0,1.1,1.1,0.1754544,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.018,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,4.192402866650455e-15,1.9105289615612036e-15,0.0004584953867718273,1.682481331664445e-14,6.664709779942203e-14,0.014523220090464355,7.070450283244544e-15,-2.0194690985839513e-13,3.3759879642687756e-12,2.0212677439430377e-12,-5.1044720885085294e-12,1.4947722546666835e-10,1.0,3.375987964268774e-12,2.01946909858419e-13,-3.3759879642687756e-12,1.0,7.070450282562774e-15,-2.0194690985839513e-13,-7.070450283244544e-15,1.0,14.726303898514873,-14.726303898513692,14.726303898517264,-14.726303898518445,14.73196494040663,-14.731964940405845,14.731964940410059,-14.731964940410872,-1.0355699753104078e-14,-3.358807669270049e-14,1.7349122120915965,-5.904037764750495e-15,1.786112902741342e-14,0.0,3.677271249101967e-18,0.0,0.017541504613228173,1.9636286482878842e-13,1.0,1.0,0.0,-0.24307899061241034,3600.0,914.0,1.0,1.1,1.1,0.1754544,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.0,0.0,0.021,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,4.2388001076504694e-15,2.5221790225763393e-15,0.0005970032032024332,-9.831823909530636e-15,1.1229746381670953e-13,0.013195735668636315,2.6764094104179122e-14,-2.540016643552128e-13,4.815512647511111e-12,4.594605077637049e-12,-5.562955224464954e-12,1.2172550235158777e-10,1.0,4.815512647511104e-12,2.5400166435534166e-13,-4.815512647511111e-12,1.0,2.676409410295597e-14,-2.540016643552128e-13,-2.6764094104179122e-14,1.0,14.73472774732121,-14.73472774731847,14.73472774732247,-14.734727747325211,14.732998796990678,-14.732998796989397,14.73299879699283,-14.732998796994204,2.6684587941732132e-15,-5.6241927587744474e-14,1.7368976143015693,-1.37107996032055e-14,2.0010859680631866e-14,0.0,2.6716405431835324e-18,0.0,0.02040299679679757,2.555997178733231e-13,1.0,1.0,0.0,-0.26620998703943666,3600.0,914.0,1.0,1.1,1.1,0.1754544,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.024,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,4.753385987958836e-15,2.692613323141151e-15,0.0007223383505175274,4.713037515046273e-13,-4.0644830238689037e-13,0.011896836517694749,3.1160267676980214e-14,-3.4262616038113766e-13,6.212886071134005e-12,-1.8885424987265184e-11,-2.8278393330860614e-11,1.8817249800971024e-10,1.0,6.2128860711339945e-12,3.4262616038133123e-13,-6.212886071134006e-12,1.0,3.1160267674851514e-14,-3.4262616038113766e-13,-3.1160267676980214e-14,1.0,14.743120733347977,-14.743120733358923,14.743120733376418,-14.743120733365473,14.738778877016406,-14.738778877013095,14.738778877017378,-14.738778877020348,-2.3309326651302396e-13,1.9758238633521938e-13,1.7388768716679543,5.4774047778852166e-14,8.754669383688047e-14,0.0,2.2212239466690527e-16,0.0,0.023277661649482473,2.5390543009584213e-13,1.0,1.0,0.0,-0.27278497473709384,3600.0,914.0,1.0,1.1,1.1,0.1754544,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.0,0.0,0.027000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,8.864894737283274e-15,-1.1572494297278954e-15,0.0008351393784104039,3.157945256313373e-13,-2.572292782655361e-13,0.01069080097797258,-1.505985336656732e-13,-6.101322154993309e-13,8.111885145291595e-12,-1.3318527173423128e-11,-2.4116427924040553e-11,1.9924954429228908e-10,1.0,8.111885145291687e-12,6.101322154981093e-13,-8.111885145291597e-12,1.0,-1.505985336706225e-13,-6.101322154993309e-13,1.505985336656732e-13,1.0,14.751361613197965,-14.751361613206146,14.751361613221942,-14.75136161321376,14.746286295736144,-14.746286295750581,14.746286295771505,-14.746286295757256,-1.59055700053053e-13,1.2649134844505183e-13,1.7408213555494734,4.0968758047518195e-14,7.909321607441693e-14,0.0,5.2041314390734966e-18,0.0,0.0261648606215896,5.245857738841151e-13,1.0,1.0,0.0,-0.2745363264607965,3600.0,914.0,1.0,1.1,1.1,0.1754544,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
