"Time","referenceVector[1]","referenceVector[2]","referenceVector[3]","referenceVector[4]","referenceVector[5]","referenceVector[6]","referenceVector[7]","referenceVector[8]","referenceVector[9]","referenceVector[10]","referenceVector[11]","quadChassisTest17_1.body.r_0[1]","quadChassisTest17_1.body.r_0[2]","quadChassisTest17_1.body.r_0[3]","quadChassisTest17_1.body.v_0[1]","quadChassisTest17_1.body.v_0[2]","quadChassisTest17_1.body.v_0[3]","sensors1_1.AngleMea[1]","sensors1_1.AngleMea[2]","sensors1_1.AngleMea[3]","quadChassisTest17_1.body.frame_b.R.w[1]","quadChassisTest17_1.body.frame_b.R.w[2]","quadChassisTest17_1.body.frame_b.R.w[3]","quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]","motorCommand[1]","motorCommand[2]","motorCommand[3]","motorCommand[4]","speedSensor[1].w","speedSensor[2].w","speedSensor[3].w","speedSensor[4].w","controllerDiagnostics[1]","controllerDiagnostics[2]","controllerDiagnostics[3]","controllerDiagnostics[4]","controllerDiagnostics[5]","controllerDiagnostics[6]","controllerDiagnostics[7]","controllerDiagnostics[8]","controllerDiagnostics[9]","controllerDiagnostics[10]","controllerDiagnostics[11]","controllerDiagnostics[12]"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,14.1446415209082,-14.1446415209082,14.1446415209082,-14.1446415209082,0,0,0,0,0,0,1.60056707004,0,0,0,0,0,0,0,0,0
0.01,0,0,0.002,0,0,0,0,0,0,0,0,3.62276980246188e-16,1.92303901400073e-16,1.61970049245729e-06,3.61863018580152e-14,1.90441876844152e-14,0.00017873482998028,9.85884587596978e-15,-1.67344294212637e-14,2.34775939495284e-13,1.43770742817606e-12,-1.90593220330378e-12,2.38215603265924e-11,1,2.34775939495283e-13,1.6734429421266e-14,-2.34775939495284e-13,1,9.85884587596585e-15,-1.67344294212637e-14,-9.85884587596978e-15,1,14.1486151289499,-14.148615128949,14.1486151289502,-14.1486151289511,5.41071425704015,-5.41071425704006,5.4107142570401,-5.41071425704014,-1.78953455755685e-14,-9.41882410349382e-15,1.60146648053724,-4.36482941254686e-15,5.79007765366302e-15,0,4.47079199788467e-18,0,0.00199838029950754,6.83628345246545e-15,0,0
0.02,0,0,0.004,0,0,0,0,0,0,0,0,7.34198059440833e-16,3.58746417246947e-16,3.78466399922989e-06,3.92617318595701e-14,1.60811008228054e-14,0.000264972005913537,2.6106930409534e-14,-3.56943198691948e-14,-5.307135748714e-14,1.98385364121589e-12,-9.9620493316569e-13,-1.20994095285065e-10,1,-5.3071357487141e-14,3.56943198691934e-14,5.307135748714e-14,1,2.61069304095359e-14,-3.56943198691948e-14,-2.6106930409534e-14,1,14.1527663881175,-14.1527663881162,14.1527663881169,-14.1527663881182,11.7679503513758,-11.7679503513758,11.7679503513758,-11.7679503513759,-1.95887888293244e-14,-8.05266607104398e-15,1.60240637149295,-6.22562136171629e-15,3.29372106117494e-15,0,4.95242061524811e-18,0,0.00399621533600077,3.1547742971004e-14,0,0
0.03,0,0,0.006,0,0,0,0,0,0,0,0,1.09384978087555e-15,4.54502514275586e-16,3.49361251782297e-05,3.41796580848521e-14,2.86602225803899e-16,0.0113765379283447,4.12913803412993e-14,-3.14881446831795e-14,-9.36634933519348e-13,1.59094147822293e-12,1.08387578682838e-12,2.34655784570603e-11,1,-9.3663493351935e-13,3.14881446831408e-14,9.36634933519348e-13,1,4.12913803413288e-14,-3.14881446831795e-14,-4.12913803412993e-14,1,14.1353951263086,-14.1353951263075,14.1353951263069,-14.135395126308,15.4691167390402,-15.4691167390383,15.4691167390393,-15.4691167390411,-1.72831726195643e-14,-3.70164087974039e-16,1.59847516301476,-5.30660192672696e-15,-2.98284121388112e-15,0,2.22052249796834e-16,0,0.00596506387482177,4.59717178064055e-14,0,0
0.04,0,0,0.008,0,0,0,0,0,0,0,0,1.42518863567191e-15,3.45101274881647e-16,0.000193866302405597,3.6438901657631e-14,-1.97204618194688e-14,0.0182716395753891,4.45219450701674e-14,-2.22184274531838e-14,-4.25928389609203e-13,-4.66629572056904e-13,6.51166786438149e-13,6.74472035244346e-11,1,-4.25928389609204e-13,2.22184274531648e-14,4.25928389609203e-13,1,4.45219450701768e-14,-2.22184274531838e-14,-4.45219450701674e-14,1,14.1259462531326,-14.1259462531327,14.1259462531324,-14.1259462531322,14.4498546206388,-14.4498546206377,14.4498546206368,-14.4498546206379,-1.85565911499828e-14,9.47802817531242e-15,1.5963388603711,7.43917834470575e-16,-1.81577889582644e-15,0,2.31408007294628e-18,0,0.0078061336975944,5.15594101595278e-14,0,0
0.05,0,0,0.01,0,0,0,0,0,0,0,0,1.83434077395967e-15,1.39285658709668e-16,0.000389401107034743,5.10137051401895e-14,-1.14928088196467e-14,0.0200710435433064,3.78210627178955e-14,-1.50578921048211e-14,8.29239098075536e-13,-9.39764014422836e-13,1.02909796837599e-12,2.92824285936668e-10,1,8.29239098075535e-13,1.50578921048525e-14,-8.29239098075536e-13,1,3.7821062717883e-14,-1.50578921048211e-14,-3.78210627178955e-14,1,14.1263468965164,-14.1263468965169,14.1263468965163,-14.1263468965158,14.1749648199755,-14.1749648199759,14.1749648199755,-14.174964819975,-2.58974642774975e-14,5.55493703334666e-15,1.59642941312574,2.28238341791207e-15,-3.10242882514188e-15,0,5.74222088545968e-18,0,0.00961059889296526,4.13170693973523e-14,0,0
0.06,0,0,0.012,0,0,0,0,0,0,0,0,2.38097252982047e-15,2.21110900371602e-16,0.000591884286802707,1.3529716983751e-13,2.90197184990808e-14,0.0203056829269271,3.74695775054675e-14,-6.69350469719467e-15,3.50822224229488e-12,9.51432430931728e-13,-2.56284087504143e-12,3.1936785133851e-10,1,3.50822224229488e-12,6.69350469732612e-15,-3.50822224229488e-12,1,3.7469577505444e-14,-6.69350469719467e-15,-3.74695775054675e-14,1,14.1297818442153,-14.1297818442147,14.1297818442162,-14.1297818442169,14.1361162219821,-14.1361162219827,14.136116221982,-14.1361162219814,-6.74281746620665e-14,-1.43161178588032e-14,1.59720587972104,-3.22487985746953e-15,7.22672586239748e-15,0,2.73835329424197e-18,0,0.0114081157131973,4.55464966472471e-14,0,0
0.07,0,0,0.014,0,0,0,0,0,0,0,0,3.8816385793781e-15,2.04409780364623e-15,0.000794406706987974,6.83096696512528e-14,7.59518263024935e-13,0.020199951265625,1.09735417939596e-13,-3.87758924702518e-14,7.02654984104908e-12,3.05280476193787e-11,-1.38142115166548e-14,4.7508281247658e-10,1,7.02654984104907e-12,3.87758924710229e-14,-7.02654984104908e-12,1,1.09735417939323e-13,-3.87758924702518e-14,-1.09735417939596e-13,1,14.1338789279571,-14.1338789279383,14.1338789279384,-14.1338789279571,14.133966672342,-14.1339666723413,14.1339666723433,-14.1339666723442,-3.53988149215047e-14,-3.7279531917795e-13,1.59813226839908,-8.99782013861567e-14,2.57577730286368e-16,0,4.70745868159649e-18,0,0.013205593293012,1.24647725884758e-13,0,0
0.08,0,0,0.016,0,0,0,0,0,0,0,0,4.3902208215488e-15,9.57281756122431e-15,0.000995700471460541,-7.92276189698858e-14,7.27234974550735e-13,0.0200714175951775,4.15275198415103e-13,-3.2217981033129e-14,1.18279938697252e-11,2.98351997902506e-11,5.55239822750749e-12,5.09102476740034e-10,1,1.18279938697252e-11,3.22179810380408e-14,-1.18279938697252e-11,1,4.15275198414722e-13,-3.2217981033129e-14,-4.15275198415103e-13,1,14.1380218881584,-14.1380218881393,14.138021888136,-14.1380218881551,14.1362132166984,-14.1362132166747,14.1362132166748,-14.1362132166981,3.6559035776084e-14,-3.60801535236028e-13,1.59906930327784,-9.19709582651001e-14,-1.59411458779044e-14,0,3.91005945329469e-18,0,0.0150042995285395,1.97479987279632e-13,0,0
0.09,0,0,0.018,0,0,0,0,0,0,0,0,5.24489955731407e-15,1.71522600768494e-14,0.00119590991779413,1.87818720949133e-13,7.87763005548575e-13,0.0199843683768502,7.36329119424068e-13,-4.59739489492468e-14,1.72045282359213e-11,3.43129269420297e-11,-5.34279688117656e-12,6.75639489703389e-10,1,1.72045282359213e-11,4.5973948961915e-14,-1.72045282359213e-11,1,7.36329119423277e-13,-4.59739489492468e-14,-7.36329119424068e-13,1,14.1420852159556,-14.1420852159329,14.1420852159362,-14.1420852159589,14.1396658341799,-14.1396658341592,14.1396658341544,-14.1396658341755,-9.45844344105675e-14,-3.94261767508995e-13,1.59998859404061,-1.09307659679846e-13,1.58575479719281e-14,0,3.4434969926411e-18,0,0.0168040900822059,4.90089987343035e-13,0,0
0.1,0,0,0.02,0,0,0,0,0,0,0,0,6.29879921951997e-15,2.33359165891143e-14,0.00139550915588469,-2.01504372362732e-13,5.02884863375982e-13,0.0199499419618016,1.02379986635029e-12,-6.75860853700641e-14,2.41100110150726e-11,2.47848962432293e-11,9.85060051551851e-12,7.6649605075293e-10,1,2.41100110150725e-11,6.7586085394748e-14,-2.41100110150726e-11,1,1.02379986634866e-12,-6.75860853700641e-14,-1.02379986635029e-12,1,14.1460462759347,-14.1460462759168,14.146046275911,-14.1460462759289,14.1435352102818,-14.143535210258,14.143535210263,-14.1435352102869,9.54445129177141e-14,-2.57950053609874e-13,1.60088500192441,-8.55694014293067e-14,-2.78981244744346e-14,0,4.30746090732712e-18,0,0.0186044908441153,8.71998414830296e-13,0,0
