time,referenceVector[1],referenceVector[2],referenceVector[3],referenceVector[4],referenceVector[5],referenceVector[6],referenceVector[7],referenceVector[8],referenceVector[9],referenceVector[10],referenceVector[11],quadChassisTest17_1.body.r_0[1],quadChassisTest17_1.body.r_0[2],quadChassisTest17_1.body.r_0[3],quadChassisTest17_1.body.v_0[1],quadChassisTest17_1.body.v_0[2],quadChassisTest17_1.body.v_0[3],sensors1_1.AngleMea[1],sensors1_1.AngleMea[2],sensors1_1.AngleMea[3],quadChassisTest17_1.body.frame_b.R.w[1],quadChassisTest17_1.body.frame_b.R.w[2],quadChassisTest17_1.body.frame_b.R.w[3],"quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]",motorCommand[1],motorCommand[2],motorCommand[3],motorCommand[4],speedSensor[1].w,speedSensor[2].w,speedSensor[3].w,speedSensor[4].w,controllerDiagnostics[1],controllerDiagnostics[2],controllerDiagnostics[3],controllerDiagnostics[4],controllerDiagnostics[5],controllerDiagnostics[6],controllerDiagnostics[7],controllerDiagnostics[8],controllerDiagnostics[9],controllerDiagnostics[10],controllerDiagnostics[11],controllerDiagnostics[12]
0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.401837887401731,-14.401837887401731,14.401837887401731,-14.401837887401731,0.0,0.0,0.0,0.0,0.0,0.0,1.6593034762799999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0013333333333333335,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,2.7834783723098894e-16,7.201478104580408e-17,1.6197004924571454e-06,2.7740317219512355e-14,8.055417922958568e-15,0.00017873482998028293,8.447099473614616e-15,-8.783871188905385e-15,-3.290694246494895e-13,1.7254083974515326e-12,-7.102642284042436e-13,-7.299620437582245e-11,1.0,-3.2906942464948954e-13,8.783871188902605e-15,3.2906942464948944e-13,1.0,8.447099473617506e-15,-8.783871188905385e-15,-8.447099473614616e-15,1.0,14.404324755994798,-14.404324755993724,14.404324755994162,-14.404324755995237,5.410714257040223,-5.410714257040209,5.4107142570401585,-5.410714257040185,-1.3718838873306865e-14,-3.979309877542963e-15,1.6598765734092435,-5.254871898100198e-15,2.1375383318213823e-15,0.0,5.158504731144426e-18,0.0,0.0013317136328408763,6.071959059588937e-15,0.0,0.0
0.02,0.0,0.0,0.002666666666666667,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,5.621467757042788e-16,1.5429016702162398e-16,3.78466399922972e-06,2.8123351520547195e-14,7.708459158750336e-15,0.0002649720059135375,2.418184814127824e-14,-1.575292174240987e-14,-1.4711773678098609e-12,1.2756777542207137e-12,2.0032821448093656e-13,-1.4709807706320796e-10,1.0,-1.4711773678098613e-12,1.5752921742374295e-14,1.4711773678098609e-12,1.0,2.4181848141301415e-14,-1.575292174240987e-14,-2.418184814127824e-14,1.0,14.406986807609451,-14.406986807608611,14.40698680760851,-14.40698680760935,11.767950351375907,-11.767950351375932,11.767950351375859,-11.767950351375905,-1.4049864143096642e-14,-3.851097668551072e-15,1.6604901509969536,-4.111246992347338e-15,-5.06193238482906e-16,0.0,4.744694074224436e-18,0.0,0.002662882002667437,2.304649976579286e-14,0.0,0.0
0.03,0.0,0.0,0.004,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,7.466565992206109e-16,1.6987163999343785e-16,3.8015305975504896e-05,1.4699908463224968e-14,-5.930888002798315e-15,0.01299167082713717,3.453498449029467e-14,-1.5197409400060342e-14,-3.517229622081386e-12,8.465492526984011e-13,7.732211512219275e-14,-2.95198458200866e-10,1.0,-3.5172296220813862e-12,1.5197409399938876e-14,3.5172296220813854e-12,1.0,3.4534984490348124e-14,-1.5197409400060342e-14,-3.453498449029467e-14,1.0,14.385407618132026,-14.38540761813141,14.38540761813139,-14.385407618132007,15.829467424575347,-15.829467424574188,15.829467424574036,-15.829467424575219,-7.572813205818177e-15,2.8170734093262568e-15,1.6555196187184142,-3.010723680080335e-15,-9.386568616434947e-17,0.0,2.7050556844124715e-18,0.0,0.003961984694024495,3.776165648211901e-14,0.0,0.0
0.04,0.0,0.0,0.005333333333333334,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,8.859072653830193e-16,4.857054416708756e-17,0.00023690549138406276,1.2808041630540294e-14,-1.650368711934237e-14,0.024180358294874,3.999485773250174e-14,-1.4899922434540855e-14,-6.931975710758018e-12,3.5753808140387403e-13,-4.1754270060753416e-14,-3.9315253460328196e-10,1.0,-6.931975710758019e-12,1.489992243426361e-14,6.931975710758019e-12,1.0,3.9994857732605023e-14,-1.4899922434540855e-14,-3.999485773250174e-14,1.0,14.366393162394973,-14.366393162394631,14.366393162394687,-14.366393162395028,14.702762000343522,-14.702762000342956,14.702762000342963,-14.702762000343522,-6.7172320473480675e-15,8.05349430482447e-15,1.6511460199720394,-1.6559551275792465e-15,2.6607488836587297e-16,0.0,5.296822330075621e-18,0.0,0.005096427841949271,4.616119349021294e-14,0.0,0.0
0.05,0.0,0.0,0.006666666666666667,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,1.0032023581548944e-15,-1.6293477613122513e-16,0.0005098262286927147,1.3542228203414593e-14,-2.334278756522275e-14,0.029546051004359666,4.236199318423079e-14,-1.5084125515133362e-14,-1.0969150291795772e-11,2.3376470130566415e-13,1.2342137668212855e-13,-4.5078595465584714e-10,1.0,-1.0969150291795772e-11,1.5084125514668685e-14,1.0969150291795772e-11,1.0,4.2361993184396246e-14,-1.5084125515133362e-14,-4.236199318423079e-14,1.0,14.358365805689813,-14.358365805689537,14.35836580568949,-14.358365805689765,14.412053362396437,-14.412053362396192,14.412053362396275,-14.412053362396538,-7.135920570347559e-15,1.1508005526498277e-14,1.6493013488799824,-1.3427075574374924e-15,-2.304167189333083e-16,0.0,2.2205402555307886e-16,0.0,0.0061568404379739525,5.0498609550963066e-14,0.0,0.0
0.06,0.0,0.0,0.008,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,1.1054287257418291e-15,-4.1697334834976855e-16,0.0008235845299014525,1.5291993777344462e-14,-4.743908474233985e-14,0.033056690693867,4.3872045354899817e-14,-1.5830585574480825e-14,-1.556192113410511e-11,-1.4763503769678574e-13,1.525468839111799e-12,-4.131290590212661e-10,1.0,-1.556192113410511e-11,1.5830585573798095e-14,1.556192113410511e-11,1.0,4.387204535514617e-14,-1.5830585574480825e-14,-4.3872045354899817e-14,1.0,14.353805604402648,-14.353805604402586,14.353805604401675,-14.353805604401737,14.365966744779586,-14.365966744779326,14.365966744779287,-14.365966744779492,-8.044083053780655e-15,2.343091044104818e-14,1.6482538826317352,-3.12234217553636e-16,-4.4340536695781295e-15,0.0,5.162160374387328e-18,0.0,0.007176415470098548,5.91107546332643e-14,0.0,0.0
0.07,0.0,0.0,0.009333333333333334,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,1.241727561644186e-15,-9.75906313111639e-16,0.0011694356223757732,1.879864381415878e-14,-1.3583847908562958e-13,0.03608577856541942,4.048102769182043e-14,-3.4646119152741324e-16,-1.974333897934744e-11,-3.5990672015831287e-12,1.4112329598102917e-12,-4.5237998733221033e-10,1.0,-1.974333897934744e-11,3.4646119072818256e-16,1.974333897934744e-11,1.0,4.048102769182727e-14,-3.4646119152741324e-16,-4.048102769182043e-14,1.0,14.350099488318836,-14.350099488320836,14.350099488319954,-14.350099488317953,14.355542684865668,-14.355542684865746,14.355542684864524,-14.355542684864536,-9.829421234552516e-15,6.69824668992641e-14,1.6474028425973166,9.742375604998839e-15,-4.306760900419879e-15,0.0,4.287000411270628e-18,0.0,0.00816389771095756,8.133486732615326e-14,0.0,0.0
0.08,0.0,0.0,0.010666666666666668,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,1.2312591307937711e-15,-2.253117087185192e-15,0.0015448406025487527,-8.185978540876624e-14,-1.9676614863230475e-13,0.0389785472030769,9.578310633980138e-15,2.429880682856561e-14,-2.4487969338660737e-11,-5.766414781282162e-12,6.772621384320244e-12,-6.138060502642901e-10,1.0,-2.4487969338660737e-11,-2.429880682880016e-14,2.4487969338660737e-11,1.0,9.57831063338511e-15,2.429880682856561e-14,-9.578310633980138e-15,1.0,14.34659100877406,-14.346591008777429,14.346591008773256,-14.34659100876989,14.349752680115293,-14.349752680118216,14.349752680117035,-14.349752680114731,3.9445160134270045e-14,9.745073145198144e-14,1.6465973885842016,1.6405346056801574e-14,-2.0322326380720097e-14,0.0,6.661721821366961e-18,0.0,0.009121826064117915,6.876226341655759e-14,0.0,0.0
0.09,0.0,0.0,0.011999999999999999,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,2.322406280830548e-16,-4.444438177113645e-15,0.0019488298574965345,-3.9565933674113386e-13,-5.182831748849504e-13,0.04180479318010508,-5.6621300349825646e-14,1.0069380031471296e-13,-3.0616894305375434e-11,-1.8747025401411472e-11,2.0236637258010474e-11,-6.16613099278959e-10,1.0,-3.061689430537544e-11,-1.0069380031297939e-13,3.061689430537544e-11,1.0,-5.662130035290858e-14,1.0069380031471296e-13,5.6621300349825646e-14,1.0,14.343148399976114,-14.3431483999874,14.343148399974975,-14.343148399963688,14.34553514686805,-14.345535146872361,14.34553514686746,-14.345535146863547,1.9354593213558716e-13,2.5593202592684644e-13,1.645807248189768,5.4955582028581277e-14,-6.04901390790435e-14,0.0,2.220747696902134e-16,0.0,0.010051170142503464,1.0031887954074302e-13,0.0,0.0
