time,referenceVector[1],referenceVector[2],referenceVector[3],referenceVector[4],referenceVector[5],referenceVector[6],referenceVector[7],referenceVector[8],referenceVector[9],referenceVector[10],referenceVector[11],quadChassisTest17_1.body.r_0[1],quadChassisTest17_1.body.r_0[2],quadChassisTest17_1.body.r_0[3],quadChassisTest17_1.body.v_0[1],quadChassisTest17_1.body.v_0[2],quadChassisTest17_1.body.v_0[3],sensors1_1.AngleMea[1],sensors1_1.AngleMea[2],sensors1_1.AngleMea[3],quadChassisTest17_1.body.frame_b.R.w[1],quadChassisTest17_1.body.frame_b.R.w[2],quadChassisTest17_1.body.frame_b.R.w[3],"quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]",motorCommand[1],motorCommand[2],motorCommand[3],motorCommand[4],speedSensor[1].w,speedSensor[2].w,speedSensor[3].w,speedSensor[4].w,controllerDiagnostics[1],controllerDiagnostics[2],controllerDiagnostics[3],controllerDiagnostics[4],controllerDiagnostics[5],controllerDiagnostics[6],controllerDiagnostics[7],controllerDiagnostics[8],controllerDiagnostics[9],controllerDiagnostics[10],controllerDiagnostics[11],controllerDiagnostics[12],scenarioDiagnostics[1],scenarioDiagnostics[2],scenarioDiagnostics[3],scenarioDiagnostics[4],scenarioDiagnostics[5],scenarioDiagnostics[6],scenarioDiagnostics[7],scenarioDiagnostics[8],scenarioDiagnostics[9],scenarioDiagnostics[10],scenarioDiagnostics[11],scenarioDiagnostics[12],scenarioDiagnostics[13],scenarioDiagnostics[14],scenarioDiagnostics[15],scenarioDiagnostics[16]
0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.71701389582819,-14.71701389582819,14.71701389582819,-14.71701389582819,0.0,0.0,0.0,0.0,0.0,0.0,1.7327239840800002,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,7.84437860942111e-17,2.2194978606214276e-16,1.4664342929054515e-06,1.3723598077207561e-14,2.3978199575909414e-14,0.00016512496139319978,7.462729633894844e-15,-7.91749460778515e-15,5.360768460158045e-13,6.02119419165675e-13,-1.6600033820405637e-12,7.759664075348735e-11,1.0,5.360768460158044e-13,7.917494607789152e-15,-5.360768460158044e-13,1.0,7.4627296338906e-15,-7.91749460778515e-15,-7.462729633894844e-15,1.0,14.722936761687352,-14.72293676168699,14.722936761687997,-14.72293676168836,5.410715397312614,-5.41071539731261,5.410715397312638,-5.410715397312625,-6.756966011338449e-15,-1.1848869625722826e-14,1.7341189351092348,-1.8145474794293285e-15,5.032283289058123e-15,0.0,3.784277195702057e-18,0.0,0.0029985335657070947,4.0700557752522e-15,0.0,0.0,1.1,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.006,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.4117197352562106e-16,4.536193306983888e-16,3.5337481758143312e-06,1.6402397751446973e-14,2.518424738413122e-14,0.0002601231321322409,7.707195261319491e-15,-2.492222266944899e-14,1.515721337074617e-12,1.2007167498614618e-14,-2.1426420601939338e-12,2.3860460809223504e-10,1.0,1.5157213370746168e-12,2.492222266946067e-14,-1.5157213370746168e-12,1.0,7.707195261281717e-15,-2.492222266944899e-14,-7.707195261319491e-15,1.0,14.728987085392319,-14.728987085392312,14.728987085393651,-14.728987085393658,11.767952831341125,-11.767952831341054,11.767952831341137,-11.767952831341091,-8.150463820695378e-15,-1.2556369056656222e-14,1.7355444844933867,-4.216225273459382e-17,6.690864476622443e-15,0.0,5.727037496587169e-18,0.0,0.005996466251824185,2.0231537911435154e-14,0.0,0.0,1.1,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.009,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.945175970022645e-16,7.577280969583024e-16,4.042023022878157e-05,4.8249343036226505e-15,3.840343824235074e-14,0.014674826089492462,1.971593146593976e-14,-1.1685512715564283e-14,4.382711314751347e-12,2.4007519314747705e-12,1.8879188141973577e-12,2.3950857732538233e-10,1.0,4.382711314751347e-12,1.1685512715650691e-14,-4.382711314751347e-12,1.0,1.9715931465888547e-14,-1.1685512715564283e-14,-1.971593146593976e-14,1.0,14.708181528302147,-14.708181528300681,14.708181528299574,-14.70818152830104,16.264367234742682,-16.264367234742746,16.264367234744483,-16.264367234744544,-2.5106236394610304e-15,-1.9180580964849582e-14,1.730644830955605,-7.31448507299193e-15,-5.530703705930891e-15,0.0,3.199384775101043e-18,0.0,0.008959579769771218,1.33895750538731e-14,0.0,0.0,1.1,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.012,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,3.050428408035683e-16,1.0815469482644515e-15,0.0002877757799745435,8.947780380579301e-15,2.1616289346741665e-14,0.03159468620372269,4.4808968625820847e-14,3.132394892947288e-15,6.020588208845144e-12,2.5545416181274748e-12,4.659966184318664e-13,7.15769630231952e-11,1.0,6.020588208845144e-12,-3.1323948926775118e-15,-6.020588208845144e-12,1.0,4.4808968625839704e-14,3.132394892947288e-15,-4.4808968625820847e-14,1.0,14.682211088801838,-14.6822110888002,14.682211088799903,-14.682211088801541,15.025692640318427,-15.025692640316585,15.02569264031483,-15.025692640316672,-4.5339568411554254e-15,-1.1127557272971044e-14,1.724538579648858,-8.162259156802815e-15,-1.4728890812908757e-15,0.0,3.2128056450490275e-18,0.0,0.011712224220025456,3.878678338957514e-14,0.0,0.0,1.1,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.015000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,4.182115600829415e-16,1.1597686571526645e-15,0.000659110364907749,1.7698421889669614e-14,-8.757209230044876e-15,0.0417311124024457,6.580123353714594e-14,7.080624884770634e-15,6.694351345063046e-12,1.6911276678985148e-12,7.751424548744015e-14,5.7531396797441394e-11,1.0,6.6943513450630464e-12,-7.080624884330137e-15,-6.6943513450630464e-12,1.0,6.580123353719334e-14,7.080624884770634e-15,-6.580123353714594e-14,1.0,14.668673693000017,-14.668673692998821,14.668673692998741,-14.668673692999937,14.725871269831876,-14.72587126983008,14.725871269829769,-14.725871269831574,-8.874372917850683e-15,3.6997972314496435e-15,1.7213599032935363,-5.956740531482372e-15,-3.916116193289166e-16,0.0,5.794951899271988e-18,0.0,0.014340889635092254,6.904348305689468e-14,0.0,0.0,1.1,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.018,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.88803778162624e-16,6.864311535321073e-16,0.0011171079257497594,-6.321901333702618e-14,-1.891845965824494e-13,0.04970355185327763,6.901474492015829e-14,2.3166027918680317e-14,7.272617586011161e-12,-4.792514443548508e-12,5.486861942804799e-12,1.0790598081699007e-11,1.0,7.2726175860111625e-12,-2.31660279181784e-14,-7.272617586011161e-12,1.0,6.901474492032676e-14,2.3166027918680317e-14,-6.901474492015829e-14,1.0,14.659007870770084,-14.659007870772653,14.659007870769331,-14.659007870766763,14.675730291263479,-14.67573029126239,14.675730291262388,-14.675730291263509,3.0797740918470665e-14,9.225300725131628e-14,1.719092094042306,1.2782722300508147e-14,-1.652884763312923e-14,0.0,2.7452042009515275e-18,0.0,0.016882892074250238,1.227908644943204e-13,0.0,0.0,1.1,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.0,0.0,0.021,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-4.3293818608836065e-16,-1.0769597985770944e-15,0.0016512773198405018,-2.352046059485268e-13,-1.0660428014427213e-13,0.05708299810004136,2.812341722338524e-14,8.264503539371716e-14,7.305901675073602e-12,-4.900770074678015e-13,1.2425729415148079e-11,-4.269888050985606e-11,1.0,7.305901675073603e-12,-8.26450353935117e-14,-7.3059016750736e-12,1.0,2.8123417223989034e-14,8.264503539371716e-14,-2.812341722338524e-14,1.0,14.650291072764345,-14.650291072764487,14.65029107275695,-14.65029107275681,14.65948192542405,-14.659481925427487,14.659481925423329,-14.659481925419973,1.1534458465660427e-13,5.2724313433204596e-14,1.7170482281328827,7.0544382478672345e-16,-3.747828454800782e-14,0.0,2.4232514630652372e-18,0.0,0.0193487226801595,6.082953096591531e-14,0.0,0.0,1.1,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.024,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-2.7062849130425227e-15,-2.331440034562786e-15,0.0022581113194969126,-1.6415300099515111e-13,-1.6294680797888998e-13,0.06424686415588839,1.494201325561959e-14,2.045070961174394e-13,6.8588485483969534e-12,-3.0855990416554855e-12,9.275405821740384e-12,-5.3668181075059374e-11,1.0,6.858848548396957e-12,-2.045070961173369e-13,-6.8588485483969534e-12,1.0,1.4942013257022272e-14,2.045070961174394e-13,-1.494201325561959e-14,1.0,14.641822645756193,-14.641822645757893,14.641822645751883,-14.641822645750183,14.648274356398463,-14.648274356398607,14.648274356389658,-14.648274356389628,8.171677819740351e-14,8.093679165211203e-14,1.7150637631177263,8.449058723508843e-15,-2.986540527026541e-14,0.0,3.794442623834581e-18,0.0,0.02174188868050309,1.6871824889863922e-13,0.0,0.0,1.1,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.0,0.0,0.027000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-3.9131363566787396e-15,-4.240211234704763e-15,0.0029358659255438366,-1.613022735553823e-13,-3.8478809169500455e-13,0.07127012947587517,-2.7559877365365076e-14,2.8324079216474366e-13,6.299781943800391e-12,-1.2565656804509734e-11,9.661019513075082e-12,-7.323939936771773e-11,1.0,6.299781943800383e-12,-2.8324079216491724e-13,-6.299781943800391e-12,1.0,-2.7559877363580723e-14,2.8324079216474366e-13,2.7559877365365076e-14,1.0,14.63346559454607,-14.63346559455344,14.633465594546989,-14.633465594539617,14.639025014260847,-14.639025014262815,14.639025014256834,-14.639025014254862,8.093184071605739e-14,1.9048688554492795e-13,1.7131065224542161,3.6609728952780976e-14,-3.2051033256940905e-14,0.0,2.2206803511883463e-16,0.0,0.024064134074456168,2.5037915464342285e-13,0.0,0.0,1.1,1.1,0.9,0.1754544,9.5004e-05,9.5004e-05,9.5004e-05,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
