time,referenceVector[1],referenceVector[2],referenceVector[3],referenceVector[4],referenceVector[5],referenceVector[6],referenceVector[7],referenceVector[8],referenceVector[9],referenceVector[10],referenceVector[11],quadChassisTest17_1.body.r_0[1],quadChassisTest17_1.body.r_0[2],quadChassisTest17_1.body.r_0[3],quadChassisTest17_1.body.v_0[1],quadChassisTest17_1.body.v_0[2],quadChassisTest17_1.body.v_0[3],sensors1_1.AngleMea[1],sensors1_1.AngleMea[2],sensors1_1.AngleMea[3],quadChassisTest17_1.body.frame_b.R.w[1],quadChassisTest17_1.body.frame_b.R.w[2],quadChassisTest17_1.body.frame_b.R.w[3],"quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]",motorCommand[1],motorCommand[2],motorCommand[3],motorCommand[4],speedSensor[1].w,speedSensor[2].w,speedSensor[3].w,speedSensor[4].w,controllerDiagnostics[1],controllerDiagnostics[2],controllerDiagnostics[3],controllerDiagnostics[4],controllerDiagnostics[5],controllerDiagnostics[6],controllerDiagnostics[7],controllerDiagnostics[8],controllerDiagnostics[9],controllerDiagnostics[10],controllerDiagnostics[11],controllerDiagnostics[12],scenarioDiagnostics[1],scenarioDiagnostics[2],scenarioDiagnostics[3],scenarioDiagnostics[4],scenarioDiagnostics[5],scenarioDiagnostics[6],scenarioDiagnostics[7],scenarioDiagnostics[8],scenarioDiagnostics[9],scenarioDiagnostics[10],scenarioDiagnostics[11],scenarioDiagnostics[12],scenarioDiagnostics[13],scenarioDiagnostics[14],scenarioDiagnostics[15],scenarioDiagnostics[16]
0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.71701389582819,-14.71701389582819,14.71701389582819,-14.71701389582819,0.0,0.0,0.0,0.0,0.0,0.0,1.7327239840800002,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,3.5539007259314843e-16,1.888688677242969e-16,1.6132793892840563e-06,3.5750899573168425e-14,2.0979397687103377e-14,0.0001764048183739262,1.024896498319275e-14,-1.5249635815519542e-14,-4.302568163749107e-13,1.305330082289877e-12,-1.7680878750640946e-12,-6.859966698868428e-11,1.0,-4.3025681637491087e-13,1.524963581551513e-14,4.3025681637491067e-13,1.0,1.024896498319931e-14,-1.5249635815519542e-14,-1.024896498319275e-14,1.0,14.722915362607198,-14.722915362606402,14.722915362607477,-14.722915362608273,5.4107142570399285,-5.41071425703996,5.410714257039861,-5.410714257039939,-1.767874589701506e-14,-1.0364314053158235e-14,1.7341138941959933,-3.971529425194369e-15,5.369977978344207e-15,0.0,4.878954844746481e-18,0.0,0.002998386720610716,6.618503977961212e-15,0.0,0.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.006,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,7.11366968204983e-16,3.8519931577408244e-16,3.7168135603477907e-06,3.279892951954443e-14,1.855325761479809e-14,0.00025394480225379945,9.394049834143141e-15,-2.1964567080612203e-14,-1.1341056539594547e-12,-1.0843012937463258e-12,5.063173126220506e-13,9.251562535052927e-11,1.0,-1.134105653959455e-12,2.196456708060155e-14,1.1341056539594545e-12,1.0,9.39404983416805e-15,-2.1964567080612203e-14,-9.394049834143141e-15,1.0,14.728998254230591,-14.728998254231232,14.72899825423096,-14.72899825423032,11.767950351375877,-11.767950351375871,11.767950351375855,-11.76795035137587,-1.6413892991958067e-14,-9.276092282910999e-15,1.7355471165850658,3.2002631843880726e-15,-1.356359737304932e-15,0.0,2.2209578548810243e-16,0.0,0.005996283186439653,1.3146256615768028e-14,0.0,0.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.009,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.370349250644701e-15,6.3988436301015e-17,2.107079246562608e-05,1.0788526559629069e-13,-1.0323428089209923e-13,0.007642021859719853,-2.895029494411481e-14,-9.392688073387887e-15,4.004630716116304e-13,-5.920546480419608e-12,1.219771587609475e-13,2.560386268292695e-10,1.0,4.0046307161163067e-13,9.392688073376293e-15,-4.0046307161163037e-13,1.0,-2.895029494411857e-14,-9.392688073387887e-15,2.895029494411481e-14,1.0,14.721380770296127,-14.721380770299682,14.721380770299552,-14.721380770295998,16.2643827052017,-16.264382705202525,16.26438270520218,-16.264382705201296,-5.349970964438715e-14,5.049772439908663e-14,1.73375241427276,1.7759351889494163e-14,-6.449773643603637e-16,0.0,2.151478322166716e-18,0.0,0.008978929207534373,2.146578956326209e-14,0.0,0.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.012,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.4595046053442098e-15,-8.11533843741011e-16,0.00013954916833262558,1.0933050370947622e-13,-6.406410488010836e-14,0.013222228940426921,-8.330928074892876e-14,-7.386973168706061e-15,2.770846396294409e-12,-4.664776162762475e-12,2.858165830067953e-13,2.2264489329543249e-10,1.0,2.7708463962944098e-12,7.386973168475225e-15,-2.770846396294409e-12,1.0,-8.330928074894923e-14,-7.386973168706061e-15,8.330928074892876e-14,1.0,14.716931673189702,-14.716931673192672,14.716931673192436,-14.716931673189466,15.042305210556872,-15.042305210561178,15.04230521056109,-15.042305210556776,-5.4757989644504655e-14,3.1767922976785624e-14,1.7327046229869958,1.4839003263264394e-14,-1.1722530367457592e-15,0.0,2.220983953504007e-16,0.0,0.011860450831667375,6.934079229433765e-14,0.0,0.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.015000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,3.592398238590741e-15,-1.2311623610514473e-15,0.0002743822758501929,1.0974371375638572e-13,-2.8264959738312413e-14,0.012976023495552196,-1.2770366769875676e-13,-9.976772259791797e-15,4.5517038011124895e-12,-6.5133038162284285e-12,-2.028492423827604e-12,-4.52961414442491e-11,1.0,4.551703801112491e-12,9.976772259210526e-15,-4.5517038011124895e-12,1.0,-1.2770366769880215e-13,-9.976772259791797e-15,1.2770366769875676e-13,1.0,14.723346662473384,-14.723346662477605,14.723346662478765,-14.723346662474544,14.767252266241114,-14.767252266244231,14.767252266243913,-14.76725226624091,-5.5533245010080545e-14,1.445755565460345e-14,1.7342154955475628,2.109168261808374e-14,5.798887838590177e-15,0.0,2.445550601624958e-18,0.0,0.01472561772414981,1.2138566990918455e-13,0.0,0.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.018,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,4.875196876380194e-15,1.7555510523306376e-16,0.000394898255046589,1.642826371434758e-13,4.2933073271457863e-13,0.011048912154136713,-1.2659126040184612e-13,-3.306694264780549e-14,3.905207021462114e-12,1.1652904026184098e-11,-2.9257173817693948e-12,-1.0013634205610346e-10,1.0,3.905207021462118e-12,3.306694264731112e-14,-3.905207021462113e-12,1.0,-1.2659126040197526e-13,-3.306694264780549e-14,1.2659126040184612e-13,1.0,14.732930180810722,-14.732930180804376,14.732930180806092,-14.732930180812438,14.737475488671647,-14.737475488676127,14.737475488676939,-14.73747548867317,-8.287723590952604e-14,-2.102333293323731e-13,1.736473853700602,-3.173912737398551e-14,8.586567295003543e-15,0.0,1.082094473284698e-18,0.0,0.01760510174495341,2.4809389631912507e-13,0.0,0.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.0,0.0,0.021,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,6.523885298078007e-15,3.734131468957535e-15,0.0004942259908447021,9.215834109306371e-14,4.1553849810656783e-14,0.008839896154197224,-4.0536634200659264e-14,-6.30462646864349e-14,3.001884427874056e-12,-3.701838520786808e-12,2.4367935067884483e-13,-9.245561641196297e-11,1.0,3.0018844278740583e-12,6.304626468631323e-14,-3.001884427874056e-12,1.0,-4.053663420084853e-14,-6.30462646864349e-14,4.0536634200659264e-14,1.0,14.74307790271017,-14.743077902712528,14.743077902712473,-14.743077902710116,14.740249851696994,-14.74024985168837,14.740249851690466,-14.740249851699042,-4.8408436032350987e-14,-2.222803540271736e-14,1.738866768363319,1.1798671565644286e-14,-2.7334453877648067e-16,0.0,3.220450840084755e-18,0.0,0.0205057740091553,6.38947265174393e-14,0.0,0.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.024,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,7.373497271752477e-15,3.7464018227232496e-15,0.0005716778059957783,3.576671619923999e-14,2.6828711769759228e-14,0.0066816767166079675,-9.560677433272152e-14,-5.911499133616644e-14,2.211599620861005e-12,-4.689232557711779e-12,2.3148885109423603e-12,-5.6492248561644904e-11,1.0,2.2115996208610105e-12,5.9114991335955e-14,-2.211599620861005e-12,1.0,-9.560677433285226e-14,-5.911499133616644e-14,9.560677433272152e-14,1.0,14.753169208586275,-14.753169208589355,14.753169208588089,-14.753169208585009,14.747738879161217,-14.747738879164778,14.747738879164563,-14.747738879160723,-2.1236146067372002e-14,-1.5026727489851013e-14,1.7412480135776396,1.542277392589706e-14,-6.334717789224745e-15,0.0,5.08471911386976e-18,0.0,0.023428322194004224,1.143095532699829e-13,0.0,0.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.0,0.0,0.027000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,7.55175385175572e-15,3.921645877122465e-15,0.0006281088677118274,-1.2925742581956708e-13,4.476449329210438e-14,0.004637547722885478,-1.4873738393283267e-13,-3.009769764737159e-14,1.5850164611018493e-12,-4.855668602841963e-12,8.612687998061923e-12,-1.108552751994796e-10,1.0,1.5850164611018538e-12,3.0097697647135844e-14,-1.5850164611018493e-12,1.0,-1.4873738393288038e-13,-3.009769764737159e-14,1.4873738393283267e-13,1.0,14.76308440143645,-14.763084401439778,14.763084401434789,-14.76308440143146,14.756935467619376,-14.756935467623078,14.756935467621348,-14.756935467617645,5.944806967509589e-14,-2.3894391344554057e-14,1.7435892883512936,1.667874561640005e-14,-2.500355599564725e-14,0.0,3.179706111601018e-18,0.0,0.026371891132288175,1.746653370736738e-13,0.0,0.0,0.9,1.0,1.0,0.159504,0.00010556,0.00010556,0.00010556,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
