time,referenceVector[1],referenceVector[2],referenceVector[3],referenceVector[4],referenceVector[5],referenceVector[6],referenceVector[7],referenceVector[8],referenceVector[9],referenceVector[10],referenceVector[11],quadChassisTest17_1.body.r_0[1],quadChassisTest17_1.body.r_0[2],quadChassisTest17_1.body.r_0[3],quadChassisTest17_1.body.v_0[1],quadChassisTest17_1.body.v_0[2],quadChassisTest17_1.body.v_0[3],sensors1_1.AngleMea[1],sensors1_1.AngleMea[2],sensors1_1.AngleMea[3],quadChassisTest17_1.body.frame_b.R.w[1],quadChassisTest17_1.body.frame_b.R.w[2],quadChassisTest17_1.body.frame_b.R.w[3],"quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]",motorCommand[1],motorCommand[2],motorCommand[3],motorCommand[4],speedSensor[1].w,speedSensor[2].w,speedSensor[3].w,speedSensor[4].w,controllerDiagnostics[1],controllerDiagnostics[2],controllerDiagnostics[3],controllerDiagnostics[4],controllerDiagnostics[5],controllerDiagnostics[6],controllerDiagnostics[7],controllerDiagnostics[8],controllerDiagnostics[9],controllerDiagnostics[10],controllerDiagnostics[11],controllerDiagnostics[12],scenarioDiagnostics[1],scenarioDiagnostics[2],scenarioDiagnostics[3],scenarioDiagnostics[4],scenarioDiagnostics[5],scenarioDiagnostics[6],scenarioDiagnostics[7],scenarioDiagnostics[8],scenarioDiagnostics[9],scenarioDiagnostics[10],scenarioDiagnostics[11],scenarioDiagnostics[12],scenarioDiagnostics[13],scenarioDiagnostics[14],scenarioDiagnostics[15],scenarioDiagnostics[16]
0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.71701389582819,-14.71701389582819,14.71701389582819,-14.71701389582819,0.0,0.0,0.0,0.0,0.0,0.0,1.7327239840800002,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,1.0,1.1,1.1,0.1754544,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.300432420919044e-16,2.1035697822228485e-16,1.4600169138632225e-06,2.3669772155942754e-14,2.060227339087512e-14,0.00016279582697575106,1.6160552663445523e-14,-1.1634323395683152e-14,-1.4214712927311782e-13,1.9392697727239216e-12,-1.4352573516091476e-12,3.553198577885852e-12,1.0,-1.42147129273118e-13,1.1634323395680855e-14,1.421471292731178e-13,1.0,1.6160552663447176e-14,-1.1634323395683152e-14,-1.6160552663445523e-14,1.0,14.722941130629168,-14.722941130627978,14.722941130628852,-14.722941130630042,5.410713116889821,-5.410713116889918,5.410713116889803,-5.410713116889941,-1.1701997194922057e-14,-1.0190591383721186e-14,1.7341199642877396,-5.9515017372817276e-15,4.369293091915743e-15,0.0,1.4092089359469455e-18,0.0,0.002998539983086137,1.1385806871187054e-14,0.0,0.0,1.0,1.1,1.1,0.1754544,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.006,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,4.84554367300882e-16,4.2192335398560603e-16,3.46591505760728e-06,2.7395983555706984e-14,2.2233564456897832e-14,0.00024909776906497196,3.474194590980124e-14,-2.853446487236022e-14,1.5197892798281653e-13,1.0103075937223854e-12,-1.503874744273222e-12,1.058322575376707e-10,1.0,1.5197892798281555e-13,2.8534464872365496e-14,-1.5197892798281656e-13,1.0,3.47419459097969e-14,-2.853446487236022e-14,-3.474194590980124e-14,1.0,14.729007835824197,-14.729007835823516,14.729007835824472,-14.72900783582515,11.767947871412394,-11.767947871412431,11.76794787141236,-11.76794787141243,-1.3654594175341286e-14,-1.1096066758412327e-14,1.735549374622197,-3.399453837553703e-15,4.7802935815915596e-15,0.0,2.221247535958577e-16,0.0,0.005996534084942393,3.5082182339438585e-14,0.0,0.0,1.0,1.1,1.1,0.1754544,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.009,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,7.29265881383275e-16,1.7500845676815662e-15,2.2264199974677594e-05,1.926416279597761e-14,2.1314427999842697e-13,0.008225557832555214,1.0710824377859464e-13,-2.931171969477976e-14,1.655445410207471e-12,1.1405238631869311e-11,3.1083001355057194e-13,9.987865420649971e-11,1.0,1.6554454102074677e-12,2.931171969495707e-14,-1.655445410207471e-12,1.0,1.0710824377854612e-13,-2.931171969477976e-14,-1.0710824377859464e-13,1.0,14.720286890426461,-14.720286890419493,14.720286890419366,-14.720286890426335,16.264396111691727,-16.264396111690797,16.26439611169209,-16.264396111693017,-9.798083034662207e-15,-1.0521290959815836e-13,1.7334947690908538,-3.481909972908071e-14,-6.249164639353821e-16,0.0,2.580497772670957e-18,0.0,0.008977735800025321,5.209649419716645e-14,0.0,0.0,1.0,1.1,1.1,0.1754544,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.012,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,8.689821965561122e-16,3.5659510656779456e-15,0.0001519108714549594,1.3145730802794644e-14,1.3228564674334838e-13,0.014839498166912428,2.1105818450094786e-13,-2.1656555114315387e-14,2.754806966743458e-12,8.778861684475852e-12,1.1132462355337456e-12,1.2383217030551448e-10,1.0,2.7548069667434534e-12,2.165655511489681e-14,-2.7548069667434583e-12,1.0,2.110581845008882e-13,-2.1656555114315387e-14,-2.1105818450094786e-13,1.0,14.71388004545846,-14.713880045452736,14.713880045452115,-14.713880045457838,15.040925180415309,-15.04092518040671,15.040925180406314,-15.040925180414904,-6.873960325921803e-15,-6.655346951898542e-14,1.7319861279363782,-2.85808021711315e-14,-3.1097982938435777e-15,0.0,5.699636618312229e-18,0.0,0.01184808912854504,1.7353585419506396e-13,0.0,0.0,1.0,1.1,1.1,0.1754544,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.015000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0040186426475114e-15,4.4498693098148496e-15,0.00030773843803330803,1.8227880221689022e-14,5.369716341726726e-14,0.015542630218393626,2.857276445749253e-13,-1.079588346732899e-14,3.9997017940895876e-12,6.970713694666237e-12,1.48901990974031e-12,1.366661741996907e-10,1.0,3.999701794089584e-12,1.0795883468471815e-14,-3.9997017940895876e-12,1.0,2.8572764457488207e-13,-1.079588346732899e-14,-2.857276445749253e-13,1.0,14.718476990216752,-14.718476990211865,14.718476990210986,-14.718476990215871,14.763602573242,-14.763602573236057,14.763602573235229,-14.763602573241165,-9.429819772426399e-15,-2.8533833724652856e-14,1.7330685192916409,-2.4412564009744145e-14,-4.39744769907055e-15,0.0,4.824349794296119e-18,0.0,0.014692261561966695,2.6931654121451717e-13,0.0,0.0,1.0,1.1,1.1,0.1754544,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.018,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.3196519480348212e-15,4.73416240003643e-15,0.00045849538691054837,3.8332933125453264e-14,-3.5115320727831318e-15,0.014523220094332122,3.50024511712685e-13,2.9604847459043635e-17,5.409489608396523e-12,5.682029401616401e-12,9.100854174096865e-13,1.4367213144023933e-10,1.0,5.409489608396523e-12,-2.9604845565589677e-17,-5.409489608396523e-12,1.0,3.500245117126852e-13,2.9604847459043635e-17,-3.50024511712685e-13,1.0,14.726303898510997,-14.726303898506677,14.726303898506103,-14.726303898510421,14.731964940403552,-14.731964940398932,14.731964940397843,-14.731964940402557,-1.9430283881442188e-14,-6.756819537281948e-16,1.7349122120898248,-2.1591343853171526e-14,-2.876235623494831e-15,0.0,1.3294047201434176e-18,0.0,0.01754150461308945,3.4981532647347867e-13,0.0,0.0,1.0,1.1,1.1,0.1754544,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.0,0.0,0.021,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.0222485198595133e-15,4.5191260191060585e-15,0.0005970032033792283,1.6099355386454315e-13,3.9163566302065003e-14,0.013195735672348604,4.073893672875e-13,-3.904413187527532e-15,6.989611701419963e-12,9.259315219489764e-12,-4.213435383324215e-12,1.9923398481289804e-10,1.0,6.989611701419962e-12,3.9044131903750246e-15,-6.989611701419963e-12,1.0,4.073893672874727e-13,-3.904413187527532e-15,-4.073893672875e-13,1.0,14.734727747316619,-14.734727747310037,14.734727747312457,-14.734727747319038,14.732998796986612,-14.73299879698251,14.732998796982042,-14.732998796986076,-7.98243476061877e-14,-2.1455102243529148e-14,1.7368976142998476,-3.2913424374598765e-14,1.2093609468812229e-14,0.0,2.2211772376519377e-16,0.0,0.020402996796620772,3.9726892286091176e-13,0.0,0.0,1.0,1.1,1.1,0.1754544,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.024,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,3.4176863965578815e-15,4.5703822497227946e-15,0.0007223383507307236,1.1926969966953017e-13,-2.0708538580918287e-13,0.011896836521217966,4.96382454040662e-13,-3.739012062209145e-14,8.993178118733917e-12,1.223598845753062e-12,-2.8740286839810518e-12,2.1320626428383536e-10,1.0,8.9931781187339e-12,3.739012062655551e-14,-8.993178118733919e-12,1.0,4.963824540403258e-13,-3.739012062209145e-14,-4.96382454040662e-13,1.0,14.743120733355395,-14.743120733353225,14.743120733354955,-14.743120733357125,14.738778877011539,-14.738778877004409,14.73877887700761,-14.738778877014676,-6.010756307545362e-14,9.90504604817814e-14,1.738876871666298,-1.086427859557633e-14,8.658788068526774e-15,0.0,4.7967122969910904e-18,0.0,0.023277661649269275,5.533519759057239e-13,0.0,0.0,1.0,1.1,1.1,0.1754544,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.0,0.0,0.027000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,4.578674546329885e-15,2.1399151586429963e-15,0.0008351393786583098,1.7339261714772546e-13,-2.039916142705905e-13,0.010690800981400718,5.029755012116098e-13,-6.650063696685516e-14,1.1186007450141412e-11,3.2084130081034783e-12,-5.669663575432096e-12,2.3925131042698915e-10,1.0,1.1186007450141378e-11,6.650063697248144e-14,-1.118600745014141e-11,1.0,5.029755012108661e-13,-6.650063696685516e-14,-5.029755012116098e-13,1.0,14.75136161320301,-14.751361613199633,14.751361613203072,-14.751361613206448,14.746286295746563,-14.746286295745449,14.74628629574729,-14.746286295748481,-8.718632153560588e-14,9.876544751448073e-14,1.7408213555478416,-1.690147514922711e-14,1.722241428965829e-14,0.0,1.9063309675238733e-18,0.0,0.026164860621341695,5.599511906187786e-13,0.0,0.0,1.0,1.1,1.1,0.1754544,0.000116116,0.000116116,0.000116116,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0
