time,referenceVector[1],referenceVector[2],referenceVector[3],referenceVector[4],referenceVector[5],referenceVector[6],referenceVector[7],referenceVector[8],referenceVector[9],referenceVector[10],referenceVector[11],quadChassisTest17_1.body.r_0[1],quadChassisTest17_1.body.r_0[2],quadChassisTest17_1.body.r_0[3],quadChassisTest17_1.body.v_0[1],quadChassisTest17_1.body.v_0[2],quadChassisTest17_1.body.v_0[3],sensors1_1.AngleMea[1],sensors1_1.AngleMea[2],sensors1_1.AngleMea[3],quadChassisTest17_1.body.frame_b.R.w[1],quadChassisTest17_1.body.frame_b.R.w[2],quadChassisTest17_1.body.frame_b.R.w[3],"quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]",motorCommand[1],motorCommand[2],motorCommand[3],motorCommand[4],speedSensor[1].w,speedSensor[2].w,speedSensor[3].w,speedSensor[4].w,controllerDiagnostics[1],controllerDiagnostics[2],controllerDiagnostics[3],controllerDiagnostics[4],controllerDiagnostics[5],controllerDiagnostics[6],controllerDiagnostics[7],controllerDiagnostics[8],controllerDiagnostics[9],controllerDiagnostics[10],controllerDiagnostics[11],controllerDiagnostics[12],quadChassisTest17_1.perRotorDisturbance
0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.71701389582819,-14.71701389582819,14.71701389582819,-14.71701389582819,0.0,0.0,0.0,0.0,0.0,0.0,1.7327239840800002,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-9.420319794203102e-17,4.043053301784226e-17,1.6197004924575865e-06,-1.0130091010932533e-14,6.520153360369554e-15,0.00017873482998028087,1.0670451449165684e-14,-4.187852974493142e-15,-6.204592358084875e-13,1.6625880936612219e-12,-1.2814207030237585e-12,-1.0046031500408498e-10,1.0,-6.204592358084875e-13,4.187852974486522e-15,6.204592358084875e-13,1.0,1.0670451449168281e-14,-4.187852974493142e-15,-1.0670451449165684e-14,1.0,14.72291099201034,-14.722910992009318,14.722910992010105,-14.722910992011126,5.410714257040111,-5.4107142570399755,5.410714257040084,-5.410714257040013,5.006022806220973e-15,-3.211868990616646e-15,1.7341128646292434,-5.102401961038603e-15,3.936232491179126e-15,0.0,1.1090605150371816e-18,0.0,0.0029983802995075426,1.1305428573365436e-14,0.0,0.0,0.0
0.02,0.0,0.0,0.006,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-1.943058434457386e-16,1.0925862547113014e-16,3.7846639992302103e-06,-1.0215684506703583e-14,7.867283147396524e-15,0.0002649720059135352,2.7762728307356823e-14,-2.128056646763868e-14,-1.327889769172487e-12,2.041330210724578e-12,-2.4029725688391625e-12,-6.011230381370179e-11,1.0,-1.3278897691724875e-12,2.1280566467601812e-14,1.3278897691724871e-12,1.0,2.7762728307385083e-14,-2.128056646763868e-14,-2.7762728307356823e-14,1.0,14.728977500309247,-14.728977500307957,14.728977500309462,-14.728977500310753,11.767950351375891,-11.767950351375692,11.767950351375813,-11.767950351375754,5.098548747716929e-15,-3.906060943848729e-15,1.7355422256369537,-6.4556479284789755e-15,7.523755517711333e-15,0.0,1.9589074040750357e-18,0.0,0.00599621533600077,3.5176596707415847e-14,0.0,0.0,0.0
0.03,0.0,0.0,0.009,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-2.994651159671557e-16,1.2247338747484357e-16,4.068358459075375e-05,-1.5221395518024192e-14,-5.857568095794928e-15,0.014675263977543916,4.5580179965154707e-14,-3.756929098844469e-14,-2.669145949009278e-12,1.2718129772038538e-12,-1.15014382426561e-12,-2.2900077615098842e-10,1.0,-2.6691459490092794e-12,3.756929098832303e-14,2.669145949009278e-12,1.0,4.5580179965254987e-14,-3.756929098844469e-14,-4.5580179965154707e-14,1.0,14.70818016084826,-14.708180160847373,14.708180160848173,-14.70818016084906,16.264355635205213,-16.264355635203568,16.264355635205508,-16.264355635207217,7.601882435133986e-15,2.8051588699284915e-15,1.7306445091517526,-4.429052649394781e-15,3.99593495403242e-15,0.0,2.0739674870994587e-18,0.0,0.008959316415409245,6.315641532729237e-14,0.0,0.0,0.0
0.04,0.0,0.0,0.012,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-5.665705442858325e-16,-3.945209253043054e-17,0.0002880430292362749,-3.42040902530233e-14,-2.3760043952768382e-14,0.03159507397462903,5.241052922938544e-14,-4.2098952421625017e-14,-5.3724760141608024e-12,1.5328451217987442e-13,2.0273894104594817e-13,-3.2537361561352333e-10,1.0,-5.372476014160805e-12,4.209895242134344e-14,5.372476014160803e-12,1.0,5.241052922961161e-14,-4.2098952421625017e-14,-5.241052922938544e-14,1.0,14.68220980479588,-14.682209804795633,14.682209804795647,-14.682209804795892,15.02569333120046,-15.025693331199687,15.025693331200289,-15.025693331201063,1.702844112565904e-14,1.1649784254125617e-14,1.7245382780163268,-1.2290093979299479e-15,6.7434197829941e-17,0.0,3.782607898414373e-18,0.0,0.011711956970763725,7.875153952645251e-14,0.0,0.0,0.0
0.05,0.0,0.0,0.015000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-9.500761020600317e-16,-3.3330272925893126e-16,0.0006593814010110766,-4.0618752136874485e-14,-3.346139432589083e-14,0.0417314824048444,5.249859998593536e-14,-3.9026439191287274e-14,-8.692284754369388e-12,-2.672845899259621e-13,5.623312778306073e-13,-3.662793600665628e-10,1.0,-8.69228475436939e-12,3.9026439190830946e-14,8.692284754369386e-12,1.0,5.249859998627458e-14,-3.9026439191287274e-14,-5.249859998593536e-14,1.0,14.66867243326284,-14.668672433262836,14.668672433262632,-14.668672433262634,14.725870666730627,-14.72587066673058,14.725870666730323,-14.725870666730398,2.036219764632632e-14,1.6546930181715804e-14,1.7213596076348967,-5.5932558210106e-18,-1.0258713505649435e-15,0.0,5.189852717838343e-18,0.0,0.014340618598988926,8.027517896872597e-14,0.0,0.0,0.0
0.06,0.0,0.0,0.018,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-1.364906718276051e-15,-7.28028334683717e-16,0.0011173825882512152,-3.745015786634066e-14,-4.0894088380984286e-14,0.04970390553961693,4.939744948684519e-14,-3.459719671264945e-14,-1.2237083213847114e-11,5.082707800487229e-13,4.901852499323897e-13,-2.449382859437869e-10,1.0,-1.2237083213847116e-11,3.459719671204497e-14,1.2237083213847113e-11,1.0,4.939744948726856e-14,-3.459719671264945e-14,-4.939744948684519e-14,1.0,14.659006633279798,-14.659006633279331,14.659006633279153,-14.65900663327962,14.675729095967608,-14.675729095967638,14.675729095967412,-14.675729095967261,1.9021081046028025e-14,2.0384657902062592e-14,1.7190918037962533,-2.321130667302551e-15,-8.769522575224796e-16,0.0,4.026272938489635e-18,0.0,0.016882617411748783,7.640161652174115e-14,0.0,0.0,0.0
0.07,0.0,0.0,0.021,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-1.7239984746502497e-15,-1.1784162322203175e-15,0.0016515554344286244,-1.6799267940650278e-14,-4.904477475280361e-14,0.05708333458267056,5.335419941209585e-14,-3.159270081464801e-14,-1.4722684713547054e-11,-9.396260758866365e-14,-1.3682515778062517e-12,-2.711328470816801e-10,1.0,-1.4722684713547057e-11,3.1592700813862496e-14,1.4722684713547057e-11,1.0,5.335419941256098e-14,-3.159270081464801e-14,-5.335419941209585e-14,1.0,14.650289859656676,-14.650289859656555,14.650289859657477,-14.650289859657597,14.659480685791664,-14.659480685791257,14.659480685790838,-14.659480685791422,9.094712362941502e-15,2.460197455152768e-14,1.7170479437757675,-5.979816144125396e-16,4.584317129520456e-15,0.0,2.2205172781987005e-16,0.0,0.019348444565571377,7.708253926397768e-14,0.0,0.0,0.0
0.08,0.0,0.0,0.024,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-2.0136275484593416e-15,-1.716623086884886e-15,0.0022583927117110956,-3.713452306585744e-14,-5.84036433903355e-14,0.06424718330147919,5.238949531416973e-14,-4.0241001765719636e-14,-1.7526336196301922e-11,1.5615052283068936e-13,-4.593559495331703e-13,-3.176787193816283e-10,1.0,-1.7526336196301926e-11,4.024100176480144e-14,1.7526336196301926e-11,1.0,5.238949531487501e-14,-4.0241001765719636e-14,-5.238949531416973e-14,1.0,14.641821457701484,-14.641821457701209,14.641821457701619,-14.641821457701894,14.648273149697618,-14.648273149697346,14.648273149698742,-14.64827314969884,1.9194700996255237e-14,2.945507781191232e-14,1.7150634847936768,-1.372781384927371e-15,2.0466946768055512e-15,0.0,3.181843759632978e-18,0.0,0.021741607288288906,8.65127911427344e-14,0.0,0.0,0.0
0.09,0.0,0.0,0.027000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-2.4841768697265377e-15,-2.31527568286348e-15,0.002936150423383164,-6.610286011672909e-14,-4.662490237377896e-14,0.0712704315686062,5.4913416461809435e-14,-4.2347132243960476e-14,-2.071570478567709e-11,1.1612594369893787e-12,1.7008550045537819e-13,-3.337345940044507e-10,1.0,-2.0715704785677092e-11,4.23471322428229e-14,2.0715704785677092e-11,1.0,5.4913416462686687e-14,-4.2347132243960476e-14,-5.4913416461809435e-14,1.0,14.63346443140828,-14.633464431407397,14.633464431407457,-14.633464431408338,14.639023834987071,-14.639023834986688,14.639023834987148,-14.639023834987428,3.3611831566339766e-14,2.399252676857022e-14,1.7131062501222336,-4.379721319724384e-15,2.953214304680783e-16,0.0,3.7568995131443924e-18,0.0,0.02406384957661684,9.26809657662766e-14,0.0,0.0,0.0
