"asset_id","decision","reason","reproducible","visual_pass","license_pass"
"FIG_1-1","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_2-1","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_2-2","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_2-3","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_3-1","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_3-2","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_4-1","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_5-1","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_5-2","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_5-3","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_6-1","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_6-2","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_6-3","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_6-4","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_6-5","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_6-6","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_6-7","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_6-8","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_6-9","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_7-1","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_7-2","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_8-1","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_A-1","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_C-1","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_C-2","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_C-3","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_C-4","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_D-1","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_D-2","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"FIG_E-1","采用","最终报告实际采用，编号、来源、哈希与可视质量已核对","yes","yes","yes"
"TAB_1-1","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_1-2","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_1-3","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_2-1","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_2-2","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_2-3","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_3-1","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_3-2","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_3-3","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_4-1","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_5-1","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_5-2","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_5-3","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_6-1","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_6-2","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_6-3","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_6-4","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_6-5","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_7-1","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_7-2","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_8-1","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_B-1","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_B-2","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_B-3","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_C-1","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_C-2","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_C-3","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
"TAB_D-1","采用","最终报告编号表，数据或模型来源已登记","yes","not_applicable","yes"
